3/27/2023 2:52:48 PM
Mode: Stereo
White time (s): [1.266721, 3.865698, 7.115456, 16.34646, 2.249542, 1.9664, 4.38266, 2.449463, 3.432434, 1.699356, 1.949295, 2.999115, 3.999146, 0.9334412, 2.016388, 1.449493, 5.065704, 0.78302, 0.7500305, 1.166428, 1.699753, 1.999588, 1.649704, 1.333038, 2.23288, 1.166534, 3.415802, 4.615906, 1.283142, 4.516205]
Shot time (s): [1.73295, 10.43111, 5.582199, 8.7481, 7.848434, 1.966034, 3.515388, 0.9329071, 5.532501, 4.315964, 3.599426, 5.332092, 2.566406, 2.399338, 0.6499481, 2.349442, 1.816559, 5.765228, 1.266403, 3.466354, 2.699097, 12.98079, 2.915894, 3.849121, 1.166565, 5.232178, 0.6498413, 1.549377, 3.882416, 1.032959]
Step time (s): [1.315886, 1.016708, 0.7164383, 0.733223, 5.948616, 7.265427, 3.232765, 4.682564, 4.815826, 4.065796, 6.148987, 4.482513, 2.232666, 3.082703, 3.549332, 1.582977, 1.499557, 0.6665955, 0.9996796, 1.349792, 0.916153, 2.049591, 1.866028, 1.616455, 2.282928, 3.149506, 1.616364, 1.96637, 2.265869, 4.165741]
White horz (deg): [103.5, 238.6799, 635.6996, 1148.22, 188.34, 91.97998, 207.3, 90.59999, 171.78, 197.4599, 37.38, 77.1, 87.71999, 10.62, 34.92, 95.57998, 445.1399, 19.08, 29.15999, 60.72, 110.94, 133.44, 78.30003, 25.86, 122.88, 74.93999, 64.02, 374.88, 102.06, 404.0401]
Shot horz (deg): [156.06, 699.9598, 449.9998, 549.2997, 409.7396, 124.86, 142.56, 5.459999, 329.3999, 188.4, 155.6399, 330.2999, 105.3, 68.45999, 12.36, 171.6, 124.26, 203.76, 70.74001, 87.47999, 82.50003, 847.7394, 165.9599, 274.6798, 78.35999, 482.7596, 26.22, 117.96, 342.1199, 50.88]
Step horz (deg): [113.88, 40.44, 10.5, 22.14, 352.0196, 490.4397, 73.25999, 198.6, 254.94, 216.3599, 390.4201, 358.9798, 47.4, 238.7399, 311.8198, 141.6, 144.12, 22.44, 47.34, 124.02, 56.81999, 176.34, 115.2, 63.06001, 162.12, 155.34, 146.52, 231.2399, 125.46, 273.7799]
White vert (deg): [53.76, 251.1599, 359.8798, 756.9594, 35.46, 77.64001, 112.56, 31.92, 130.08, 93.59998, 63.60001, 34.98, 96.35998, 30.17999, 122.34, 87.35997, 304.9799, 30.77999, 32.81999, 64.2, 206.04, 110.64, 25.44, 49.31999, 53.34, 46.68, 116.88, 334.2599, 23.46, 109.68]
Shot vert (deg): [47.46, 204.6, 81, 366.7197, 473.34, 78.6, 114.36, 3.719999, 199.1999, 153.6, 284.9999, 329.6998, 113.34, 88.5, 17.88, 95.93999, 138.12, 351.7201, 50.7, 205.8599, 204.06, 1021.5, 259.6199, 235.92, 39.6, 286.68, 10.8, 73.79998, 146.82, 29.04]
Step vert (deg): [58.44, 7.799997, 16.44, 29.28, 346.08, 292.8599, 88.25999, 93.71999, 166.5, 100.44, 191.28, 319.8599, 108.42, 236.64, 275.64, 117.24, 98.51999, 23.58, 15.12, 71.27998, 32.27999, 186.42, 130.92, 78.17999, 65.22, 159.96, 62.04, 70.38002, 48.42001, 143.5199]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
12.70: (-0.39, -0.82, 0.42): 2
12.70: (0.05, 0.05, 1.00)
12.82: (0.05, 0.05, 1.00)
12.93: (0.05, 0.05, 1.00)
13.05: (0.05, 0.05, 1.00)
13.15: (0.03, 0.04, 1.00)
13.27: (-0.32, -0.09, 0.94)
13.38: (-0.63, -0.32, 0.71)
13.50: (-0.27, -0.57, 0.77)
13.62: (0.07, -0.57, 0.82)
13.73: (-0.18, -0.71, 0.68)
13.85: (-0.36, -0.77, 0.52)
13.97: (-0.36, -0.78, 0.51)
14.02: (-0.36, -0.78, 0.51)
14.02: (0.93, -0.19, 0.32): 0
14.07: (-0.36, -0.78, 0.51)
14.18: (-0.36, -0.78, 0.51)
14.30: (-0.36, -0.78, 0.51)
14.42: (-0.32, -0.76, 0.57)
14.53: (-0.22, -0.71, 0.67)
14.63: (0.20, -0.39, 0.90)
14.75: (0.55, -0.08, 0.83)
14.85: (0.74, 0.02, 0.67)
14.97: (0.87, 0.06, 0.50)
15.08: (0.89, -0.10, 0.44)
15.20: (0.92, -0.14, 0.36)
15.28: (0.93, -0.14, 0.34)
15.28: (-0.97, -0.22, 0.05): 1
15.32: (0.93, -0.14, 0.34)
15.43: (0.93, -0.15, 0.33)
15.53: (0.92, -0.18, 0.36)
15.65: (0.89, -0.21, 0.41)
15.77: (0.86, -0.27, 0.44)
15.88: (0.79, -0.27, 0.55)
15.98: (0.54, -0.35, 0.77)
16.10: (0.24, -0.43, 0.87)
16.22: (-0.07, -0.41, 0.91)
16.33: (-0.35, -0.43, 0.83)
16.45: (-0.64, -0.38, 0.66)
16.55: (-0.84, -0.17, 0.51)
16.67: (-0.94, 0.02, 0.35)
16.78: (-0.98, -0.04, 0.20)
16.88: (-0.99, -0.13, 0.06)
16.98: (-0.99, -0.14, 0.00)
17.02: (-0.99, -0.14, 0.00)
17.02: (0.96, -0.11, -0.25): 0
17.10: (-0.99, -0.13, 0.00)
17.22: (-0.99, -0.15, 0.05)
17.32: (-0.99, -0.15, 0.05)
17.43: (-0.99, -0.15, 0.05)
17.55: (-0.99, -0.15, 0.05)
17.65: (-0.99, -0.14, 0.04)
17.77: (-0.97, 0.01, 0.24)
17.88: (-0.85, 0.34, 0.41)
18.00: (-0.78, 0.48, 0.41)
18.12: (-0.72, 0.56, 0.42)
18.23: (-0.63, 0.72, 0.30)
18.33: (-0.58, 0.81, -0.12)
18.45: (-0.48, 0.71, -0.52)
18.57: (-0.33, 0.61, -0.72)
18.68: (-0.35, 0.60, -0.72)
18.78: (-0.35, 0.60, -0.72)
18.88: (-0.33, 0.61, -0.73)
19.00: (-0.22, 0.54, -0.81)
19.12: (0.11, 0.26, -0.96)
19.22: (0.32, -0.12, -0.94)
19.32: (0.41, -0.35, -0.85)
19.42: (0.42, -0.44, -0.79)
19.53: (0.15, -0.60, -0.79)
19.63: (-0.23, -0.72, -0.65)
19.75: (-0.49, -0.68, -0.54)
19.87: (-0.51, -0.66, -0.56)
19.98: (-0.49, -0.67, -0.55)
20.10: (-0.48, -0.49, -0.73)
20.22: (-0.11, -0.16, -0.98)
20.32: (0.24, -0.13, -0.96)
20.42: (0.66, -0.14, -0.74)
20.53: (0.80, -0.19, -0.57)
20.65: (0.82, -0.19, -0.54)
20.77: (0.91, -0.12, -0.39)
