3/27/2023 2:57:16 PM
Mode: Default
White time (s): [0.9997864, 1.283051, 1.232819, 1.51651, 2.599304, 5.181976, 8.798004, 5.048737, 0.4502563, 2.132751, 0.6999512, 1.549744, 1.46637, 1.049896, 1.199768, 2.915955, 2.199677, 1.649872, 1.766174, 1.0336, 2.682709, 0.6000366, 1.616241, 2.449554, 2.482849, 0.5997925, 4.232666, 2.216309, 3.365845, 3.782532]
Shot time (s): [2.599701, 5.682648, 5.848785, 4.415649, 1.233398, 2.81601, 0.9831543, 2.36618, 2.065979, 7.615234, 3.799103, 3.282867, 1.782562, 1.849609, 1.766663, 2.16571, 2.816315, 0.599884, 5.098633, 0.5167542, 1.933044, 2.399109, 2.399841, 0.9163208, 2.216003, 3.599304, 0.8165894, 2.499695, 3.116028, 0.8500366]
Step time (s): [2.69928, 3.848999, 2.282837, 2.066254, 2.049438, 1.183319, 1.166412, 3.516266, 2.49939, 5.648865, 1.933014, 9.38147, 3.316132, 0.5830383, 0.8163452, 0.9328918, 2.132721, 1.399628, 0.6328125, 2.08316, 0.9327393, 2.866333, 1.066528, 1.282898, 4.082458, 2.199463, 0.9663086, 0.7333374, 2.682495, 1.783081]
White horz (deg): [23.58, 92.10001, 83.33999, 30.6, 88.01998, 405.9, 725.0389, 504.8997, 14.46, 124.5, 9.059999, 81.71998, 126.66, 122.34, 33.35999, 366.7798, 169.74, 119.82, 179.76, 82.67999, 189.18, 10.2, 147, 207.3599, 134.04, 7.859999, 413.0399, 188.3401, 147.12, 342.7199]
Shot horz (deg): [106.86, 367.9797, 637.4997, 146.04, 34.55999, 148.56, 40.98, 97.79999, 127.56, 773.2792, 274.5599, 179.94, 174, 172.38, 158.04, 112.32, 232.02, 5.219999, 494.5801, 6.179998, 174.6, 219.8999, 184.8599, 48.23999, 94.37999, 336.5399, 45.66, 135.84, 192.9599, 45.18]
Step horz (deg): [141.72, 190.02, 62.64, 213.4799, 99.65997, 12.9, 7.199997, 140.7599, 154.26, 527.8195, 202.6799, 901.1393, 325.1398, 26.33999, 37.86, 60.24, 157.0799, 208.08, 28.8, 100.44, 34.08, 173.94, 6.959998, 40.68001, 219.9, 112.86, 49.56, 36.96, 97.67999, 32.52]
White vert (deg): [3.72, 38.28, 57.42001, 47.39999, 49.62, 204.54, 338.9998, 258.4198, 12.54, 98.52, 29.15999, 32.04, 45.24, 34.20001, 37.38, 135.84, 63.96001, 24.9, 41.22001, 47.94001, 186.96, 25.62, 82.79997, 98.39999, 151.02, 7.559999, 282.5999, 139.3199, 210.66, 206.88]
Shot vert (deg): [70.80001, 169.8599, 237.5399, 89.4, 44.09999, 58.68, 41.58, 173.1599, 93.53999, 359.34, 107.16, 98.4, 118.92, 26.04, 37.8, 58.49999, 83.45999, 25.26, 278.5799, 16.44, 117.18, 100.74, 98.16003, 17.88, 144.48, 202.8, 29.46, 125.22, 73.08, 25.73999]
Step vert (deg): [64.8, 108.9, 56.28, 72.6, 61.19999, 41.16, 29.34, 199.74, 104.88, 186.1799, 90.71998, 281.34, 103.38, 2.88, 10.08, 17.16, 62.52, 69.11999, 9.9, 44.94, 26.52, 216.18, 34.68, 16.08, 248.58, 86.81999, 20.94, 23.16, 107.04, 42.12]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
350.30: (0.91, -0.32, -0.28): 0
350.30: (0.70, -0.71, -0.07)
350.41: (0.70, -0.71, -0.07)
350.51: (0.72, -0.69, -0.06)
350.63: (0.72, -0.69, -0.06)
350.75: (0.72, -0.69, -0.06)
350.86: (0.76, -0.65, -0.07)
350.96: (0.86, -0.48, -0.16)
351.08: (0.90, -0.38, -0.21)
351.20: (0.90, -0.38, -0.21)
351.30: (0.90, -0.38, -0.21)
351.30: (-0.09, -0.79, 0.61): 0
351.31: (0.90, -0.38, -0.21)
351.43: (0.90, -0.38, -0.21)
351.55: (0.90, -0.38, -0.21)
351.65: (0.90, -0.38, -0.21)
351.76: (0.90, -0.38, -0.21)
351.88: (0.66, -0.74, -0.08)
351.98: (0.37, -0.93, 0.09)
352.10: (0.04, -0.97, 0.23)
352.20: (-0.09, -0.92, 0.38)
352.31: (0.07, -0.81, 0.59)
352.43: (0.02, -0.79, 0.62)
352.55: (-0.10, -0.79, 0.61)
352.58: (-0.10, -0.79, 0.61)
352.58: (-1.00, -0.03, -0.02): 2
352.65: (-0.10, -0.79, 0.61)
352.76: (-0.10, -0.78, 0.61)
352.88: (-0.10, -0.78, 0.61)
353.00: (-0.10, -0.78, 0.61)
353.11: (-0.09, -0.80, 0.60)
353.21: (0.16, -0.91, 0.38)
353.33: (0.32, -0.91, 0.24)
353.45: (0.32, -0.91, 0.24)
353.55: (0.32, -0.91, 0.24)
353.66: (0.33, -0.91, 0.25)
353.78: (0.01, -0.97, 0.24)
353.90: (-0.35, -0.90, 0.26)
354.01: (-0.35, -0.90, 0.26)
354.13: (-0.35, -0.90, 0.26)
354.23: (-0.35, -0.90, 0.26)
354.35: (-0.37, -0.90, 0.24)
354.46: (-0.43, -0.86, 0.27)
354.58: (-0.66, -0.69, 0.31)
354.70: (-0.92, -0.26, 0.30)
354.80: (-0.96, 0.00, 0.29)
354.91: (-0.99, 0.01, 0.13)
355.03: (-1.00, -0.04, 0.04)
355.15: (-1.00, -0.05, 0.02)
355.26: (-1.00, -0.07, -0.03)
355.28: (-1.00, -0.07, -0.03)
355.28: (0.37, -0.60, 0.71): 1
355.38: (-1.00, -0.07, -0.03)
355.50: (-1.00, -0.07, -0.02)
355.61: (-1.00, -0.07, -0.02)
355.71: (-1.00, -0.07, -0.01)
355.83: (-1.00, -0.07, -0.01)
355.93: (-0.99, -0.12, -0.01)
356.05: (-0.87, -0.49, -0.01)
356.15: (-0.63, -0.77, -0.02)
356.26: (-0.33, -0.94, -0.04)
356.38: (0.04, -1.00, 0.04)
356.50: (0.04, -1.00, 0.05)
356.61: (0.04, -1.00, 0.05)
356.71: (0.04, -1.00, 0.05)
356.83: (0.04, -1.00, 0.05)
356.95: (0.05, -1.00, 0.04)
357.06: (0.07, -1.00, 0.02)
357.18: (0.10, -0.99, 0.07)
357.28: (0.18, -0.93, 0.31)
357.40: (0.22, -0.78, 0.58)
357.51: (0.22, -0.63, 0.74)
357.63: (0.23, -0.61, 0.76)
357.75: (0.32, -0.64, 0.70)
357.85: (0.36, -0.64, 0.68)
357.88: (0.36, -0.64, 0.68)
357.88: (-0.66, -0.67, -0.34): 0
357.96: (0.36, -0.64, 0.68)
358.06: (0.36, -0.64, 0.68)
358.16: (0.36, -0.64, 0.68)
358.28: (0.36, -0.64, 0.68)
358.40: (0.27, -0.71, 0.65)
358.50: (-0.02, -0.90, 0.43)
358.61: (-0.39, -0.91, 0.16)
358.73: (-0.67, -0.74, -0.07)
358.85: (-0.77, -0.61, -0.19)
358.96: (-0.68, -0.69, -0.24)
359.08: (-0.64, -0.72, -0.26)
359.11: (-0.64, -0.72, -0.26)
359.11: (-0.50, -0.31, -0.81): 0
359.18: (-0.64, -0.72, -0.26)
359.30: (-0.64, -0.72, -0.26)
359.40: (-0.64, -0.72, -0.26)
359.51: (-0.59, -0.79, -0.15)
359.63: (-0.59, -0.79, -0.15)
359.73: (-0.59, -0.79, -0.15)
359.85: (-0.60, -0.79, -0.16)
359.96: (-0.65, -0.68, -0.35)
360.08: (-0.61, -0.53, -0.59)
360.18: (-0.57, -0.45, -0.69)
360.28: (-0.57, -0.44, -0.70)
360.40: (-0.56, -0.39, -0.73)
360.51: (-0.54, -0.29, -0.79)
360.61: (-0.53, -0.30, -0.79)
360.63: (-0.53, -0.30, -0.79)
360.63: (-0.24, -0.07, 0.97): 2
360.73: (-0.53, -0.30, -0.79)
360.83: (-0.53, -0.33, -0.78)
360.95: (-0.56, -0.40, -0.73)
361.06: (-0.56, -0.40, -0.73)
361.18: (-0.56, -0.40, -0.73)
361.30: (-0.56, -0.40, -0.73)
361.41: (-0.56, -0.40, -0.73)
361.51: (-0.54, -0.40, -0.74)
361.63: (-0.54, -0.38, -0.75)
361.75: (-0.53, -0.37, -0.77)
361.85: (-0.51, -0.38, -0.77)
361.96: (-0.52, -0.34, -0.78)
362.08: (-0.60, -0.02, -0.80)
362.20: (-0.58, 0.10, -0.81)
362.31: (-0.58, 0.15, -0.80)
