3/27/2023 3:08:22 PM
Mode: Default
White time (s): [1.849701, 3.582794, 2.765961, 4.499176, 8.381683, 1.349762, 1.982666, 1.399506, 0.9500122, 2.799866, 2.982391, 1.366425, 11.0311, 5.365509, 1.216034, 5.299072, 1.483154, 1.349487, 2.216492, 0.6663208, 1.18335, 1.449768, 3.082642, 1.699341, 1.849609, 1.616089, 1.133362, 1.000122, 1.666443, 8.648376]
Shot time (s): [1.649902, 1.916199, 4.532227, 3.149384, 0.8329773, 1.716461, 1.94928, 2.433075, 1.249847, 2.766357, 2.09964, 1.000061, 4.249023, 2.599335, 1.916748, 1.199707, 0.8667603, 2.232849, 2.366638, 2.9328, 0.9326782, 2.149414, 1.416687, 0.7329102, 8.465027, 2.49939, 1.132813, 2.016235, 0.9998779, 4.382446]
Step time (s): [0.7330322, 1.549957, 0.9497986, 3.699219, 2.282928, 4.282776, 2.232513, 0.7331238, 1.965912, 2.015991, 6.648499, 2.582703, 1.549622, 2.132935, 2.499481, 3.132507, 1.116333, 1.399658, 1.866272, 0.7327271, 1.116699, 1.216553, 2.332947, 2.849487, 5.282288, 2.76593, 1.949768, 3.465698, 3.398926, 2.999573]
White horz (deg): [26.88498, 209.5701, 233.3199, 423.9852, 799.0444, 78.94497, 93.47997, 123.595, 19.18999, 229.805, 228.5699, 98.13497, 1362.966, 478.99, 92.90997, 639.9199, 156.7499, 123.12, 212.23, 19.85499, 139.46, 100.985, 348.4599, 127.585, 132.3349, 145.54, 103.17, 83.97997, 136.0399, 733.304]
Shot horz (deg): [187.15, 211.3749, 673.8349, 54.14999, 5.699996, 83.12497, 156.6549, 174.8, 119.795, 215.84, 182.495, 46.73998, 467.4949, 132.525, 110.0099, 139.08, 55.19497, 221.4449, 277.4001, 361.76, 101.46, 221.73, 110.39, 47.68998, 869.8197, 198.55, 91.38995, 207.0049, 70.48997, 417.7152]
Step horz (deg): [28.30998, 114.7599, 9.689997, 413.5349, 247.9499, 410.2103, 166.725, 18.52499, 107.065, 165.87, 684.1896, 231.3249, 168.0549, 154.565, 243.6749, 408.8799, 35.43499, 168.53, 122.835, 41.41999, 37.71498, 111.34, 292.505, 313.0249, 345.515, 188.5749, 199.31, 404.7951, 381.235, 194.9401]
White vert (deg): [9.689995, 95.94998, 60.13497, 153.9002, 362.5203, 40.56498, 93.76498, 29.54498, 34.96, 85.78497, 34.57999, 44.36498, 540.4561, 249.945, 54.81496, 253.9351, 42.93998, 51.01498, 59.94498, 26.21999, 17.47999, 91.48497, 148.1051, 17.85999, 54.14998, 78.56498, 47.97499, 37.335, 49.20998, 293.7402]
Shot vert (deg): [37.33498, 59.84997, 154.6599, 96.61499, 17.28999, 52.15497, 33.34498, 76.66501, 41.79998, 48.92498, 88.44498, 34.76999, 116.28, 105.925, 43.31997, 45.78997, 3.989998, 66.87997, 118.75, 103.835, 13.10999, 78.56498, 61.27497, 25.55499, 244.7202, 58.99498, 48.73499, 85.30998, 25.55499, 166.82]
Step vert (deg): [31.44499, 40.08998, 7.979996, 107.635, 83.02997, 291.175, 85.21498, 27.07498, 46.73998, 44.36499, 264.2902, 119.51, 32.29998, 60.70497, 50.15999, 139.1751, 45.97998, 22.70499, 101.175, 10.545, 58.99496, 15.29499, 71.91497, 129.39, 162.2602, 82.45995, 121.8849, 321.385, 181.7351, 111.15]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
383.77: (0.02, 0.57, -0.82): 0
383.77: (-0.26, 0.38, -0.89)
383.89: (-0.26, 0.38, -0.89)
383.99: (-0.26, 0.38, -0.89)
384.09: (-0.26, 0.38, -0.89)
384.19: (-0.26, 0.38, -0.89)
384.31: (-0.26, 0.38, -0.89)
384.41: (-0.26, 0.38, -0.89)
384.52: (-0.26, 0.38, -0.89)
384.64: (-0.15, 0.39, -0.91)
384.76: (0.12, 0.42, -0.90)
384.87: (0.13, 0.43, -0.89)
384.99: (0.12, 0.46, -0.88)
385.09: (0.07, 0.49, -0.87)
385.21: (0.05, 0.53, -0.85)
385.32: (0.05, 0.54, -0.84)
385.42: (0.05, 0.54, -0.84)
385.54: (0.05, 0.54, -0.84)
385.62: (0.05, 0.54, -0.84)
385.62: (0.19, -0.09, 0.98): 1
385.66: (0.05, 0.54, -0.84)
385.76: (0.05, 0.54, -0.84)
385.87: (0.05, 0.54, -0.84)
385.97: (0.05, 0.54, -0.84)
386.09: (0.05, 0.54, -0.84)
386.21: (0.23, 0.52, -0.82)
386.31: (0.90, 0.23, -0.37)
386.42: (0.99, 0.11, -0.12)
386.54: (1.00, 0.04, -0.02)
386.66: (0.85, -0.26, 0.46)
386.76: (0.39, -0.46, 0.80)
386.86: (0.06, -0.47, 0.88)
386.97: (-0.04, -0.43, 0.90)
387.09: (0.07, -0.29, 0.96)
387.19: (0.12, -0.21, 0.97)
387.27: (0.12, -0.21, 0.97)
387.27: (0.34, 0.78, -0.53): 1
387.31: (0.12, -0.20, 0.97)
387.41: (0.14, -0.17, 0.98)
387.52: (0.14, -0.17, 0.98)
387.64: (0.14, -0.17, 0.98)
387.76: (0.14, -0.17, 0.98)
387.86: (0.14, -0.17, 0.98)
387.96: (0.44, -0.26, 0.86)
388.07: (0.91, -0.23, 0.35)
388.19: (0.98, -0.12, -0.15)
388.31: (0.91, 0.00, -0.42)
388.42: (0.77, 0.15, -0.63)
388.54: (0.36, 0.34, -0.87)
388.64: (0.07, 0.39, -0.92)
388.74: (-0.04, 0.45, -0.89)
388.84: (0.22, 0.64, -0.74)
388.96: (0.43, 0.75, -0.50)
389.07: (0.39, 0.74, -0.55)
389.17: (0.33, 0.74, -0.58)
389.19: (0.33, 0.74, -0.58)
389.19: (0.09, 0.48, -0.87): 2
389.29: (0.33, 0.74, -0.58)
389.39: (0.36, 0.73, -0.59)
389.51: (0.40, 0.63, -0.66)
389.62: (0.18, 0.48, -0.86)
389.74: (0.05, 0.45, -0.89)
389.86: (0.10, 0.52, -0.85)
389.92: (0.10, 0.53, -0.84)
389.92: (0.74, -0.64, -0.21): 2
389.97: (0.10, 0.53, -0.84)
390.07: (0.12, 0.53, -0.84)
390.19: (0.26, 0.51, -0.82)
390.29: (0.34, 0.48, -0.81)
390.41: (0.38, 0.44, -0.81)
390.51: (0.42, 0.41, -0.81)
390.61: (0.52, 0.35, -0.78)
390.72: (0.82, 0.18, -0.54)
390.84: (0.95, 0.01, -0.31)
390.96: (0.98, -0.17, -0.06)
391.07: (0.95, -0.29, 0.13)
391.19: (0.92, -0.39, -0.08)
391.29: (0.82, -0.54, -0.19)
391.41: (0.80, -0.58, -0.15)
391.47: (0.80, -0.58, -0.15)
391.47: (0.97, 0.03, 0.22): 1
391.52: (0.80, -0.58, -0.15)
391.64: (0.81, -0.56, -0.15)
391.74: (0.82, -0.56, -0.16)
391.86: (0.84, -0.48, -0.26)
