3/27/2023 3:24:02 PM
Mode: Mono
White time (s): [1.282898, 1.249817, 4.582581, 3.032776, 1.199615, 3.366211, 1.999756, 1.33316, 2.24942, 4.365723, 1.416351, 1.899353, 2.832916, 0.532959, 5.232361, 1.416504, 0.6832275, 1.333038, 0.4830933, 0.5830078, 3.649261, 1.566406, 6.931946, 1.066284, 1.416443, 0.6002197, 0.5167236, 2.499451, 1.699646, 0.5494385]
Shot time (s): [0.5334167, 1.916199, 1.366211, 5.715332, 2.716003, 0.7000122, 1.933044, 0.6667175, 2.032684, 0.6993713, 0.8166504, 4.099518, 0.7662048, 1.899506, 3.666229, 4.232422, 3.965118, 1.249817, 0.5834656, 0.4166565, 5.33197, 2.832764, 2.982788, 4.215454, 3.599243, 0.4666138, 1.016235, 1.399475, 1.166382, 1.066711]
Step time (s): [2.566376, 4.448853, 1.632629, 2.899567, 4.632751, 2.999451, 2.149475, 1.565948, 3.299408, 0.9663696, 1.899628, 1.233124, 4.283081, 5.215698, 1.566254, 0.9832764, 1.499817, 3.948975, 0.4500427, 0.433075, 1.483215, 0.4332275, 2.349609, 1.916565, 4.166138, 1.482788, 1.149475, 0.5831299, 5.049011, 3.949463]
White horz (deg): [145.81, 135.24, 669.7599, 316.5401, 96.94995, 458.3599, 244.02, 150.78, 190.47, 439.67, 179.34, 216.79, 385.7001, 15.96, 525, 98.20995, 66.21997, 206.9899, 26.38999, 52.28999, 540.75, 183.82, 1179.779, 95.40998, 181.0199, 52.28999, 47.31999, 408.3799, 174.9299, 48.43999]
Shot horz (deg): [27.29999, 176.05, 115.64, 600.5295, 263.1999, 59.21998, 233.7999, 53.40998, 149.73, 52.35999, 98.34998, 621.6699, 85.39998, 126.28, 379.0498, 418.88, 567.9098, 94.00997, 53.96999, 21.90999, 769.09, 432.1798, 486.9199, 415.3099, 354.3399, 28.41999, 90.64998, 176.19, 139.51, 122.15]
Step horz (deg): [293.7899, 693.7697, 181.79, 426.8599, 591.2899, 207.27, 214.13, 218.4699, 412.4401, 83.92998, 161.7699, 96.45995, 644.4901, 657.2999, 246.68, 118.72, 158.83, 369.1798, 24.84999, 14.42, 246.8199, 41.01999, 293.16, 220.9899, 482.0199, 253.5399, 166.6, 64.18998, 562.8698, 525.7]
White vert (deg): [15.26, 57.04999, 476, 276.78, 113.82, 324.1001, 313.81, 53.47998, 83.50999, 464.31, 52.98997, 57.67997, 287.9799, 31.00999, 426.2299, 105.9099, 39.96999, 69.50997, 21.55999, 45.49998, 232.1199, 102.83, 908.5296, 55.71997, 67.40998, 52.42999, 12.39, 257.95, 211.2599, 18.26999]
Shot vert (deg): [19.52999, 166.2499, 76.57996, 639.52, 264.3199, 48.08998, 133.07, 44.23999, 283.36, 24.77999, 27.22999, 391.1601, 29.04999, 234.4999, 309.6101, 576.5895, 274.1899, 112.9799, 31.63999, 29.18999, 639.45, 249.1299, 213.9899, 193.41, 285.6001, 21.7, 93.72997, 117.81, 106.4, 70.06996]
Step vert (deg): [200.3401, 324.66, 106.96, 227.5, 539.84, 284.34, 139.44, 71.11995, 488.0399, 48.71998, 86.44998, 56.41998, 410.69, 541.5199, 66.91998, 29.60999, 62.64997, 264.81, 21.77, 24.64, 99.32998, 19.87999, 272.7899, 101.57, 334.1099, 77.13998, 51.51998, 30.45, 447.6498, 341.5999]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
366.49: (0.66, -0.37, -0.66): 2
366.49: (-0.36, 0.66, -0.66)
366.59: (-0.35, 0.65, -0.67)
366.71: (-0.53, 0.40, -0.75)
366.83: (-0.68, 0.10, -0.73)
366.94: (-0.72, -0.05, -0.69)
367.06: (-0.74, -0.10, -0.67)
367.18: (-0.79, -0.19, -0.58)
367.28: (-0.85, -0.41, -0.33)
367.39: (-0.74, -0.67, 0.03)
367.51: (-0.69, -0.62, 0.38)
367.61: (-0.62, -0.43, 0.66)
367.73: (-0.33, -0.52, 0.79)
367.83: (-0.17, -0.80, 0.57)
367.93: (-0.09, -0.95, 0.30)
368.04: (-0.02, -1.00, 0.00)
368.16: (0.06, -0.94, -0.35)
368.26: (0.05, -0.78, -0.62)
368.36: (-0.43, -0.57, -0.70)
368.48: (-0.64, -0.46, -0.61)
368.59: (-0.03, -0.62, -0.79)
368.69: (0.26, -0.59, -0.77)
368.81: (0.29, -0.58, -0.77)
368.91: (0.41, -0.52, -0.75)
369.01: (0.62, -0.42, -0.67)
369.06: (0.63, -0.41, -0.66)
369.06: (-0.90, -0.01, -0.44): 2
369.13: (0.63, -0.41, -0.66)
369.24: (0.60, -0.44, -0.66)
369.36: (0.45, -0.53, -0.72)
369.48: (0.42, -0.56, -0.72)
369.59: (0.41, -0.56, -0.72)
369.69: (0.18, -0.69, -0.70)
369.79: (0.00, -0.83, -0.56)
369.91: (0.54, -0.75, -0.38)
370.03: (0.93, -0.35, -0.11)
370.13: (0.99, -0.06, 0.12)
370.24: (0.97, 0.03, 0.23)
370.36: (0.86, 0.05, 0.51)
370.46: (0.74, 0.30, 0.60)
370.56: (0.71, 0.45, 0.54)
370.68: (0.47, 0.38, 0.80)
370.79: (0.31, 0.07, 0.95)
370.91: (0.28, -0.20, 0.94)
371.03: (0.41, -0.55, 0.72)
371.13: (0.63, -0.74, -0.25)
371.24: (0.43, -0.59, -0.68)
371.36: (0.24, -0.11, -0.96)
371.48: (0.28, 0.09, -0.96)
371.58: (0.46, 0.23, -0.86)
371.68: (0.54, 0.49, -0.69)
371.79: (0.44, 0.74, -0.51)
371.89: (0.51, 0.81, -0.28)
372.01: (0.15, 0.99, 0.02)
372.13: (-0.01, 0.99, 0.13)
372.24: (0.47, 0.84, 0.27)
372.34: (0.86, 0.40, 0.31)
372.46: (0.98, -0.09, 0.16)
372.58: (0.90, -0.42, 0.12)
372.69: (0.61, -0.79, -0.10)
372.79: (0.24, -0.94, -0.25)
372.91: (-0.25, -0.83, -0.49)
373.03: (-0.68, -0.58, -0.45)
373.14: (-0.95, -0.25, -0.18)
373.24: (-0.99, 0.11, -0.11)
373.36: (-0.94, 0.06, -0.34)
373.48: (-0.89, 0.02, -0.45)
373.51: (-0.89, 0.02, -0.45)
373.51: (-0.99, 0.05, -0.13): 1
373.59: (-0.89, 0.02, -0.45)
373.69: (-0.87, -0.12, -0.47)
373.79: (-0.90, -0.21, -0.38)
373.91: (-0.96, -0.13, -0.24)
374.01: (-0.98, -0.05, -0.17)
374.04: (-0.99, -0.02, -0.15)
374.04: (0.94, 0.28, -0.20): 2
374.13: (-0.99, -0.01, -0.14)
374.24: (-0.98, -0.11, -0.17)
374.34: (-0.98, -0.11, -0.17)
374.46: (-0.98, -0.11, -0.17)
374.58: (-0.93, 0.33, -0.16)
374.68: (-0.74, 0.66, -0.15)
374.79: (-0.51, 0.85, -0.09)
374.91: (0.01, 0.99, 0.11)
375.03: (0.30, 0.95, 0.13)
375.14: (0.62, 0.78, -0.08)
375.24: (0.76, 0.50, -0.42)
375.34: (0.82, 0.05, -0.56)
375.46: (0.92, 0.09, -0.39)
375.58: (0.92, 0.26, -0.28)
375.68: (0.92, 0.26, -0.28)
375.68: (-0.68, -0.66, 0.32): 2
375.69: (0.92, 0.26, -0.28)
375.79: (0.93, 0.26, -0.26)
375.91: (0.90, 0.30, -0.31)
376.01: (0.90, 0.30, -0.31)
376.13: (0.90, 0.30, -0.31)
376.23: (0.90, 0.13, -0.42)
376.34: (0.75, -0.18, -0.64)
376.46: (0.60, -0.41, -0.69)
376.57: (0.48, -0.71, -0.52)
376.69: (0.31, -0.80, -0.51)
376.79: (0.18, -0.93, -0.31)
376.89: (0.36, -0.93, -0.01)
377.01: (0.73, -0.60, 0.32)
377.12: (0.75, -0.30, 0.59)
377.22: (0.71, -0.10, 0.70)
377.34: (0.65, 0.11, 0.75)
377.46: (0.94, 0.11, 0.33)
377.56: (0.78, -0.25, -0.58)
377.67: (0.18, -0.36, -0.91)
377.77: (-0.32, -0.34, -0.89)
377.89: (-0.76, -0.31, -0.57)
378.01: (-0.96, -0.27, -0.10)
378.11: (-0.92, -0.20, 0.32)
378.21: (-0.72, -0.21, 0.67)
378.32: (-0.58, -0.28, 0.76)
378.44: (-0.71, -0.56, 0.42)
378.56: (-0.72, -0.62, 0.32)
378.57: (-0.72, -0.62, 0.32)
378.57: (0.96, 0.07, 0.27): 1
378.67: (-0.72, -0.62, 0.32)
378.77: (-0.66, -0.59, 0.46)
378.89: (-0.58, -0.61, 0.54)
379.01: (-0.42, -0.60, 0.68)
379.11: (-0.24, -0.60, 0.76)
379.21: (-0.03, -0.79, 0.62)
379.32: (0.16, -0.94, 0.30)
379.44: (0.34, -0.82, 0.45)
379.56: (0.57, -0.57, 0.59)
379.66: (0.66, -0.18, 0.73)
