3/27/2023 3:26:51 PM
Mode: Stereo
White time (s): [1.233215, 1.482788, 3.532715, 0.5166626, 1.699707, 1.099609, 0.3668823, 0.3665161, 1.866089, 0.750061, 1.666504, 0.4498901, 1.049744, 1.816284, 1.716431, 0.7832642, 0.9830322, 1.166626, 4.165894, 0.499939, 1.166321, 2.449524, 4.382507, 1.333069, 1.91626, 1.732544, 1.916199, 0.3834839, 1.449768, 2.333008]
Shot time (s): [3.182617, 1.249756, 0.9832764, 1.032837, 3.616211, 2.449036, 2.083252, 1.06665, 0.3334961, 0.9329224, 1.382874, 0.4830933, 1.366272, 3.416077, 1.282959, 2.199463, 0.4501343, 2.882629, 1.533081, 1.666504, 1.899292, 2.48291, 2.149597, 1.749939, 1.316589, 0.3999023, 1.983215, 4.04895, 1.999634, 2.682556]
Step time (s): [1.316345, 0.699707, 3.582764, 3.832275, 2.416443, 1.63269, 0.5994263, 1.816467, 4.149231, 3.649048, 1.133057, 0.4165649, 1.616272, 0.8165894, 1.749451, 1.633301, 2.232361, 2.332947, 3.682739, 2.299683, 1.899658, 3.332581, 2.232971, 1.782715, 1.516418, 1.366211, 2.232849, 1.382874, 0.6165771, 1.382996]
White horz (deg): [150.29, 176.68, 266.2099, 7.77, 150.08, 129.5, 5.599998, 2.309999, 172.62, 53.47998, 156.45, 26.66999, 109.27, 170.38, 179.2, 46.68999, 126.77, 148.75, 329.7701, 11.34, 136.15, 216.9298, 419.86, 145.95, 281.5399, 142.8, 79.58994, 8.959998, 268.87, 252.6999]
Shot horz (deg): [267.82, 119.49, 89.24998, 90.64999, 239.6101, 232.33, 59.70998, 97.01995, 11.69, 102.76, 147.7699, 37.23999, 122.4999, 300.5802, 144.83, 206.85, 27.85999, 243.6, 170.52, 139.72, 99.11993, 229.5299, 166.46, 152.8799, 184.5899, 15.68, 59.21997, 231.4203, 164.01, 331.45]
Step horz (deg): [122.85, 46.68998, 345.8, 327.46, 220.2899, 138.0399, 25.96999, 66.98997, 327.9499, 429.1698, 121.1, 21.91, 178.1499, 77.20996, 191.17, 73.07999, 222.5999, 147, 261.1, 187.5299, 204.75, 274.68, 110.3199, 227.85, 37.58997, 99.32996, 204.6799, 142.8, 50.81999, 137.62]
White vert (deg): [48.64998, 52.42999, 229.04, 25.76, 126.14, 39.82999, 7.909998, 4.269999, 78.81997, 33.80999, 92.46994, 23.87, 47.03998, 72.86996, 115.78, 42.42, 44.72999, 49.41998, 294.7699, 25.89999, 54.10999, 98.06992, 208.4599, 76.02, 84.83996, 46.47998, 117.74, 7.279998, 70.55997, 203.49]
Shot vert (deg): [142.94, 25.89999, 10.64, 20.71999, 312.6899, 142.8699, 171.36, 34.02, 3.919999, 55.92999, 79.02999, 12.46, 51.16999, 178.0799, 42.27997, 100.1, 11.62, 104.9999, 92.61, 62.15998, 170.45, 149.94, 163.87, 30.93999, 73.14998, 2.169999, 189.0699, 298.97, 59.63999, 161.98]
Step vert (deg): [68.94996, 8.189999, 244.86, 233.5901, 54.59998, 106.9599, 43.61, 159.5299, 209.1599, 129.7799, 33.66999, 10.71, 48.15997, 35.21, 119.21, 82.73996, 122.92, 126.21, 172.4099, 94.98992, 113.19, 228.5501, 176.47, 107.38, 172.1999, 34.08999, 97.64999, 76.92999, 8.539996, 25.12999]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
572.82: (-0.16, 0.94, -0.29): 1
572.82: (0.92, 0.19, 0.34)
572.93: (0.92, 0.19, 0.33)
573.03: (0.92, 0.19, 0.33)
573.15: (0.92, 0.19, 0.33)
573.27: (0.93, 0.16, 0.32)
573.38: (0.91, 0.19, 0.38)
573.50: (0.62, 0.39, 0.68)
573.62: (0.29, 0.51, 0.81)
573.72: (0.03, 0.54, 0.84)
573.83: (-0.25, 0.57, 0.78)
573.95: (-0.52, 0.55, 0.65)
574.07: (-0.86, 0.41, 0.30)
574.18: (-0.97, 0.22, -0.05)
574.30: (-0.95, 0.04, -0.30)
574.42: (-0.91, -0.06, -0.41)
574.52: (-0.90, -0.08, -0.43)
574.62: (-0.90, -0.11, -0.42)
574.73: (-0.90, -0.11, -0.42)
574.85: (-0.67, -0.37, -0.64)
574.97: (-0.25, -0.56, -0.79)
575.07: (-0.32, -0.52, -0.79)
575.18: (-0.32, -0.46, -0.83)
575.28: (-0.27, -0.15, -0.95)
575.38: (-0.20, 0.13, -0.97)
575.50: (-0.16, 0.38, -0.91)
575.62: (-0.10, 0.70, -0.71)
575.73: (-0.01, 0.87, -0.49)
575.85: (0.02, 0.95, -0.33)
575.97: (-0.20, 0.91, -0.37)
576.00: (-0.20, 0.91, -0.37)
576.00: (0.72, 0.47, -0.51): 2
576.08: (-0.19, 0.92, -0.36)
576.20: (-0.18, 0.92, -0.34)
576.32: (-0.33, 0.91, -0.27)
576.43: (-0.37, 0.90, -0.23)
576.55: (-0.35, 0.90, -0.26)
576.65: (-0.33, 0.90, -0.28)
576.77: (-0.06, 0.82, -0.56)
576.88: (0.48, 0.36, -0.80)
577.00: (0.72, -0.02, -0.70)
577.10: (0.70, 0.23, -0.67)
577.22: (0.65, 0.45, -0.61)
577.32: (0.65, 0.52, -0.56)
577.32: (1.00, -0.04, -0.04): 2
577.32: (0.65, 0.52, -0.56)
577.43: (0.65, 0.52, -0.56)
577.55: (0.65, 0.51, -0.57)
577.67: (0.72, 0.46, -0.52)
577.78: (0.96, 0.16, -0.23)
577.90: (1.00, 0.00, -0.08)
578.02: (1.00, -0.02, -0.09)
578.02: (-0.17, -0.72, 0.67): 1
578.02: (1.00, -0.02, -0.09)
578.12: (1.00, -0.03, -0.09)
578.23: (0.99, -0.01, -0.12)
578.35: (0.98, 0.04, -0.18)
578.45: (0.97, 0.07, -0.23)
578.57: (0.97, 0.07, -0.23)
578.68: (0.92, -0.40, 0.02)
578.78: (0.56, -0.76, 0.33)
578.90: (0.27, -0.85, 0.46)
579.02: (0.06, -0.84, 0.53)
579.13: (0.01, -0.79, 0.61)
579.25: (-0.14, -0.75, 0.65)
579.27: (-0.15, -0.75, 0.65)
579.27: (0.69, 0.53, 0.49): 2
579.37: (-0.15, -0.75, 0.65)
579.48: (-0.14, -0.75, 0.65)
579.58: (-0.14, -0.75, 0.65)
579.68: (-0.14, -0.75, 0.65)
579.80: (-0.14, -0.75, 0.65)
579.92: (-0.17, -0.81, 0.56)
580.03: (-0.26, -0.89, 0.37)
580.15: (0.33, -0.88, 0.35)
580.25: (0.52, -0.83, 0.20)
580.37: (0.20, -0.96, 0.18)
580.48: (-0.22, -0.96, 0.16)
580.60: (-0.26, -0.96, 0.06)
580.70: (0.16, -0.98, -0.08)
580.82: (0.79, -0.56, -0.23)
580.92: (0.88, -0.37, -0.31)
