3/28/2023 12:20:06 PM
Mode: Default
White time (s): [2.082581, 1.832947, 4.46582, 1.999756, 2.633179, 2.032776, 1.416443, 1.399597, 1.733093, 2.482971, 1.449646, 0.9831543, 0.6833496, 1.250061, 0.7997437, 0.5501099, 0.949585, 1.532837, 3.716003, 1.033264, 0.9163818, 1.233398, 2.315918, 0.7997437, 1.233093, 3.232849, 1.249634, 4.265869, 1.249817, 0.5164185]
Shot time (s): [2.316589, 0.9163818, 1.566284, 3.515808, 4.765747, 1.449402, 1.549805, 3.282532, 2.066528, 1.316223, 1.966187, 1.566528, 0.8167114, 1.999512, 0.8665771, 1.566223, 1.949524, 1.21637, 2.016235, 1.283142, 1.616699, 2.649536, 1.216736, 1.866211, 1.30011, 1.333069, 0.9165649, 1.049988, 1.132751, 0.9998779]
Step time (s): [2.782776, 1.432617, 0.6833496, 3.982544, 1.683044, 0.7832031, 1.066772, 0.616394, 0.9998169, 1.649536, 1.349792, 0.6832886, 0.5997925, 0.9498291, 1.999329, 0.7169189, 1.899414, 1.549316, 1.216614, 2.083008, 3.79895, 0.8832397, 2.265991, 1.782532, 1.349854, 0.4997559, 1.949524, 1.382751, 1.899719, 2.566406]
White horz (deg): [201.2499, 182.7699, 355.2502, 217.77, 222.25, 250.6, 140.84, 164.92, 241.9199, 323.12, 157.0099, 86.79997, 49.62997, 139.44, 86.44997, 39.26999, 76.15997, 106.05, 379.9599, 70.41997, 94.70997, 136.36, 197.6099, 81.89997, 175.42, 241.99, 130.55, 457.52, 133.7, 4.129999]
Shot horz (deg): [242.48, 84.34996, 93.79996, 329.56, 512.8199, 166.11, 276.43, 304.7099, 232.05, 156.59, 176.6099, 132.79, 97.29997, 297.5, 60.40998, 228.4099, 302.54, 155.2599, 300.7199, 145.95, 132.3, 250.95, 183.05, 175.42, 192.92, 154.77, 109.5499, 85.04997, 77.20998, 102.2]
Step horz (deg): [338.5199, 108.5, 14.91, 425.9499, 156.4499, 58.16999, 137.69, 50.46999, 89.03996, 240.87, 137.97, 54.80998, 45.14997, 99.67994, 191.8, 43.46999, 225.9599, 179.3399, 118.5799, 248.9899, 360.01, 76.99997, 293.79, 189, 109.2, 33.87999, 217, 144.2, 230.2299, 253.19]
White vert (deg): [185.01, 137.9, 420.8398, 94.14995, 151.27, 146.65, 68.03996, 40.66998, 84.34995, 130.4799, 106.4, 63.83998, 36.67999, 67.05997, 45.21999, 12.46, 40.10998, 70.97999, 344.8199, 93.58995, 27.29999, 84.48995, 177.38, 14.55999, 60.12999, 312.55, 126.21, 311.0799, 84.90999, 19.31999]
Shot vert (deg): [179.2, 68.18, 141.33, 239.3299, 308.0699, 79.23997, 87.00996, 228.97, 178.64, 110.88, 120.96, 109.9, 21.14, 99.25993, 63.83998, 75.45998, 123.4099, 65.23999, 105.7699, 115.9899, 108.85, 137.1299, 67.47997, 158.06, 89.24999, 60.12998, 59.91999, 73.63997, 38.14999, 69.36997]
Step vert (deg): [193.76, 90.01996, 61.66998, 209.23, 152.11, 44.72999, 36.11998, 33.52999, 44.30998, 75.24998, 78.18996, 29.18999, 15.39999, 35.62999, 114.1, 51.09998, 104.2299, 142.8699, 67.89996, 127.26, 304.1499, 26.24999, 104.16, 72.02995, 92.39995, 34.36999, 141.0499, 70.41995, 90.99995, 227.64]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
714.79: (-0.54, 0.46, 0.70): 0
714.79: (0.97, -0.25, -0.06)
714.91: (0.97, -0.25, -0.06)
715.03: (0.96, -0.26, -0.06)
715.14: (0.98, -0.19, -0.03)
715.24: (0.98, -0.18, 0.04)
715.36: (0.85, -0.52, 0.04)
715.48: (0.58, -0.82, -0.02)
715.59: (0.25, -0.97, -0.04)
715.71: (-0.14, -0.98, -0.14)
715.83: (-0.53, -0.82, -0.21)
715.93: (-0.71, -0.69, -0.14)
716.04: (-0.71, -0.70, 0.09)
716.16: (-0.61, -0.60, 0.52)
716.28: (-0.52, -0.40, 0.76)
716.39: (-0.39, -0.04, 0.92)
716.51: (-0.12, 0.13, 0.98)
716.63: (-0.21, 0.41, 0.88)
716.74: (-0.50, 0.48, 0.72)
716.86: (-0.54, 0.48, 0.69)
716.88: (-0.54, 0.48, 0.69)
716.88: (-1.00, 0.01, 0.09): 2
716.96: (-0.54, 0.48, 0.69)
717.06: (-0.54, 0.42, 0.73)
717.18: (-0.53, 0.14, 0.84)
717.29: (-0.44, -0.36, 0.82)
717.41: (-0.27, -0.67, 0.69)
717.51: (-0.14, -0.70, 0.70)
717.63: (0.20, -0.78, 0.59)
717.74: (0.52, -0.84, 0.14)
717.86: (0.68, -0.53, -0.50)
717.98: (0.66, -0.29, -0.69)
718.08: (0.68, -0.06, -0.73)
718.19: (0.85, 0.04, -0.52)
718.29: (0.95, 0.20, -0.26)
718.41: (0.72, 0.60, -0.33)
718.51: (0.60, 0.74, -0.31)
718.63: (0.31, 0.93, -0.21)
718.74: (-0.23, 0.96, -0.15)
718.86: (-0.67, 0.73, -0.09)
718.98: (-0.71, 0.70, -0.12)
719.09: (-0.71, 0.70, -0.12)
719.21: (-0.72, 0.68, -0.12)
719.33: (-0.95, 0.30, 0.03)
719.43: (-0.99, 0.14, 0.02)
719.54: (-0.99, 0.17, 0.00)
719.66: (-0.99, 0.16, 0.01)
719.66: (0.72, -0.52, 0.46): 1
719.66: (-0.99, 0.16, 0.01)
719.78: (-1.00, -0.03, 0.07)
719.88: (-1.00, -0.03, 0.07)
719.99: (-1.00, 0.06, 0.02)
720.11: (-0.85, 0.52, -0.02)
720.23: (-0.57, 0.82, 0.11)
720.33: (-0.80, 0.60, 0.05)
720.44: (-0.99, -0.07, -0.13)
720.56: (-0.94, -0.33, 0.04)
720.66: (-0.84, -0.41, 0.35)
720.78: (-0.64, -0.45, 0.63)
720.89: (-0.41, -0.58, 0.70)
721.01: (-0.02, -0.70, 0.71)
721.13: (0.41, -0.77, 0.49)
721.24: (0.74, -0.67, 0.11)
721.34: (0.78, -0.63, 0.01)
721.46: (0.78, -0.63, 0.01)
721.58: (0.73, -0.67, 0.17)
721.68: (0.71, -0.66, 0.26)
721.79: (0.67, -0.65, 0.35)
721.91: (0.67, -0.61, 0.42)
721.98: (0.67, -0.59, 0.45)
721.98: (-0.64, 0.01, 0.77): 2
722.03: (0.67, -0.59, 0.45)
722.14: (0.65, -0.60, 0.47)
722.26: (0.54, -0.68, 0.49)
722.38: (0.44, -0.74, 0.51)
722.49: (0.30, -0.78, 0.55)
722.59: (0.12, -0.79, 0.60)
722.71: (-0.19, -0.67, 0.72)
722.83: (-0.33, -0.25, 0.91)
722.94: (-0.18, 0.08, 0.98)
723.06: (-0.16, 0.40, 0.90)
723.16: (-0.37, 0.21, 0.90)
