3/28/2023 12:24:46 PM
Mode: Stereo
White time (s): [1.66626, 0.583252, 2.032898, 0.4334717, 0.75, 1.599731, 6.71521, 1.616333, 2.399292, 0.4001465, 0.7663574, 2.432861, 3.966064, 0.383667, 0.3996582, 1.766357, 1.866577, 1.74939, 0.3500977, 1.599365, 1.233154, 0.6330566, 0.5002441, 0.4835205, 1.382935, 0.7830811, 0.5001221, 0.5664063, 0.3502197, 2.015991]
Shot time (s): [1.14978, 1.116577, 0.9160156, 1.316895, 0.3830566, 0.449585, 1.382935, 1.766357, 1.233276, 1.033325, 1.116699, 0.8165283, 1.316406, 3.032715, 1.283081, 1.666382, 0.6502686, 1.032593, 2.665649, 0.9663086, 1.682861, 1.165894, 0.5501709, 3.96582, 1.533447, 1.10022, 1.315918, 1.716431, 1.099976, 3.998901]
Step time (s): [1.583008, 1.066528, 0.5831299, 1.199829, 0.4332275, 2.016235, 1.250122, 2.982788, 1.73291, 1.832886, 2.032959, 1.63269, 2.582642, 0.6499023, 0.8168945, 1.133179, 2.149414, 1.483032, 0.4500732, 2.499756, 0.9827881, 1.116577, 1.132813, 1.349487, 1.516113, 2.882935, 1.516357, 1.216309, 1.033203, 0.4168701]
White horz (deg): [147.1349, 20.90999, 318.8774, 20.78248, 83.89495, 166.2599, 829.2599, 189.7199, 352.5374, 26.39249, 71.14495, 234.5999, 577.4474, 15.17249, 30.47248, 185.7674, 283.4323, 239.3174, 11.72999, 242.1224, 139.7399, 39.01497, 23.20499, 50.99997, 228.0974, 83.00245, 49.21497, 43.98747, 22.69499, 258.9524]
Shot horz (deg): [138.9749, 193.7999, 118.1924, 250.0274, 7.777496, 25.88248, 170.595, 143.3099, 146.7524, 119.2124, 90.14247, 90.77995, 176.7149, 561.2549, 162.5624, 194.1824, 58.64996, 117.0449, 276.4199, 141.7799, 222.615, 179.6474, 36.59248, 591.4722, 200.0474, 147.3899, 209.6099, 241.1024, 120.3599, 496.3572]
Step horz (deg): [158.4825, 129.6674, 16.82999, 148.4099, 32.63998, 218.1524, 166.5149, 308.9324, 234.7274, 174.4199, 295.5449, 162.8174, 282.9225, 67.44745, 18.10499, 90.90744, 176.9699, 184.2374, 44.87997, 369.1125, 76.37245, 151.4699, 167.6624, 222.7424, 213.3074, 352.1551, 211.3949, 162.8174, 150.9599, 36.08248]
White vert (deg): [50.10745, 14.02499, 236.1298, 23.71499, 27.15748, 33.78747, 635.9704, 68.59496, 213.1799, 16.70249, 30.21748, 215.8574, 483.6073, 15.29999, 14.27999, 196.2224, 197.3699, 116.4074, 16.57499, 118.4474, 79.30495, 38.63247, 34.80748, 12.11249, 157.08, 56.09997, 37.22997, 29.70748, 19.37999, 219.2999]
Shot vert (deg): [66.29996, 37.61247, 50.23496, 96.77244, 25.11748, 30.85498, 60.68996, 121.5074, 82.61994, 53.42247, 65.40746, 35.18998, 78.02996, 262.9049, 61.58245, 177.4799, 38.88747, 88.48495, 179.9024, 26.26498, 155.295, 39.14248, 7.139996, 343.3575, 94.73244, 65.02496, 54.31497, 131.9624, 80.96245, 288.66]
Step vert (deg): [69.86993, 32.25748, 48.83247, 72.67496, 14.78999, 204.2548, 60.81746, 208.9724, 110.9249, 121.6349, 121.3799, 96.51742, 284.835, 30.85498, 42.45748, 76.11743, 112.5825, 93.96744, 11.60249, 171.3599, 70.37997, 68.46744, 51.38245, 101.4899, 128.9024, 279.4799, 90.52493, 50.87246, 63.87746, 20.39999]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
1017.10: (0.93, -0.35, 0.09): 0
1017.10: (-0.91, -0.23, -0.34)
1017.20: (-0.91, -0.23, -0.34)
1017.32: (-0.91, -0.22, -0.34)
1017.43: (-0.91, -0.20, -0.37)
1017.55: (-0.90, -0.05, -0.44)
1017.65: (-0.85, -0.10, -0.52)
1017.77: (-0.64, -0.32, -0.70)
1017.87: (-0.49, -0.42, -0.76)
1017.98: (-0.27, -0.51, -0.81)
1018.10: (0.26, -0.66, -0.71)
1018.22: (0.41, -0.54, -0.73)
1018.32: (0.69, -0.60, -0.41)
1018.43: (0.80, -0.55, -0.25)
1018.55: (0.90, -0.42, -0.12)
1018.67: (0.91, -0.41, -0.05)
1018.77: (0.90, -0.43, 0.02)
1018.77: (0.86, -0.28, 0.43): 0
1018.78: (0.90, -0.43, 0.02)
1018.88: (0.90, -0.42, 0.08)
1019.00: (0.90, -0.42, 0.08)
1019.12: (0.88, -0.39, 0.26)
1019.23: (0.84, -0.37, 0.41)
1019.35: (0.86, -0.35, 0.38)
1019.35: (-0.96, 0.17, 0.24): 2
1019.35: (0.86, -0.35, 0.38)
1019.45: (0.85, -0.33, 0.41)
1019.57: (0.83, -0.32, 0.45)
1019.68: (0.77, -0.18, 0.61)
1019.80: (0.59, 0.04, 0.81)
1019.90: (0.59, 0.04, 0.81)
1020.02: (0.59, 0.04, 0.81)
1020.13: (0.68, 0.08, 0.72)
1020.23: (0.33, 0.50, 0.80)
1020.35: (-0.09, 0.60, 0.79)
1020.47: (-0.57, 0.41, 0.71)
1020.58: (-0.80, 0.32, 0.51)
1020.70: (-0.88, 0.35, 0.31)
1020.82: (-0.95, 0.20, 0.25)
1020.93: (-0.96, 0.09, 0.27)
1020.93: (0.84, 0.08, 0.54): 1
1020.93: (-0.96, 0.09, 0.27)
1021.05: (-0.96, 0.09, 0.27)
1021.17: (-0.95, 0.10, 0.29)
1021.28: (-0.93, 0.19, 0.32)
1021.40: (-0.71, 0.39, 0.59)
1021.50: (-0.24, 0.47, 0.85)
1021.62: (0.28, 0.51, 0.82)
1021.72: (0.55, 0.38, 0.74)
1021.83: (0.91, 0.03, 0.42)
1021.93: (0.87, 0.04, 0.48)
1022.05: (0.79, 0.06, 0.62)
1022.08: (0.78, 0.07, 0.62)
1022.08: (-0.05, -0.42, 0.91): 0
1022.15: (0.78, 0.07, 0.62)
1022.25: (0.78, 0.07, 0.63)
1022.37: (0.78, 0.05, 0.63)
1022.48: (0.97, -0.01, 0.22)
1022.60: (0.92, -0.36, -0.18)
1022.72: (0.70, -0.71, 0.05)
1022.83: (0.82, -0.50, 0.27)
1022.95: (0.84, 0.39, 0.38)
1023.05: (0.84, 0.51, 0.18)
1023.17: (0.83, 0.50, -0.26)
1023.28: (0.82, 0.08, -0.56)
1023.38: (0.55, -0.64, -0.54)
1023.50: (0.74, -0.65, -0.18)
1023.60: (0.79, -0.45, 0.43)
1023.72: (0.34, -0.60, 0.72)
1023.83: (-0.19, -0.62, 0.76)
1023.95: (-0.21, -0.58, 0.79)
1024.07: (0.10, -0.45, 0.89)
1024.12: (0.13, -0.43, 0.90)
1024.12: (-1.00, -0.02, 0.03): 2
1024.18: (0.11, -0.41, 0.91)
1024.30: (-0.02, -0.38, 0.92)
1024.42: (-0.10, -0.41, 0.91)
1024.53: (-0.15, -0.42, 0.90)
1024.65: (-0.58, -0.48, 0.66)
1024.75: (-0.59, -0.48, 0.65)
1024.87: (-0.99, -0.12, -0.10)
1024.98: (-0.98, 0.02, -0.19)
1025.10: (-0.99, 0.04, 0.12)
1025.18: (-0.98, -0.03, 0.20)
1025.18: (-0.95, -0.22, -0.24): 2
1025.22: (-0.98, -0.03, 0.20)
1025.32: (-0.98, -0.03, 0.19)
1025.43: (-0.99, -0.07, 0.08)
1025.55: (-0.89, -0.35, -0.29)
1025.67: (-0.94, -0.25, -0.24)
1025.77: (-0.98, -0.09, -0.19)
1025.77: (0.57, -0.64, 0.52): 2
1025.78: (-0.98, -0.06, -0.18)
1025.90: (-0.98, -0.07, -0.18)
1026.02: (-0.97, -0.16, -0.17)
1026.13: (-0.93, -0.36, -0.08)
1026.23: (-0.80, -0.57, 0.19)
1026.35: (-0.54, -0.51, 0.67)
1026.45: (-0.19, -0.41, 0.89)
1026.57: (0.11, -0.36, 0.93)
1026.68: (0.63, -0.32, 0.71)
1026.80: (0.64, -0.42, 0.64)
1026.92: (0.56, -0.63, 0.54)
1026.97: (0.54, -0.66, 0.52)
1026.97: (0.93, -0.14, 0.33): 2
1027.03: (0.54, -0.66, 0.52)
1027.15: (0.56, -0.60, 0.57)
1027.27: (0.80, -0.37, 0.47)
1027.38: (0.91, -0.21, 0.37)
1027.40: (0.91, -0.21, 0.36)
1027.40: (-0.93, -0.26, 0.27): 1
1027.48: (0.91, -0.21, 0.36)
1027.60: (0.97, -0.05, 0.24)
1027.72: (0.99, 0.10, 0.13)
1027.82: (0.98, 0.20, 0.04)
1027.92: (0.92, -0.15, 0.35)
1028.03: (0.06, -0.64, 0.77)
1028.15: (-0.48, -0.63, 0.61)
1028.25: (-0.75, -0.52, 0.41)
1028.37: (-0.78, -0.51, 0.36)
1028.48: (-0.89, -0.27, 0.36)
1028.52: (-0.91, -0.22, 0.34)
1028.52: (0.72, -0.69, 0.01): 2
1028.60: (-0.92, -0.19, 0.34)
1028.72: (-0.95, -0.10, 0.28)
1028.82: (-0.98, 0.03, 0.18)
1028.93: (-1.00, 0.07, -0.04)
1029.05: (-0.94, 0.23, -0.25)
1029.17: (-0.99, 0.10, -0.11)
1029.28: (-0.68, -0.45, 0.59)
1029.40: (-0.67, -0.68, 0.30)
1029.52: (-0.68, -0.72, 0.17)
1029.63: (-0.53, -0.84, -0.12)
1029.75: (-0.12, -0.99, -0.12)
1029.87: (0.16, -0.71, 0.68)
1029.98: (0.20, -0.44, 0.87)
1030.08: (0.37, -0.40, 0.84)
1030.20: (0.60, -0.65, 0.46)
1030.32: (0.64, -0.66, 0.39)
1030.43: (0.71, -0.67, 0.23)
1030.53: (0.76, -0.64, -0.12)
1030.53: (-0.95, 0.19, -0.27): 2
1030.55: (0.77, -0.63, -0.14)
1030.67: (0.76, -0.64, 0.02)
1030.77: (0.69, -0.71, 0.13)
1030.87: (0.53, -0.83, 0.14)
1030.98: (-0.42, -0.90, 0.07)
1031.10: (-0.49, -0.79, 0.35)
1031.20: (-0.49, -0.79, 0.35)
1031.32: (-0.55, -0.78, 0.29)
1031.43: (-0.94, -0.33, 0.10)
1031.55: (-0.97, -0.22, 0.03)
1031.65: (-0.98, -0.20, 0.01)
1031.77: (-0.95, 0.22, -0.22)
1031.78: (-0.94, 0.26, -0.24)
1031.78: (-0.07, 0.76, 0.64): 2
1031.88: (-0.93, 0.26, -0.25)
1031.98: (-0.98, 0.16, -0.11)
1032.10: (-0.99, 0.11, -0.02)
1032.22: (-1.00, 0.04, 0.06)
1032.33: (-0.95, -0.13, 0.27)
1032.45: (-0.90, 0.09, 0.43)
1032.57: (-0.57, 0.82, 0.00)
1032.68: (-0.58, 0.80, -0.15)
1032.80: (-0.54, 0.64, -0.54)
1032.92: (-0.48, 0.43, -0.77)
1033.03: (-0.49, 0.31, -0.82)
1033.15: (-0.58, 0.14, -0.80)
1033.27: (-0.59, -0.23, -0.77)
1033.37: (-0.53, -0.46, -0.72)
1033.48: (-0.53, -0.50, -0.68)
1033.60: (-0.68, -0.56, -0.47)
1033.70: (-0.73, -0.64, -0.24)
1033.82: (-0.70, -0.72, -0.01)
1033.93: (-0.55, -0.83, 0.14)
1034.05: (-0.62, -0.57, 0.54)
1034.16: (-0.61, -0.41, 0.68)
1034.27: (-0.57, -0.11, 0.82)
1034.38: (-0.46, 0.11, 0.88)
1034.50: (-0.11, 0.52, 0.85)
1034.62: (0.01, 0.58, 0.81)
1034.73: (-0.08, 0.78, 0.62)
1034.77: (-0.08, 0.79, 0.61)
1034.77: (-0.22, -0.85, 0.47): 1
1034.85: (-0.08, 0.79, 0.61)
1034.96: (-0.20, 0.70, 0.69)
1035.08: (-0.40, 0.63, 0.66)
1035.20: (-0.75, 0.17, 0.64)
1035.30: (-0.73, -0.46, 0.50)
1035.40: (-0.57, -0.59, 0.57)
1035.51: (-0.50, -0.62, 0.61)
1035.63: (-0.30, -0.79, 0.53)
1035.68: (-0.20, -0.87, 0.46)
1035.68: (0.90, -0.15, -0.41): 2
1035.73: (-0.20, -0.87, 0.45)
1035.85: (-0.21, -0.88, 0.43)
1035.96: (-0.33, -0.84, 0.43)
1036.08: (-0.46, -0.80, 0.39)
1036.20: (-0.61, -0.40, 0.68)
1036.30: (-0.67, -0.18, 0.72)
1036.41: (-0.67, -0.18, 0.72)
1036.53: (-0.62, -0.63, 0.47)
1036.65: (-0.36, -0.89, -0.28)
1036.76: (-0.02, -0.83, -0.56)
1036.88: (0.17, -0.77, -0.61)
1037.00: (0.54, -0.73, -0.42)
1037.11: (0.73, -0.16, -0.67)
1037.23: (0.76, -0.10, -0.64)
1037.33: (0.88, -0.18, -0.44)
1037.41: (0.92, -0.24, -0.31)
1037.41: (0.92, -0.17, 0.35): 1
1037.45: (0.92, -0.22, -0.33)
1037.56: (0.91, -0.18, -0.36)
1037.66: (0.90, -0.12, -0.41)
1037.78: (0.89, 0.29, -0.36)
1037.90: (0.31, 0.90, -0.31)
1038.01: (0.08, 0.93, -0.37)
1038.11: (0.56, 0.52, -0.64)
1038.23: (0.77, -0.56, -0.29)
1038.33: (0.73, -0.68, 0.05)
1038.45: (0.76, -0.44, 0.47)
1038.56: (0.80, -0.22, 0.55)
1038.68: (0.94, -0.13, 0.31)
1038.73: (0.95, -0.13, 0.28)
1038.73: (0.95, 0.11, 0.29): 1
1038.78: (0.95, -0.12, 0.28)
1038.90: (0.95, -0.17, 0.25)
1039.01: (0.96, -0.18, 0.23)
1039.11: (0.95, 0.09, 0.30)
1039.11: (0.78, 0.63, 0.04): 0
1039.13: (0.95, 0.09, 0.30)
1039.25: (0.95, 0.09, 0.30)
1039.36: (0.97, 0.12, 0.23)
1039.48: (0.87, 0.47, 0.13)
1039.55: (0.84, 0.53, 0.14)
1039.55: (0.98, 0.12, 0.17): 1
1039.60: (0.82, 0.56, 0.10)
1039.71: (0.77, 0.64, 0.03)
1039.83: (0.84, 0.54, 0.06)
1039.95: (0.98, 0.20, 0.08)
1040.00: (0.98, 0.16, 0.09)
1040.00: (-0.60, -0.77, -0.19): 1
1040.06: (0.99, 0.15, 0.08)
1040.18: (0.98, 0.15, 0.10)
1040.30: (0.98, 0.11, 0.17)
1040.41: (0.92, 0.07, 0.38)
1040.53: (0.75, -0.03, 0.67)
1040.65: (0.63, 0.01, 0.78)
1040.75: (0.32, -0.20, 0.93)
1040.86: (-0.21, -0.52, 0.83)
1040.98: (-0.43, -0.62, 0.65)
1041.10: (-0.54, -0.72, 0.43)
1041.21: (-0.69, -0.72, -0.08)
1041.33: (-0.70, -0.70, -0.16)
1041.38: (-0.68, -0.71, -0.18)
1041.38: (0.05, -0.42, 0.91): 0
1041.45: (-0.67, -0.72, -0.18)
1041.56: (-0.62, -0.78, -0.09)
1041.68: (-0.54, -0.84, 0.01)
1041.80: (-0.15, -0.80, 0.58)
1041.91: (-0.13, -0.68, 0.72)
1042.01: (-0.13, -0.58, 0.81)
1042.13: (0.03, -0.37, 0.93)
1042.13: (-0.86, 0.51, 0.02): 2
1042.13: (0.03, -0.37, 0.93)
1042.25: (0.04, -0.37, 0.93)
1042.36: (0.18, -0.43, 0.88)
1042.48: (0.24, -0.45, 0.86)
1042.60: (0.29, -0.50, 0.81)
1042.71: (0.34, -0.77, 0.54)
1042.81: (0.16, -0.89, 0.44)
1042.91: (-0.07, -0.98, 0.20)
1043.03: (-0.06, -1.00, 0.03)
1043.15: (-0.41, -0.85, -0.34)
1043.26: (-0.58, -0.74, -0.33)
1043.38: (-0.63, -0.47, -0.61)
1043.50: (-0.88, -0.20, -0.43)
1043.61: (-0.97, -0.01, -0.26)
1043.73: (-0.98, 0.16, -0.14)
1043.85: (-0.91, 0.41, -0.05)
