3/28/2023 1:16:31 PM
Mode: Stereo
White time (s): [0.8833008, 1.816345, 0.8163452, 1.366028, 1.566345, 1.94989, 2.865845, 1.216553, 1.699707, 0.750061, 1.2995, 1.183105, 0.4165649, 3.782532, 2.899597, 2.215942, 0.4832764, 1.615662, 1.049744, 1.249573, 2.266235, 1.166504, 2.049744, 3.649414, 1.883118, 0.4669189, 2.465942, 1.999817, 1.266296, 2.099548]
Shot time (s): [1.799194, 3.349304, 0.6165161, 0.4998779, 1.383118, 2.132935, 0.4329224, 0.7999878, 0.7826538, 2.016418, 0.3499146, 0.9335938, 0.7827759, 0.9995728, 1.233582, 0.3833618, 1.116455, 0.5999146, 1.599731, 0.7333374, 0.7663574, 1.533142, 1.383057, 3.382446, 0.9664307, 2.865967, 2.066406, 0.6166992, 0.3999023, 1.799866]
Step time (s): [0.9501953, 0.4998779, 1.749817, 1.682678, 0.4832764, 0.333313, 1.599792, 2.082764, 1.433044, 1.383362, 2.233093, 3.466187, 0.4162598, 2.782837, 1.432983, 1.56665, 0.3834229, 1.233276, 0.8998413, 2.033142, 3.182861, 0.4997559, 1.916138, 1.66626, 1.9328, 0.9498291, 1.166077, 2.532898, 4.532349, 3.765686]
White horz (deg): [86.515, 218.955, 38.775, 179.575, 144.87, 268.29, 280.995, 180.3999, 173.195, 54.615, 142.1749, 130.185, 23.98, 492.7449, 180.07, 219.2301, 37.4, 135.685, 157.795, 165.11, 215.655, 190.08, 236.5549, 426.9099, 182.49, 34.98, 366.1349, 202.2899, 115.665, 200.145]
Shot horz (deg): [198.3849, 347.6001, 22.495, 34.815, 139.92, 190.2449, 24.365, 40.92001, 7.424998, 201.41, 21.395, 86.075, 40.31501, 118.965, 83.49, 24.365, 115.445, 50.71, 176, 67.1, 18.7, 97.73501, 192.005, 477.015, 34.265, 274.5049, 177.595, 54.78, 9.514998, 218.79]
Step horz (deg): [115.225, 20.515, 169.2349, 157.19, 26.73, 25.63, 139.15, 147.4, 166.0999, 166.4849, 152.295, 229.4049, 26.18, 314.985, 140.8, 124.08, 32.945, 104.06, 70.50999, 214.3899, 485.485, 58.35499, 291.7749, 255.75, 197.725, 135.245, 102.85, 312.18, 727.0449, 702.2399]
White vert (deg): [92.61999, 138.71, 93.22499, 82.39, 75.46, 135.905, 319.7699, 51.97501, 107.47, 20.68, 68.36499, 88.21999, 4.784999, 338.6351, 324.0599, 198.66, 22.825, 131.395, 32.01, 39.16, 215.05, 51.755, 80.96001, 283.0851, 123.09, 8.36, 262.955, 121.495, 64.845, 176.715]
Shot vert (deg): [112.64, 395.12, 37.785, 37.07, 54.28501, 110.605, 15.785, 50.76499, 44.275, 93.555, 8.909999, 51.09501, 55.33, 70.895, 65.175, 19.03, 57.53001, 29.425, 86.13003, 25.74, 38.225, 155.4299, 48.34502, 238.7549, 100.375, 327.1949, 191.345, 37.72999, 28.16, 196.845]
Step vert (deg): [61.49001, 13.035, 110.11, 77.825, 16.39, 6.16, 115.39, 157.08, 94.71, 55.825, 96.085, 320.045, 15.51, 299.5299, 116.93, 101.585, 18.645, 77.88, 47.245, 156.255, 249.2599, 29.7, 81.675, 109.725, 80.90501, 31.02, 45.15501, 137.8851, 355.1898, 296.4499]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
592.92: (0.45, 0.74, 0.50): 1
592.92: (-0.66, -0.68, -0.31)
593.04: (-0.66, -0.68, -0.31)
593.15: (-0.66, -0.68, -0.32)
593.27: (-0.52, -0.72, -0.46)
593.39: (0.04, -0.73, -0.68)
593.49: (0.60, -0.49, -0.63)
593.60: (0.87, -0.37, -0.33)
593.72: (0.94, -0.35, -0.05)
593.84: (0.95, 0.25, 0.16)
593.95: (0.71, 0.70, -0.05)
594.07: (0.72, 0.70, -0.05)
594.19: (0.72, 0.70, -0.05)
594.30: (0.55, 0.83, 0.10)
594.42: (0.35, 0.89, 0.29)
594.54: (0.39, 0.86, 0.34)
594.65: (0.48, 0.79, 0.38)
594.72: (0.51, 0.75, 0.42)
594.72: (-0.60, 0.66, 0.45): 0
594.75: (0.50, 0.75, 0.43)
594.87: (0.48, 0.73, 0.48)
594.99: (0.38, 0.79, 0.48)
595.10: (0.08, 0.95, 0.31)
595.20: (-0.32, 0.95, -0.06)
595.32: (-0.54, 0.76, -0.35)
595.42: (-0.56, 0.82, -0.07)
595.54: (-0.51, 0.75, 0.42)
595.60: (-0.52, 0.70, 0.50)
595.60: (0.79, -0.61, -0.05): 0
595.65: (-0.58, 0.67, 0.47)
595.77: (-0.75, 0.55, 0.37)
595.89: (-0.75, 0.56, 0.37)
595.99: (-0.86, 0.47, 0.21)
596.10: (-0.94, 0.28, -0.21)
596.22: (-0.76, 0.24, -0.60)
596.34: (-0.67, 0.18, -0.72)
596.45: (-0.50, -0.11, -0.86)
596.57: (-0.21, -0.30, -0.93)
596.68: (0.04, -0.44, -0.90)
596.79: (0.15, -0.60, -0.79)
596.90: (0.28, -0.82, -0.50)
597.02: (0.41, -0.91, -0.11)
597.12: (0.46, -0.84, 0.28)
597.24: (0.50, -0.77, 0.40)
597.35: (0.72, -0.70, 0.02)
597.42: (0.77, -0.64, -0.06)
597.42: (0.07, -0.99, 0.14): 0
597.45: (0.77, -0.63, -0.07)
597.57: (0.77, -0.63, -0.07)
597.68: (0.73, -0.68, -0.07)
597.80: (0.39, -0.91, -0.15)
597.90: (-0.04, -0.98, -0.17)
598.02: (-0.35, -0.92, -0.20)
598.13: (-0.23, -0.97, -0.07)
598.23: (0.04, -0.99, 0.10)
598.23: (-0.36, -0.44, -0.82): 2
598.25: (0.05, -0.99, 0.11)
598.37: (0.03, -0.99, 0.12)
598.48: (0.01, -0.99, 0.12)
598.60: (-0.10, -0.99, 0.02)
598.72: (-0.42, -0.87, -0.24)
598.83: (-0.59, -0.47, -0.66)
598.95: (-0.44, -0.01, -0.90)
599.07: (-0.32, -0.27, -0.91)
599.17: (-0.35, -0.47, -0.81)
599.18: (-0.36, -0.48, -0.80)
599.18: (-0.28, -0.18, 0.94): 0
599.27: (-0.37, -0.49, -0.79)
599.38: (-0.38, -0.46, -0.80)
599.50: (-0.38, -0.31, -0.87)
599.62: (-0.36, -0.03, -0.93)
599.73: (-0.39, 0.00, -0.92)
599.85: (-0.64, -0.53, -0.55)
599.95: (-0.56, -0.82, 0.09)
600.07: (-0.35, -0.82, 0.46)
600.18: (-0.14, -0.81, 0.57)
600.30: (-0.07, -0.74, 0.66)
600.42: (-0.44, -0.42, 0.79)
600.53: (-0.45, -0.12, 0.89)
600.55: (-0.43, -0.12, 0.89)
600.55: (-0.45, -0.40, 0.79): 2
600.65: (-0.32, -0.16, 0.93)
600.77: (-0.32, -0.16, 0.93)
600.88: (-0.33, -0.23, 0.91)
601.00: (-0.42, -0.41, 0.81)
601.05: (-0.43, -0.42, 0.80)
