3/28/2023 1:26:48 PM
Mode: Stereo
White time (s): [3.732788, 0.5827637, 3.249878, 1.466187, 1.182983, 2.282715, 1.966309, 4.582642, 2.865967, 2.849487, 1.199707, 1.916016, 3.899292, 0.8831787, 1.383057, 3.149536, 3.949341, 2.766357, 2.216187, 0.7331543, 1.182983, 3.516113, 1.416748, 4.365601, 1.366699, 4.415649, 3.032959, 3.465942, 0.8834229, 0.7333984]
Shot time (s): [1.349976, 6.948608, 8.181641, 1.91626, 0.8670654, 1.683105, 1.649658, 4.915527, 2.282715, 4.815796, 4.682373, 1.982788, 1.266357, 1.349487, 2.383057, 0.5666504, 0.8498535, 4.848877, 0.8997803, 1.949829, 1.733154, 3.649414, 1.249512, 2.349609, 0.6168213, 2.716064, 1.882813, 5.06543, 2.849487, 2.033081]
Step time (s): [2.232788, 3.049683, 1.449219, 0.5827637, 2.766479, 2.132813, 0.5500488, 0.8166504, 1.216431, 2.466187, 1.549438, 1.766113, 2.083008, 1.099976, 1.832886, 2.699463, 2.349487, 6.798462, 0.7663574, 3.682739, 1.299561, 1.932739, 1.966309, 1.466553, 2.399536, 1.849365, 3.299194, 1.816162, 7.231567, 0.5665283]
White horz (deg): [317.8999, 4.454999, 270.8749, 129.58, 79.42001, 245.5199, 346.0049, 431.6397, 417.34, 299.97, 125.29, 132, 641.4651, 19.69, 178.31, 470.965, 677.16, 277.75, 203.3349, 26.07, 99.77, 449.1851, 186.395, 576.3999, 133.815, 711.2596, 501.4899, 448.965, 36.74001, 21.725]
Shot horz (deg): [72.05, 1014.804, 983.0696, 176.11, 37.235, 150.865, 195.47, 567.1045, 257.95, 652.0253, 744.9749, 253.055, 163.35, 153.34, 362.89, 9.735001, 99.60499, 790.1844, 94.76499, 247.83, 155.045, 518.705, 167.2, 236.83, 42.515, 430.8699, 198.66, 721.2695, 381.865, 267.135]
Step horz (deg): [160.38, 194.15, 133.705, 12.155, 346.4449, 190.08, 6.599999, 50.16, 195.69, 329.89, 161.315, 289.6299, 193.5999, 103.015, 260.755, 352.7149, 414.425, 819.9949, 20.13, 537.075, 190.465, 190.74, 296.12, 195.965, 375.87, 225.5, 521.895, 141.7349, 1022.065, 16.775]
White vert (deg): [62.26, 2.09, 28.27, 31.955, 18.535, 39.875, 34.76, 323.7851, 60.11502, 104.39, 16.995, 49.66499, 138.875, 32.505, 63.79999, 178.64, 128.37, 149.985, 129.47, 4.344999, 58.905, 175.725, 26.45499, 281.2699, 33.82501, 218.35, 220.1099, 196.35, 24.585, 26.07]
Shot vert (deg): [20.625, 545.1046, 522.445, 131.725, 24.09, 38.775, 47.74001, 341.6599, 66.88, 228.4701, 295.1849, 54.56002, 42.24002, 28.6, 100.1, 29.205, 16.445, 537.5699, 23.045, 48.675, 10.67, 88.22004, 31.405, 133.65, 15.51, 154.495, 83.93001, 235.51, 121.935, 74.25002]
Step vert (deg): [18.37, 28.82, 25.52, 25.795, 140.965, 122.7051, 25.63, 19.91, 40.59001, 59.12502, 53.24001, 79.36501, 120.175, 36.905, 83.71001, 206.9099, 100.65, 535.3147, 18.755, 193.3799, 43.89, 86.13003, 90.145, 35.03501, 117.7, 97.075, 219.725, 61.60001, 602.525, 6.214999]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
1132.86: (0.73, -0.43, -0.53): 0
1132.86: (-0.53, -0.06, -0.84)
1132.98: (-0.53, -0.06, -0.85)
1133.08: (-0.53, -0.06, -0.85)
1133.20: (-0.53, -0.06, -0.85)
1133.30: (-0.53, -0.06, -0.85)
1133.40: (-0.53, -0.06, -0.85)
1133.51: (-0.53, -0.06, -0.85)
1133.63: (-0.53, -0.07, -0.85)
1133.75: (-0.49, -0.10, -0.86)
1133.86: (-0.41, -0.21, -0.89)
1133.96: (-0.41, -0.21, -0.89)
1134.08: (-0.41, -0.21, -0.89)
1134.20: (-0.54, -0.04, -0.84)
1134.31: (-0.75, 0.37, -0.55)
1134.43: (-0.75, 0.65, -0.08)
1134.55: (-0.57, 0.73, 0.37)
1134.65: (-0.38, 0.71, 0.60)
1134.76: (-0.46, 0.67, 0.58)
1134.88: (-0.46, 0.67, 0.58)
1135.00: (-0.39, 0.67, 0.63)
1135.11: (-0.16, 0.64, 0.75)
1135.21: (0.34, 0.29, 0.89)
1135.33: (0.52, 0.04, 0.86)
1135.45: (0.51, 0.04, 0.86)
1135.55: (0.54, 0.03, 0.84)
1135.66: (0.75, -0.29, 0.60)
1135.78: (0.79, -0.51, 0.35)
1135.90: (0.78, -0.57, 0.25)
1136.01: (0.69, -0.72, -0.03)
1136.13: (0.76, -0.62, -0.20)
1136.23: (0.83, -0.43, -0.36)
1136.35: (0.80, -0.37, -0.47)
1136.46: (0.71, -0.47, -0.52)
1136.58: (0.70, -0.48, -0.53)
1136.60: (0.70, -0.48, -0.53)
1136.60: (0.79, -0.39, -0.48): 0
1136.70: (0.70, -0.48, -0.53)
1136.81: (0.71, -0.48, -0.52)
1136.93: (0.71, -0.48, -0.52)
1137.04: (0.72, -0.47, -0.51)
1137.16: (0.76, -0.44, -0.48)
1137.18: (0.76, -0.44, -0.48)
1137.18: (-0.80, 0.32, 0.51): 0
1137.26: (0.76, -0.44, -0.48)
1137.38: (0.76, -0.44, -0.48)
1137.49: (0.77, -0.44, -0.45)
1137.61: (0.79, -0.44, -0.43)
1137.73: (0.78, -0.44, -0.44)
1137.84: (0.74, -0.49, -0.46)
1137.96: (0.74, -0.49, -0.46)
1138.08: (0.74, -0.49, -0.46)
1138.18: (0.75, -0.47, -0.47)
1138.29: (0.47, -0.49, -0.74)
1138.39: (-0.08, -0.35, -0.93)
1138.51: (-0.52, -0.16, -0.84)
1138.61: (-0.77, 0.04, -0.63)
1138.73: (-0.84, 0.12, -0.52)
1138.83: (-0.84, 0.12, -0.52)
1138.94: (-0.84, 0.11, -0.53)
1139.06: (-0.84, 0.12, -0.52)
1139.18: (-0.86, 0.15, -0.48)
1139.29: (-0.86, 0.14, -0.49)
1139.41: (-0.87, 0.16, -0.47)
1139.51: (-0.94, 0.30, -0.15)
1139.63: (-0.68, 0.48, 0.55)
1139.74: (-0.29, 0.40, 0.87)
1139.86: (-0.34, 0.39, 0.85)
1139.98: (-0.47, 0.38, 0.80)
1140.09: (-0.67, 0.36, 0.65)
1140.21: (-0.68, 0.36, 0.64)
1140.33: (-0.74, 0.34, 0.59)
1140.43: (-0.85, 0.30, 0.43)
1140.43: (-0.53, 0.42, -0.73): 0
1140.43: (-0.85, 0.30, 0.43)
1140.54: (-0.83, 0.31, 0.46)
