3/28/2023 1:29:51 PM
Mode: Default
White time (s): [2.71582, 1.23291, 4.765503, 0.616333, 2.416138, 2.465942, 1.300293, 0.6828613, 0.6495361, 0.6000977, 1.866577, 2.71582, 1.116455, 2.199463, 0.4168701, 2.316162, 2.482666, 1.083374, 2.432983, 1.049805, 1.082642, 1.466919, 1.549316, 0.7497559, 4.366211, 3.148926, 2.216064, 1.24939, 1.866577, 1.39978]
Shot time (s): [2.116333, 0.9499512, 3.649048, 0.3666992, 2.06665, 1.733154, 2.383057, 1.883179, 1.616333, 3.599365, 0.583252, 0.8331299, 0.8829346, 0.7503662, 0.5499268, 1.049805, 1.083008, 0.6496582, 1.48291, 0.6665039, 3.799072, 4.382446, 0.6000977, 3.299561, 1.766357, 0.3662109, 2.416382, 2.749756, 1.14978, 2.399536]
Step time (s): [4.765747, 1.299438, 1.199951, 1.449341, 2.032959, 2.349854, 1.816284, 0.6330566, 1.983398, 2.899048, 1.083252, 2.333008, 3.582764, 0.6331787, 2.015869, 1.366577, 2.682617, 2.449341, 2.199463, 1.616455, 0.4165039, 0.5670166, 1.799805, 3.265625, 2.199463, 1.466553, 1.149902, 3.449219, 5.249023, 0.6331787]
White horz (deg): [519.0349, 68.85999, 657.525, 28.435, 311.9599, 423.5, 170.94, 91.74, 43.72499, 44.22001, 214.39, 428.5048, 108.24, 326.0949, 11.11, 390.6649, 368.4451, 63.91001, 252.5049, 138.765, 137.61, 145.805, 182.27, 36.08001, 521.1799, 327.91, 208.78, 141.02, 238.6449, 181.83]
Shot horz (deg): [287.265, 14.08, 564.9597, 1.32, 283.3049, 258.72, 250.1949, 176.275, 221.045, 483.2299, 16.995, 59.61999, 135.795, 68.31001, 43.615, 105.875, 119.9, 26.29, 193.7649, 24.42, 421.4099, 667.5897, 64.13, 536.9099, 199.54, 4.62, 542.6299, 492.855, 82.72001, 396.3849]
Step horz (deg): [740.685, 70.62002, 177.595, 192.94, 283.8, 215.435, 226.325, 17.765, 318.4499, 520.7401, 127.93, 272.195, 661.3198, 52.14, 228.03, 171.215, 413.985, 235.8949, 265.925, 128.48, 9.624999, 10.67, 169.84, 432.41, 196.405, 128.755, 78.54002, 338.8552, 722.9747, 6.984998]
White vert (deg): [206.195, 128.755, 415.3601, 23.1, 217.58, 191.6749, 134.805, 17.6, 4.784999, 19.03, 99.44002, 196.8999, 60.06, 138.4899, 1.815, 163.0199, 180.785, 88.66, 154.055, 26.51, 43.505, 72.32499, 104.665, 31.02, 343.255, 287.7599, 182.93, 106.48, 170.665, 47.68502]
Shot vert (deg): [55.55, 37.785, 177.87, 1.1, 136.07, 77.82502, 147.51, 167.9699, 72.65499, 246.1249, 23.815, 19.965, 27.72, 31.57, 14.245, 26.34499, 61.15999, 6.269999, 108.405, 21.67, 340.2849, 316.2499, 11.605, 134.75, 97.34998, 13.97, 164.89, 197.78, 10.065, 212.465]
Step vert (deg): [345.1801, 209, 89.26501, 96.85502, 90.86, 231.4949, 37.39999, 22.165, 105.71, 177.0999, 47.795, 79.20003, 237.8199, 23.43, 134.42, 44.38499, 130.5701, 156.2, 150.4799, 101.53, 14.52, 32.505, 116.435, 189.8051, 133.65, 82.33501, 38.11501, 266.2549, 355.08, 38.39]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
1365.80: (-0.91, -0.19, 0.36): 1
1365.80: (0.90, 0.43, -0.13)
1365.92: (0.90, 0.43, -0.13)
1366.03: (0.90, 0.43, -0.13)
1366.15: (0.90, 0.43, -0.13)
1366.27: (0.97, 0.25, -0.05)
1366.38: (0.91, -0.31, 0.26)
1366.50: (0.81, -0.46, 0.36)
1366.62: (0.60, -0.66, 0.45)
1366.73: (0.36, -0.80, 0.49)
1366.83: (-0.02, -0.90, 0.44)
1366.95: (-0.34, -0.89, 0.31)
1367.07: (-0.30, -0.90, 0.33)
1367.18: (0.32, -0.86, 0.40)
1367.28: (0.51, -0.77, 0.39)
1367.40: (-0.30, -0.81, 0.50)
1367.52: (-0.73, -0.55, 0.40)
1367.62: (-0.77, -0.48, 0.42)
1367.72: (-0.83, -0.27, 0.49)
1367.83: (-0.87, -0.17, 0.46)
1367.92: (-0.88, -0.16, 0.45)
1367.92: (-0.71, 0.29, 0.65): 1
1367.95: (-0.88, -0.16, 0.45)
1368.07: (-0.88, -0.16, 0.45)
1368.17: (-0.87, -0.23, 0.45)
1368.28: (-0.86, -0.26, 0.44)
1368.40: (-0.84, -0.06, 0.54)
1368.52: (-0.78, 0.12, 0.62)
1368.63: (-0.78, 0.12, 0.62)
1368.73: (-0.74, 0.21, 0.64)
1368.83: (-0.71, 0.27, 0.65)
1368.87: (-0.71, 0.27, 0.65)
1368.87: (0.95, 0.30, 0.14): 1
1368.95: (-0.71, 0.27, 0.65)
1369.07: (-0.71, 0.27, 0.65)
1369.17: (-0.71, 0.27, 0.65)
1369.28: (-0.53, 0.07, 0.85)
1369.40: (0.48, -0.63, 0.60)
1369.52: (0.74, -0.66, -0.14)
1369.62: (0.71, -0.61, -0.36)
1369.73: (0.71, -0.34, -0.62)
1369.85: (0.62, 0.04, -0.78)
1369.95: (0.06, 0.50, -0.86)
1370.07: (-0.56, 0.68, -0.47)
1370.17: (-0.55, 0.62, -0.56)
1370.28: (-0.55, 0.62, -0.56)
1370.40: (-0.61, 0.64, -0.47)
1370.52: (-0.79, 0.60, 0.16)
1370.63: (-0.76, 0.35, 0.55)
1370.75: (-0.53, -0.14, 0.84)
1370.87: (-0.36, -0.46, 0.82)
1370.98: (-0.24, -0.59, 0.77)
1371.10: (0.08, -0.78, 0.62)
1371.22: (0.40, -0.79, 0.47)
1371.33: (0.44, -0.58, 0.69)
1371.45: (0.35, -0.10, 0.93)
1371.55: (0.42, 0.06, 0.91)
1371.67: (0.42, 0.05, 0.90)
1371.78: (0.85, -0.19, 0.49)
1371.90: (0.86, -0.42, 0.28)
1372.01: (0.86, -0.42, 0.28)
1372.13: (0.90, -0.36, 0.23)
1372.23: (0.99, -0.09, 0.13)
1372.35: (0.97, 0.18, 0.14)
1372.46: (0.97, 0.19, 0.15)
1372.51: (0.97, 0.19, 0.15)
1372.51: (0.95, 0.21, 0.22): 1
1372.58: (0.97, 0.19, 0.15)
1372.68: (0.97, 0.18, 0.15)
1372.80: (0.97, 0.17, 0.17)
1372.88: (0.97, 0.17, 0.17)
1372.88: (0.00, 0.98, -0.21): 0
1372.90: (0.97, 0.17, 0.17)
1373.01: (0.97, 0.17, 0.17)
1373.13: (0.97, 0.17, 0.17)
1373.25: (0.91, 0.13, 0.40)
1373.36: (0.48, 0.04, 0.88)
