3/28/2023 1:44:22 PM
Mode: Default
White time (s): [1.366394, 5.582153, 3.899445, 1.866333, 1.566345, 0.6998901, 3.132996, 4.715637, 2.116211, 0.7165527, 1.78302, 1.399475, 1.499878, 1.33313, 1.283142, 1.449707, 2.149658, 1.399475, 2.332825, 1.216553, 6.798096, 0.7832031, 3.799194, 2.932678, 1.316528, 0.5332031, 0.6333618, 1.549683, 1.48291, 3.733154]
Shot time (s): [1.232635, 0.6668396, 1.216461, 2.366272, 2.332947, 1.433105, 4.099304, 2.215942, 2.249634, 4.215576, 1.799866, 1.816345, 1.299866, 0.8664551, 1.266785, 1.399536, 1.516724, 2.799438, 5.515625, 2.23291, 3.033203, 1.33313, 2.033142, 2.249512, 2.349426, 1.666382, 2.299927, 5.065552, 2.916016, 2.316223]
Step time (s): [1.499847, 2.949127, 1.266418, 2.149231, 1.716309, 0.7666016, 1.999451, 3.882874, 2.016052, 3.865906, 1.932983, 1.499634, 2.549377, 1.399719, 3.082581, 1.682556, 1.499695, 2.366333, 1.432922, 1.349487, 3.349426, 0.666687, 2.232727, 1.650024, 1.416321, 3.63269, 0.7665405, 0.6328125, 2.932861, 1.449341]
White horz (deg): [131.955, 752.5898, 343.9475, 183.4926, 143.735, 13.775, 167.7225, 480.7948, 182.2576, 58.14001, 132.43, 113.81, 135.0425, 155.515, 128.9625, 113.1925, 155.1825, 117.42, 220.97, 100.0825, 562.5421, 43.9375, 357.3424, 221.92, 105.45, 21.375, 39.045, 179.835, 139.6975, 296.3999]
Shot horz (deg): [128.2025, 42.3225, 64.83752, 143.4026, 201.4, 97.94501, 325.755, 170.0975, 192.9925, 271.1302, 173.755, 162.07, 133.0475, 29.0225, 108.11, 160.1225, 112.9075, 173.85, 505.8272, 181.26, 264.29, 133.9975, 270.4174, 191.045, 234.9351, 117.7525, 149.3875, 571.7101, 210.615, 172.425]
Step horz (deg): [135.85, 192.47, 62.89, 187.1026, 117.4675, 26.03, 137.0376, 267.7101, 163.305, 306.375, 191.6625, 136.61, 174.895, 136.99, 192.7075, 106.685, 93.14751, 179.3601, 80.65502, 81.13, 376.3425, 19.95, 142.5, 135.375, 168.53, 312.8347, 14.63, 38.9975, 203.1101, 117.3725]
White vert (deg): [17.8125, 182.4477, 257.2601, 52.2975, 57.5225, 9.12, 199.0251, 250.7051, 70.72749, 18.24, 31.255, 16.1975, 57, 52.915, 50.255, 71.91499, 104.215, 34.91249, 70.87003, 21.945, 509.7699, 42.1325, 260.5375, 220.02, 57.76001, 4.9875, 27.6925, 47.9275, 61.22749, 300.7225]
Shot vert (deg): [29.735, 4.3225, 29.07, 68.73251, 66.54751, 33.725, 275.88, 91.10499, 78.755, 211.8975, 89.91753, 87.73251, 62.17751, 36.7175, 24.6525, 33.44, 34.58001, 155.8951, 360.3351, 108.4425, 159.5525, 63.555, 99.60753, 152.57, 86.40252, 62.08249, 117.4675, 287.1851, 186.675, 141.6925]
Step vert (deg): [12.635, 65.12253, 33.3925, 82.93501, 51.86999, 17.1475, 61.6075, 173.4225, 79.18253, 237.1201, 69.30251, 28.2625, 161.31, 11.4475, 111.2925, 57.42749, 77.425, 56.23999, 14.82, 34.29501, 168.8625, 32.49, 116.47, 59.89749, 34.8175, 267.235, 11.0675, 13.1575, 118.085, 14.725]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
492.99: (0.45, 0.83, 0.32): 0
492.99: (-0.92, -0.18, 0.35)
493.11: (-0.92, -0.18, 0.35)
493.21: (-0.92, -0.18, 0.35)
493.32: (-0.92, -0.18, 0.35)
493.44: (-0.92, -0.19, 0.35)
493.54: (-0.92, -0.15, 0.37)
493.66: (-0.74, 0.46, 0.48)
493.77: (-0.31, 0.86, 0.40)
493.89: (-0.29, 0.87, 0.40)
493.99: (-0.36, 0.83, 0.42)
494.11: (0.09, 0.94, 0.34)
494.22: (0.46, 0.86, 0.25)
494.32: (0.46, 0.84, 0.30)
494.36: (0.46, 0.84, 0.30)
494.36: (-0.90, -0.43, 0.08): 2
494.44: (0.46, 0.84, 0.30)
494.56: (0.45, 0.84, 0.29)
494.67: (0.45, 0.84, 0.29)
494.77: (0.45, 0.84, 0.29)
494.89: (0.45, 0.84, 0.28)
494.99: (0.45, 0.85, 0.29)
495.11: (0.45, 0.85, 0.29)
495.22: (0.06, 0.87, 0.49)
495.34: (-0.55, 0.62, 0.56)
495.46: (-0.83, 0.32, 0.46)
495.56: (-0.94, -0.02, 0.33)
495.67: (-0.93, -0.33, 0.15)
495.79: (-0.92, -0.38, 0.09)
495.86: (-0.92, -0.38, 0.09)
495.86: (-0.45, 0.89, 0.03): 1
495.91: (-0.92, -0.38, 0.09)
496.01: (-0.92, -0.37, 0.09)
496.12: (-0.91, -0.40, 0.09)
496.22: (-0.92, -0.38, 0.09)
496.34: (-0.94, -0.32, 0.11)
496.46: (-0.88, 0.23, 0.41)
496.57: (-0.50, 0.70, 0.50)
496.69: (-0.11, 0.89, 0.44)
496.80: (-0.25, 0.90, 0.37)
496.92: (-0.41, 0.88, 0.25)
497.02: (-0.43, 0.89, 0.17)
497.09: (-0.43, 0.89, 0.13)
497.09: (-0.97, 0.24, 0.10): 1
497.14: (-0.43, 0.89, 0.13)
497.24: (-0.43, 0.89, 0.13)
497.34: (-0.43, 0.89, 0.14)
497.45: (-0.74, 0.64, 0.17)
497.57: (-0.92, 0.37, 0.14)
497.69: (-0.92, 0.37, 0.14)
497.75: (-0.92, 0.37, 0.14)
497.75: (-0.50, -0.63, 0.59): 1
497.79: (-0.92, 0.36, 0.14)
497.90: (-0.94, 0.31, 0.12)
498.02: (-0.94, 0.31, 0.12)
498.14: (-0.95, 0.31, 0.12)
498.25: (-0.97, 0.22, 0.13)
498.35: (-0.95, -0.28, 0.16)
498.47: (-0.76, -0.63, 0.17)
498.57: (-0.76, -0.63, 0.17)
498.69: (-0.76, -0.63, 0.17)
498.80: (-0.67, -0.60, 0.44)
498.92: (-0.64, -0.59, 0.49)
498.97: (-0.64, -0.59, 0.49)
498.97: (0.92, 0.15, 0.36): 0
499.04: (-0.62, -0.60, 0.50)
499.15: (-0.48, -0.67, 0.57)
499.25: (-0.47, -0.68, 0.57)
499.37: (-0.31, -0.78, 0.55)
499.49: (0.30, -0.93, 0.22)
499.60: (0.52, -0.85, 0.03)
499.72: (0.45, -0.89, 0.06)
499.82: (0.38, -0.92, 0.08)
499.94: (0.56, -0.81, -0.19)
500.05: (0.70, -0.52, -0.49)
500.17: (0.74, -0.30, -0.61)
500.29: (0.74, 0.10, -0.67)
500.40: (0.62, 0.48, -0.62)
500.50: (0.52, 0.56, -0.64)
500.62: (0.39, 0.71, -0.59)
500.74: (0.26, 0.84, -0.48)
