3/28/2023 1:55:04 PM
Mode: Mono
White time (s): [3.399414, 2.665894, 0.7663574, 2.932617, 2.233154, 3.46582, 1.383057, 2.049805, 1.616211, 0.5167236, 0.7830811, 2.266479, 3.915527, 1.182983, 1.199707, 2.299561, 1.33313, 0.8831787, 3.16626, 1.382813, 0.5495605, 1.783569, 3.666138, 1.233032, 0.7501221, 3.499023, 1.966553, 3.965576, 1.899658, 3.532715]
Shot time (s): [0.8497314, 0.9161377, 1.616211, 1.500122, 3.165771, 2.582886, 1.483398, 4.782593, 2.099609, 0.7666016, 0.6166992, 2.082764, 1.383179, 0.7331543, 1.283203, 0.6331787, 1.616821, 3.365723, 0.5664063, 1.949707, 2.966064, 1.816528, 2.266357, 0.6665039, 3.498657, 1.266113, 1.432861, 2.932617, 2.016357, 0.8000488]
Step time (s): [2.649658, 6.982178, 2.73291, 1.599365, 1.39978, 2.482666, 1.066528, 0.9328613, 1.183105, 2.799561, 0.9163818, 1.716187, 1.616577, 0.9163818, 2.216064, 1.616333, 2.666382, 4.582153, 1.749878, 2.649414, 2.149414, 0.6333008, 0.6999512, 2.083252, 2.149536, 1.682861, 3.132813, 1.016479, 0.7832031, 2.63269]
White horz (deg): [378.2924, 421.7623, 40.47999, 659.0074, 334.5349, 565.6849, 140.3, 357.1324, 292.215, 12.42, 48.18499, 313.6049, 595.47, 139.6675, 81.99501, 179.3425, 166.98, 31.74, 481.5625, 195.27, 10.12, 136.85, 661.1348, 200.1, 46.805, 565.2823, 299.8625, 463.3349, 295.8375, 401.6374]
Shot horz (deg): [22.77, 37.31749, 193.7175, 149.9025, 582.9924, 458.7925, 259.4976, 1279.95, 417.5649, 19.6075, 29.3825, 418.945, 129.5475, 21.16, 157.205, 28.40499, 165.5425, 602.9449, 28.0025, 356.9599, 606.7399, 159.275, 319.24, 38.0075, 619.6776, 104.8225, 228.7925, 340.7449, 182.505, 39.96249]
Step horz (deg): [426.1324, 1134.878, 248.3425, 190.4975, 149.155, 608.9822, 117.9325, 74.92249, 196.8225, 309.1774, 68.36749, 174.915, 292.1575, 17.9975, 355.0049, 284.05, 243.685, 798.7329, 198.03, 376.1649, 432.8601, 21.4475, 29.0375, 210.91, 251.965, 163.1275, 324.8175, 86.99748, 60.71999, 326.5424]
White vert (deg): [385.6524, 558.7275, 64.2275, 424.4073, 327.2899, 493.3499, 207, 188.37, 119.6575, 16.8475, 29.095, 295.665, 594.6074, 118.795, 171.81, 232.53, 119.6575, 55.545, 308.7175, 151.34, 17.48, 232.5875, 627.7848, 128.455, 46.575, 442.4622, 202.6299, 499.675, 249.7225, 735.0801]
Shot vert (deg): [31.05, 14.4325, 129.835, 137.8275, 331.1424, 469.89, 183.3675, 853.2421, 413.9425, 41.9175, 21.6775, 388.9298, 128.8, 69.34499, 105.3975, 24.60999, 92.23, 702.8798, 14.26, 218.7299, 363.1125, 146.51, 257.4274, 22.31, 445.0498, 181.125, 179.6875, 611.3398, 354.3725, 79.57999]
Step vert (deg): [216.89, 631.7526, 374.44, 110.6875, 128.8575, 359.49, 140.185, 30.015, 70.14999, 229.7125, 62.445, 159.9075, 223.79, 42.08999, 331.8326, 166.175, 216.2, 630.2572, 193.1425, 277.38, 303.5424, 39.09999, 56.46499, 189.405, 243.915, 222.3525, 481.3324, 148.0625, 30.82, 501.4]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
1150.31: (-0.44, -0.83, 0.34): 2
1150.31: (0.06, 0.68, -0.73)
1150.41: (0.06, 0.68, -0.73)
1150.53: (0.06, 0.68, -0.73)
1150.64: (0.06, 0.68, -0.73)
1150.76: (0.17, 0.68, -0.71)
1150.88: (0.56, 0.47, -0.68)
1150.99: (0.94, 0.17, -0.30)
1151.11: (0.99, 0.02, -0.13)
1151.23: (0.93, -0.32, -0.19)
1151.33: (0.48, -0.78, -0.41)
1151.44: (-0.12, -0.73, -0.68)
1151.56: (-0.21, -0.39, -0.90)
1151.68: (0.07, 0.05, -1.00)
1151.79: (0.47, 0.33, -0.82)
1151.89: (0.79, 0.50, -0.36)
1152.01: (0.82, 0.47, 0.33)
1152.11: (0.53, 0.24, 0.81)
1152.23: (0.14, -0.10, 0.98)
1152.34: (-0.29, -0.52, 0.80)
1152.46: (-0.56, -0.79, 0.26)
1152.57: (-0.52, -0.86, 0.03)
1152.68: (-0.51, -0.86, 0.04)
1152.79: (-0.53, -0.84, 0.14)
1152.91: (-0.49, -0.84, 0.21)
1152.96: (-0.48, -0.85, 0.22)
1152.96: (-0.19, -0.96, -0.20): 1
1153.03: (-0.48, -0.85, 0.22)
1153.14: (-0.48, -0.85, 0.23)
1153.24: (-0.48, -0.83, 0.28)
1153.36: (-0.48, -0.83, 0.29)
1153.47: (-0.35, -0.89, 0.28)
1153.59: (-0.27, -0.95, 0.12)
1153.69: (-0.24, -0.97, -0.03)
1153.81: (-0.23, -0.96, -0.13)
1153.81: (-0.14, 0.82, -0.55): 2
1153.81: (-0.23, -0.96, -0.13)
1153.92: (-0.23, -0.96, -0.13)
1154.04: (-0.25, -0.96, -0.14)
1154.16: (-0.26, -0.96, -0.09)
1154.27: (-0.32, -0.93, 0.17)
1154.39: (-0.16, -0.84, 0.52)
1154.51: (0.08, -0.60, 0.79)
1154.61: (0.12, -0.35, 0.93)
1154.72: (0.08, 0.16, 0.98)
1154.84: (-0.09, 0.39, 0.92)
1154.96: (-0.37, 0.46, 0.81)
1155.06: (-0.68, 0.24, 0.69)
1155.17: (-0.79, -0.07, 0.61)
1155.29: (-0.76, -0.58, 0.29)
1155.41: (-0.44, -0.90, -0.04)
1155.52: (-0.19, -0.96, -0.21)
1155.64: (-0.22, -0.95, -0.21)
1155.76: (-0.22, -0.95, -0.21)
1155.87: (-0.39, -0.92, -0.05)
1155.99: (-0.25, -0.94, -0.24)
1156.11: (0.44, -0.59, -0.67)
1156.21: (0.75, -0.20, -0.63)
1156.32: (0.96, -0.16, -0.22)
1156.44: (0.89, -0.43, 0.14)
1156.54: (0.62, -0.58, 0.53)
1156.66: (0.18, -0.64, 0.74)
1156.76: (-0.16, -0.55, 0.82)
1156.86: (-0.51, -0.37, 0.78)
1156.97: (-0.81, -0.43, 0.40)
1157.09: (-0.81, -0.59, -0.05)
1157.21: (-0.63, -0.62, -0.47)
1157.32: (-0.32, -0.48, -0.82)
1157.42: (0.02, -0.27, -0.96)
1157.54: (0.39, -0.01, -0.92)
1157.66: (0.69, 0.25, -0.68)
1157.77: (0.82, 0.48, -0.31)
1157.89: (0.80, 0.60, 0.11)
1158.01: (0.62, 0.55, 0.56)
1158.12: (0.23, 0.28, 0.93)
1158.22: (-0.09, 0.01, 1.00)
1158.34: (-0.17, -0.29, 0.94)
1158.46: (-0.08, -0.62, 0.78)
1158.57: (-0.02, -0.79, 0.61)
