3/30/2023 3:45:50 PM
Mode: Mono
White time (s): [1.516052, 3.482666, 2.382782, 3.08316, 1.432495, 2.333038, 1.866486, 3.016296, 1.716064, 0.9329834, 1.732971, 3.082458, 0.6831665, 0.9502258, 4.165894, 3.265808, 1.566223, 1.399811, 1.283173, 0.4668884, 1.916107, 1.982758, 2.283051, 1.066803, 0.8497314, 1.98291, 4.748932, 1.549683, 0.7998657, 5.032135]
Shot time (s): [1.81633, 0.7835999, 4.99913, 1.683105, 2.382782, 2.416107, 2.033264, 3.016388, 1.132996, 1.78302, 2.632965, 1.316193, 1.23291, 0.9828796, 3.666351, 0.599823, 1.932983, 1.399689, 0.8168945, 0.6664734, 3.099243, 2.049683, 2.666199, 2.099396, 7.131958, 1.649445, 3.74939, 1.249817, 3.632446, 0.9831543]
Step time (s): [0.9165192, 3.048965, 6.115036, 2.099701, 4.398987, 0.8666992, 1.699585, 3.065796, 0.6330566, 0.8665466, 0.9998779, 3.082764, 2.433228, 1.882782, 2.416534, 3.449127, 5.132141, 2.615753, 1.849915, 1.199554, 2.099548, 1.399628, 0.6664124, 1.249786, 1.916016, 1.88327, 2.09967, 0.8665771, 1.216492, 1.549622]
White horz (deg): [66.77997, 132.1024, 396.8373, 582.8676, 144.0275, 386.5023, 301.57, 619.0399, 57.63745, 81.22243, 270.4324, 428.7697, 65.71996, 205.6399, 709.405, 586.8424, 375.2398, 237.7049, 189.21, 28.75248, 286.7299, 70.35744, 232.6699, 120.4424, 92.35244, 274.8048, 722.9197, 163.7699, 48.36246, 780.0272]
Shot horz (deg): [182.3199, 29.67998, 615.7274, 130.7774, 402.0048, 446.7899, 255.1949, 530.5299, 75.52496, 262.2174, 462.8223, 148.1349, 154.23, 96.72494, 743.722, 38.02747, 330.1898, 209.4824, 95.53242, 23.98248, 562.7273, 332.3098, 240.6199, 279.9724, 895.5671, 242.8724, 586.5774, 72.60995, 549.8749, 148.0024]
Step horz (deg): [33.25748, 198.6174, 837.9296, 96.9899, 457.1247, 60.94996, 210.0124, 541.1298, 29.67998, 56.57747, 92.08742, 529.9999, 224.8524, 214.5175, 459.6424, 462.6899, 769.4277, 521.785, 352.1849, 126.1399, 194.245, 140.98, 51.93996, 95.26742, 103.3499, 199.8099, 203.1224, 106.1324, 101.3624, 262.4824]
White vert (deg): [110.5049, 563.2573, 287.7899, 440.6947, 127.7299, 133.6924, 186.4275, 462.2924, 273.7449, 87.71492, 203.52, 284.4775, 46.90496, 40.41247, 400.5473, 326.7448, 143.7625, 203.7849, 169.6, 13.64749, 145.22, 406.7748, 278.1174, 73.27244, 15.76749, 209.3499, 557.8252, 165.3599, 30.07748, 495.5497]
Shot vert (deg): [164.4324, 58.03496, 360.5324, 168.6724, 210.94, 191.7274, 166.8174, 361.0623, 74.33244, 121.1049, 348.7398, 233.0674, 130.7774, 45.18245, 316.2775, 26.36748, 168.5399, 145.22, 40.01498, 34.05248, 304.485, 175.6949, 264.0723, 149.7249, 683.4349, 185.6324, 440.1647, 254.1349, 291.6324, 58.03495]
Step vert (deg): [27.42748, 345.5598, 653.0925, 226.5749, 481.6373, 30.07748, 103.7474, 334.1648, 33.38998, 32.32998, 56.04746, 355.2323, 265.3974, 86.65493, 191.9925, 379.6122, 485.3473, 401.0773, 172.9124, 128.7899, 276.1299, 117.1299, 45.04997, 100.1699, 120.1774, 208.0249, 185.7649, 38.55746, 167.6125, 214.7823]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
241.11: (-0.54, -0.13, -0.83): 1
241.11: (0.84, 0.28, 0.46)
241.22: (0.84, 0.28, 0.47)
241.34: (0.84, 0.27, 0.47)
241.46: (0.84, 0.26, 0.47)
241.57: (0.84, 0.26, 0.47)
241.67: (0.59, 0.47, 0.66)
241.79: (0.20, 0.54, 0.82)
241.91: (0.18, 0.62, 0.76)
242.01: (0.14, 0.73, 0.67)
242.11: (-0.29, 0.89, 0.35)
242.22: (-0.58, 0.75, -0.32)
242.34: (-0.40, 0.41, -0.82)
242.46: (-0.43, 0.13, -0.89)
242.57: (-0.82, 0.30, -0.49)
242.69: (-0.74, 0.20, -0.64)
242.79: (-0.65, 0.06, -0.76)
242.91: (-0.64, -0.01, -0.77)
242.92: (-0.64, -0.01, -0.77)
242.92: (-0.22, -0.24, -0.95): 2
243.02: (-0.64, -0.01, -0.77)
243.14: (-0.63, -0.01, -0.78)
243.26: (-0.57, 0.13, -0.81)
243.36: (-0.57, 0.13, -0.81)
243.47: (-0.57, 0.13, -0.81)
243.57: (-0.37, -0.20, -0.91)
243.67: (-0.36, -0.21, -0.91)
243.79: (-0.20, -0.29, -0.94)
243.84: (-0.19, -0.30, -0.93)
243.84: (0.69, -0.61, 0.38): 2
243.91: (-0.19, -0.30, -0.93)
244.01: (-0.19, -0.29, -0.94)
244.12: (-0.19, -0.29, -0.94)
244.24: (-0.19, -0.29, -0.94)
244.36: (-0.16, -0.28, -0.94)
244.47: (-0.20, -0.26, -0.94)
244.59: (-0.53, -0.36, -0.77)
244.70: (-0.81, -0.16, -0.56)
244.81: (-0.93, 0.01, -0.37)
244.92: (-1.00, -0.02, -0.09)
245.04: (-0.97, -0.18, 0.16)
245.15: (-0.86, -0.31, 0.41)
245.25: (-0.68, -0.17, 0.71)
245.37: (-0.74, -0.32, 0.59)
245.47: (-0.74, -0.32, 0.59)
245.59: (-0.87, -0.11, 0.48)
245.69: (-0.40, -0.54, 0.74)
245.80: (0.57, -0.82, 0.10)
245.92: (0.73, -0.60, -0.33)
246.04: (0.87, -0.40, -0.27)
246.14: (0.74, -0.65, 0.17)
246.25: (0.45, -0.78, 0.43)
246.35: (0.50, -0.73, 0.47)
246.47: (0.80, -0.48, 0.36)
246.57: (0.83, -0.45, 0.34)
246.69: (0.82, -0.46, 0.34)
246.80: (0.69, -0.59, 0.42)
246.89: (0.68, -0.60, 0.42)
246.89: (0.31, -0.64, 0.71): 1
246.92: (0.68, -0.60, 0.42)
247.02: (0.68, -0.60, 0.42)
247.14: (0.68, -0.60, 0.42)
247.25: (0.65, -0.60, 0.47)
247.37: (0.08, -0.54, 0.84)
247.47: (0.09, -0.54, 0.84)
247.59: (0.36, -0.66, 0.65)
247.67: (0.38, -0.65, 0.66)
247.67: (0.50, 0.17, -0.85): 2
247.70: (0.38, -0.65, 0.66)
247.82: (0.38, -0.65, 0.66)
247.94: (0.37, -0.65, 0.66)
248.05: (0.37, -0.65, 0.66)
248.17: (0.37, -0.65, 0.66)
248.29: (0.37, -0.65, 0.66)
248.40: (0.37, -0.65, 0.66)
248.52: (0.12, -0.71, 0.69)
248.62: (-0.46, -0.78, 0.43)
248.74: (-0.67, -0.73, 0.15)
248.85: (-0.79, -0.58, -0.19)
248.97: (-0.67, -0.44, -0.59)
249.07: (-0.61, -0.16, -0.78)
249.19: (-0.73, 0.13, -0.67)
249.30: (-0.90, 0.37, -0.23)
249.40: (-0.92, 0.33, 0.21)
249.52: (-0.83, 0.19, 0.53)
