3/30/2023 4:25:13 PM
Mode: Stereo
White time (s): [1.483078, 0.7665405, 1.399689, 1.549507, 1.249535, 1.449623, 1.816238, 0.799736, 0.6826706, 3.199356, 1.566177, 2.849442, 3.132996, 1.283371, 2.366394, 0.4995575, 1.966263, 0.8996124, 2.949387, 0.6168823, 1.932785, 1.816422, 1.083099, 0.4835358, 2.61586, 1.633362, 1.333374, 0.7001495, 0.8161926, 1.066284]
Shot time (s): [0.3168411, 4.499054, 1.966553, 1.666435, 1.150208, 1.299812, 1.08342, 2.515846, 0.783577, 2.982986, 1.466217, 1.966019, 2.066483, 1.482544, 2.749481, 2.032837, 0.7496185, 0.7165375, 4.415588, 0.7331848, 0.8165741, 1.299896, 0.4662018, 1.233017, 1.616776, 2.649246, 1.349731, 3.915848, 0.5665741, 2.582779]
Step time (s): [2.532829, 1.283073, 0.8333359, 1.882874, 1.4832, 4.715309, 4.998764, 1.466583, 2.366043, 2.099655, 0.7664642, 0.6668549, 2.016281, 3.799667, 1.899704, 0.916748, 2.916199, 1.849426, 1.933136, 1.532654, 1.016647, 1.68277, 0.7497711, 1.599777, 1.349228, 0.6499939, 0.5835114, 1.615982, 4.866043, 1.766022]
White horz (deg): [159.9501, 49.5, 244.05, 216.25, 137.65, 175.65, 216.95, 61.5, 6.900001, 483.0999, 168.55, 403.95, 411.4, 178.4501, 301.05, 17.7, 216.15, 118.95, 302.75, 29.6, 266.35, 211.45, 92.34999, 38.25, 375.5999, 144, 174.05, 61.29999, 39.8, 158.15]
Shot horz (deg): [9.150001, 623.6502, 244.3, 170.9, 130.5, 216.2, 106.85, 307.35, 84.90001, 474.3, 110.25, 163.05, 243.1, 143.2, 334.6501, 160.9, 22.95, 47.84999, 546.1497, 17.6, 36.6, 156.6, 20.7, 186.65, 213.4, 401.45, 165.6, 603.7, 19.45, 332.1]
Step horz (deg): [278.6001, 113.1, 2.2, 239.65, 222.9, 744.6498, 498.7498, 155.4, 285.7999, 291.8, 17.85, 45.75, 258.8999, 464.3501, 224.45, 59.8, 402.7501, 179.45, 194, 151.7, 63.35, 367.65, 52.8, 276.5, 147.15, 53.25, 45.75, 210.15, 656.6501, 136.3]
White vert (deg): [95.79998, 11.95, 72.3, 46.3, 101.9, 28.9, 74.75001, 35.9, 27.85, 166.7, 42.90001, 197.45, 216.45, 90.40002, 69.00001, 15.3, 97.8, 41.69999, 297.9501, 35.9, 88.99999, 189.5, 28.3, 4.799999, 251.05, 89.55001, 53.15001, 56.2, 86.15001, 41.85]
Shot vert (deg): [4.35, 259.6501, 91.6, 60.3, 17.15, 56.65, 34.65, 185.85, 27.85, 101.25, 63.35, 198.85, 87.40003, 62.8, 153.5, 95.4, 50.60001, 29.05, 402.0999, 56.55, 50.59999, 41.60001, 10.25, 55.25, 96.95, 253.9, 75.3, 288.25, 38.10001, 140.85]
Step vert (deg): [152.9, 39.75, 2.5, 83.49999, 41.9, 159.9, 497.0001, 99.90002, 165.1, 70.79999, 25.1, 27.9, 118.3, 354.8, 65.00001, 25.25, 212.3, 38.89999, 84.09999, 113.25, 82.95001, 37.75, 33.15, 49.29999, 44.65001, 28.6, 35.74999, 85.6, 342.75, 215.95]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
74.54: (-0.97, -0.11, 0.22): 2
74.54: (-0.05, 0.04, 1.00)
74.64: (-0.05, 0.04, 1.00)
74.74: (-0.05, 0.04, 1.00)
74.86: (-0.05, 0.04, 1.00)
74.97: (-0.05, 0.03, 1.00)
75.09: (-0.05, 0.03, 1.00)
75.21: (-0.05, 0.03, 1.00)
75.32: (-0.34, 0.23, 0.91)
75.44: (-0.76, 0.55, 0.35)
75.56: (-0.76, 0.54, 0.36)
75.67: (-0.77, 0.60, 0.23)
75.79: (-0.49, 0.50, -0.71)
75.90: (-0.44, 0.55, -0.71)
76.02: (-0.41, 0.82, -0.40)
76.12: (-0.25, 0.96, -0.15)
76.24: (-0.05, 1.00, 0.01)
76.35: (0.07, 0.93, 0.36)
76.47: (-0.16, 0.74, 0.65)
76.57: (-0.72, 0.58, 0.38)
76.69: (-0.95, 0.20, 0.26)
76.80: (-0.95, -0.09, 0.31)
76.92: (-0.93, -0.11, 0.34)
77.04: (-0.97, -0.07, 0.22)
77.07: (-0.98, -0.07, 0.18)
77.07: (0.96, 0.28, -0.07): 0
77.15: (-0.98, -0.07, 0.18)
77.27: (-0.98, -0.07, 0.18)
77.39: (-0.97, -0.04, 0.22)
77.50: (-0.82, 0.57, 0.10)
77.60: (-0.29, 0.95, -0.09)
77.72: (0.09, 1.00, -0.03)
77.84: (0.54, 0.78, -0.31)
77.95: (0.61, 0.65, -0.46)
78.07: (0.61, 0.65, -0.46)
78.19: (0.82, 0.44, -0.36)
78.29: (0.96, 0.26, -0.07)
78.40: (0.98, 0.21, -0.02)
78.52: (0.96, 0.28, -0.04)
78.55: (0.96, 0.29, -0.06)
78.55: (0.99, 0.06, -0.11): 0
78.64: (0.95, 0.29, -0.06)
78.74: (0.95, 0.29, -0.06)
78.85: (0.95, 0.31, -0.09)
78.97: (0.99, 0.02, -0.13)
79.07: (0.96, -0.23, -0.13)
79.19: (0.98, -0.13, -0.12)
79.30: (0.99, 0.08, -0.11)
79.32: (0.99, 0.08, -0.11)
79.32: (-0.62, -0.50, -0.61): 0
79.42: (0.99, 0.08, -0.11)
79.54: (0.99, 0.07, -0.12)
79.65: (0.99, -0.06, -0.09)
79.77: (0.98, -0.02, 0.18)
79.89: (0.63, 0.71, 0.32)
79.99: (-0.10, 0.98, 0.16)
80.10: (-0.65, 0.75, -0.11)
80.20: (-0.89, 0.08, -0.45)
80.32: (-0.82, -0.02, -0.57)
80.44: (-0.82, -0.05, -0.56)
80.55: (-0.58, -0.51, -0.64)
80.67: (-0.49, -0.64, -0.59)
80.72: (-0.50, -0.63, -0.59)
80.72: (-0.64, -0.43, -0.64): 1
80.77: (-0.50, -0.63, -0.60)
80.89: (-0.56, -0.56, -0.61)
80.99: (-0.58, -0.54, -0.61)
81.04: (-0.60, -0.51, -0.61)
81.04: (0.29, 0.49, 0.82): 0
81.10: (-0.61, -0.50, -0.62)
81.22: (-0.61, -0.50, -0.62)
81.34: (-0.61, -0.50, -0.62)
81.44: (-0.67, -0.34, -0.66)
81.55: (-0.73, 0.22, -0.65)
81.67: (-0.36, 0.82, -0.45)
81.77: (0.00, 0.95, -0.31)
81.89: (0.01, 0.95, -0.31)
81.99: (0.03, 0.96, -0.28)
82.10: (0.49, 0.71, 0.50)
82.22: (0.52, 0.29, 0.80)
82.34: (0.52, 0.29, 0.80)
82.45: (0.40, 0.58, 0.71)
82.57: (0.27, 0.60, 0.76)
82.59: (0.26, 0.60, 0.76)
82.59: (-0.97, 0.01, -0.26): 1
82.67: (0.26, 0.60, 0.76)
82.79: (0.27, 0.60, 0.76)
82.90: (0.27, 0.60, 0.75)
83.02: (0.33, 0.45, 0.83)
83.14: (0.38, 0.50, 0.78)
83.25: (-0.06, 0.97, -0.21)
83.35: (-0.05, 0.95, -0.30)
83.47: (-0.09, 0.88, -0.47)
83.59: (-0.20, 0.48, -0.85)
83.70: (-0.07, 0.63, -0.77)
83.80: (-0.07, 0.70, -0.71)
83.92: (-0.30, 0.16, -0.94)
84.04: (-0.34, -0.33, -0.88)
84.15: (-0.34, -0.29, -0.89)
84.27: (-0.38, -0.66, -0.64)
84.39: (-0.28, -0.86, -0.42)
84.50: (-0.34, -0.80, -0.50)
84.60: (-0.37, -0.78, -0.50)
84.72: (-0.34, -0.81, -0.48)
84.84: (-0.27, -0.93, -0.26)
84.95: (0.05, -0.85, 0.53)
85.05: (0.10, -0.82, 0.56)
85.17: (0.12, -0.80, 0.59)
85.29: (0.25, -0.92, 0.30)
85.39: (-0.21, -0.70, -0.68)
85.49: (-0.44, -0.25, -0.86)
85.59: (-0.44, -0.25, -0.86)
85.70: (-0.44, -0.25, -0.86)
85.82: (0.04, 0.32, -0.95)
85.94: (0.33, 0.44, -0.83)
86.05: (0.32, 0.40, -0.86)
86.17: (0.36, 0.64, -0.68)
86.29: (0.38, 0.82, -0.42)
86.40: (-0.14, 0.96, -0.25)
86.52: (-0.71, 0.49, -0.51)
86.64: (-0.70, 0.48, -0.52)
86.75: (-0.63, 0.49, -0.60)
86.87: (-0.86, 0.16, -0.49)
86.99: (-0.96, 0.02, -0.28)
87.09: (-0.96, 0.06, -0.27)
87.09: (0.28, 0.13, -0.95): 2
87.09: (-0.96, 0.06, -0.27)
87.20: (-0.96, 0.06, -0.27)
87.30: (-0.96, 0.09, -0.27)
87.42: (-0.92, 0.25, -0.30)
87.52: (-0.92, 0.27, -0.29)
87.64: (-0.88, 0.27, -0.38)
87.74: (-0.43, 0.13, -0.89)
87.85: (0.07, 0.04, -1.00)
87.97: (-0.03, 0.11, -0.99)
88.09: (-0.04, 0.09, -1.00)
88.20: (0.15, 0.14, -0.98)
88.32: (0.29, 0.10, -0.95)
88.37: (0.30, 0.10, -0.95)
88.37: (-0.17, -0.59, -0.79): 1
88.42: (0.30, 0.10, -0.95)
88.52: (0.30, 0.10, -0.95)
88.64: (0.28, 0.11, -0.95)
88.75: (0.25, 0.13, -0.96)
88.85: (0.25, 0.13, -0.96)
88.97: (0.16, 0.19, -0.97)
89.07: (-0.44, 0.36, -0.83)
89.19: (-0.75, 0.43, -0.50)
89.30: (-0.75, 0.43, -0.50)
89.42: (-0.77, 0.37, -0.52)
89.54: (-0.56, -0.09, -0.82)
89.65: (0.32, -0.18, -0.93)
89.77: (0.07, 0.01, -1.00)
89.89: (-0.05, -0.09, -0.99)
89.99: (-0.43, -0.31, -0.85)
90.10: (-0.49, -0.49, -0.72)
90.20: (-0.24, -0.54, -0.80)
90.30: (-0.07, -0.59, -0.80)
90.34: (-0.07, -0.60, -0.80)
90.34: (0.96, -0.13, -0.25): 0
90.42: (-0.07, -0.60, -0.80)
90.54: (-0.07, -0.60, -0.80)
90.65: (-0.14, -0.23, -0.96)
90.75: (-0.19, 0.09, -0.98)
90.85: (-0.07, 0.16, -0.98)
90.97: (0.59, 0.38, -0.71)
91.09: (0.89, 0.42, -0.15)
91.20: (0.92, 0.34, 0.18)
91.32: (0.96, 0.22, -0.19)
91.43: (0.97, -0.04, -0.25)
91.54: (0.98, -0.15, -0.17)
91.58: (0.98, -0.15, -0.17)
91.58: (-1.00, -0.05, -0.04): 0
91.64: (0.98, -0.15, -0.17)
91.75: (0.98, -0.14, -0.17)
91.87: (0.96, -0.06, -0.26)
91.99: (0.92, 0.02, -0.39)
92.10: (0.74, 0.17, -0.65)
92.22: (0.74, 0.18, -0.65)
92.33: (0.48, 0.33, -0.81)
92.45: (0.34, 0.32, -0.89)
92.57: (-0.32, 0.36, -0.88)
92.68: (-0.97, 0.10, -0.21)
