3/30/2023 4:27:33 PM
Mode: Default
White time (s): [1.866226, 1.749603, 2.199448, 1.51651, 1.749451, 1.04953, 1.266571, 1.416168, 0.7498169, 1.216675, 1.833038, 2.332611, 2.699463, 1.915894, 1.567017, 2.033295, 1.233276, 2.78244, 1.649902, 1.699341, 1.099762, 0.9498596, 0.4667053, 0.5495605, 0.8337708, 2.666412, 0.7165833, 0.5328979, 0.3500671, 1.099915]
Shot time (s): [1.299652, 0.6833191, 3.199158, 0.8997498, 2.049316, 1.083557, 0.7661743, 1.399933, 1.2164, 1.19986, 1.782928, 1.566376, 1.533142, 1.133179, 0.583252, 2.315948, 0.6500854, 1.432587, 1.366608, 1.166595, 0.532959, 1.083038, 0.4996338, 0.9996338, 1.549866, 3.265961, 0.4998779, 0.5665283, 1.049225, 1.166809]
Step time (s): [1.133331, 1.649948, 0.766449, 0.433075, 3.649475, 3.182892, 1.416412, 1.533173, 1.16629, 2.016418, 1.58316, 2.466217, 2.299255, 5.282227, 1.216583, 1.583038, 1.849823, 1.216064, 2.849335, 1.232758, 0.7332153, 0.7995605, 1.633423, 2.299347, 2.016541, 0.6836853, 1.19986, 1.916351, 1.09967, 1.549286]
White horz (deg): [281.8, 251, 375.7, 149.4, 212.4, 147.2, 165.35, 145, 33.1, 190.8, 184.35, 241.4, 297.5999, 290.3, 173.8, 367.7, 133.25, 422.55, 198.7, 249.85, 98.74999, 134.55, 44.25, 30, 59.55, 322.55, 60.25002, 6.599999, 3.75, 146.4]
Shot horz (deg): [103, 14.45, 593.5499, 120.35, 283.7, 104.9, 63.8, 292.95, 151.75, 113.65, 220.15, 207.25, 169.6501, 129.8, 22.95, 175.4, 54.6, 265.6501, 125.7, 86.2, 13.7, 103.25, 16.35, 108.15, 135.75, 326.2, 30.85, 33.25, 118.15, 185.6]
Step horz (deg): [134.95, 171.55, 39.55, 6.5, 584.95, 598.3999, 127.9, 203.35, 121.5, 148.8, 102, 315.1501, 281.65, 864, 139.55, 162.75, 177.8, 109.05, 404.5, 123.45, 38.2, 54.3, 171.95, 322.95, 210.05, 51.15, 112.55, 265.5, 81.15001, 168.15]
White vert (deg): [88.20002, 158, 92.74999, 121.3, 80, 29.5, 88.84999, 64.45, 48.05, 78.8, 75, 163.55, 312.5999, 162.45, 74.99998, 85.44999, 117.25, 196.4001, 45.89999, 96.35, 32.5, 72.89999, 9.550001, 32.6, 33.85, 299.9001, 22.4, 15.9, 9.6, 48.85]
Shot vert (deg): [54.55, 74.35001, 264.3, 32.2, 182.3, 46.90001, 20.95, 85.3, 71.85, 91.95, 73.7, 123.85, 69.55001, 54.35001, 29.3, 265.3501, 13.55, 112.05, 86, 40.6, 27.3, 74.29999, 15.7, 75.69999, 71, 272.45, 14.55, 19.85, 46.75, 26.3]
Step vert (deg): [79.74999, 33.09999, 43.3, 36.2, 169.05, 262.4999, 78.35001, 70.89999, 36.4, 107.8, 69.05001, 122.95, 150, 408.0001, 64.85, 78.05, 220.3, 47.85, 218.6499, 95.14999, 44.55, 30.3, 73.84998, 122.25, 119.3, 37.95, 51.2, 97.59998, 75.50001, 57.75]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
237.21: (1.00, -0.03, -0.04): 1
237.21: (0.15, -0.87, 0.46)
237.32: (0.15, -0.87, 0.46)
237.44: (0.15, -0.87, 0.46)
237.54: (0.15, -0.87, 0.46)
237.66: (0.35, -0.75, 0.56)
237.77: (0.82, 0.10, 0.57)
237.89: (0.74, -0.06, 0.66)
238.01: (0.74, -0.06, 0.66)
238.12: (0.92, -0.15, 0.37)
238.24: (0.97, -0.25, 0.00)
238.36: (0.98, -0.20, -0.02)
238.46: (1.00, -0.03, -0.03)
238.51: (1.00, 0.02, -0.02)
238.51: (0.16, -0.78, -0.61): 0
238.56: (1.00, 0.02, -0.01)
238.67: (1.00, 0.02, 0.01)
238.79: (0.84, 0.54, 0.04)
238.91: (0.73, 0.69, 0.05)
239.02: (0.73, 0.69, 0.05)
239.14: (0.94, 0.30, 0.15)
239.24: (0.77, -0.63, 0.14)
239.36: (0.42, -0.89, 0.15)
239.47: (0.42, -0.89, 0.15)
239.59: (0.12, -0.99, 0.10)
239.71: (-0.44, -0.90, -0.03)
239.81: (-0.57, -0.81, -0.14)
239.92: (-0.59, -0.72, -0.36)
240.04: (-0.14, -0.84, -0.53)
240.16: (0.24, -0.82, -0.52)
240.27: (0.16, -0.79, -0.59)
240.37: (0.01, -0.75, -0.67)
240.37: (0.39, -0.11, 0.91): 2
240.39: (0.01, -0.75, -0.67)
240.51: (0.01, -0.74, -0.67)
240.61: (0.02, -0.77, -0.64)
240.72: (0.30, -0.95, -0.07)
240.82: (0.72, -0.54, 0.43)
240.94: (0.78, -0.26, 0.57)
241.06: (0.77, -0.29, 0.57)
241.16: (0.78, -0.23, 0.58)
241.27: (0.64, 0.20, 0.74)
241.39: (0.49, 0.06, 0.87)
241.49: (0.46, -0.01, 0.89)
241.51: (0.46, -0.02, 0.89)
241.51: (-0.95, 0.12, -0.28): 0
241.59: (0.46, -0.02, 0.89)
241.71: (0.46, -0.03, 0.89)
241.81: (0.49, -0.05, 0.87)
241.92: (0.73, -0.26, 0.63)
242.04: (0.81, -0.42, 0.40)
242.16: (0.44, -0.78, 0.44)
242.27: (-0.42, -0.67, 0.61)
242.39: (-0.73, -0.42, -0.55)
242.51: (-0.36, -0.16, -0.92)
242.61: (-0.36, -0.16, -0.92)
242.71: (-0.37, -0.17, -0.91)
242.82: (-0.81, -0.34, -0.47)
242.92: (-0.95, -0.20, -0.25)
243.04: (-0.98, -0.11, -0.18)
243.16: (-0.95, 0.01, -0.32)
243.25: (-0.95, 0.08, -0.29)
243.25: (-0.94, 0.34, 0.07): 1
243.27: (-0.95, 0.08, -0.29)
243.39: (-0.95, 0.08, -0.29)
243.49: (-0.93, -0.05, -0.36)
243.60: (-0.88, -0.25, -0.40)
243.71: (-0.98, 0.20, -0.09)
243.82: (-0.92, 0.40, 0.04)
243.92: (-0.89, 0.45, 0.06)
243.94: (-0.89, 0.44, 0.06)
243.94: (0.12, 0.87, 0.48): 1
244.04: (-0.90, 0.43, 0.05)
244.15: (-0.94, 0.33, 0.07)
244.25: (-0.87, -0.26, 0.42)
244.37: (-0.38, -0.71, 0.60)
244.47: (-0.40, -0.70, 0.59)
244.57: (-0.40, -0.70, 0.59)
