3/30/2023 4:30:47 PM
Mode: Mono
White time (s): [0.4499817, 3.399384, 4.782257, 1.882782, 1.049713, 4.265747, 0.699646, 2.849335, 0.9163513, 1.566559, 0.4833984, 0.6829834, 3.315979, 2.066162, 2.632813, 1.749969, 4.68219, 1.366364, 0.9830322, 1.283325, 1.883087, 0.9499817, 3.116028, 2.699463, 2.399841, 1.083191, 1.499634, 3.149719, 0.5162354, 2.199585]
Shot time (s): [3.466003, 0.9997559, 1.149963, 1.833038, 0.6167297, 0.6665344, 0.8999329, 4.315582, 0.7833557, 0.7998657, 2.765961, 0.5665588, 3.81604, 1.883087, 1.133118, 1.816467, 1.316589, 2.915833, 0.6164551, 2.116058, 3.63266, 1.033173, 1.799866, 0.5997314, 2.182617, 6.232178, 1.716309, 0.8665771, 1.532959, 2.482849]
Step time (s): [5.398682, 0.616333, 1.399597, 2.483002, 0.6833191, 4.382782, 5.332214, 2.366364, 2.865967, 1.733093, 5.798492, 1.816193, 0.4831238, 1.649902, 2.066223, 0.3667603, 3.832458, 2.466309, 1.866272, 1.549622, 2.216034, 1.399597, 1.516052, 1.683167, 1.533203, 1.532898, 0.6331787, 5.51532, 2.516235, 3.016113]
White horz (deg): [27.7, 502.15, 673.8501, 291.05, 87.19999, 433.6, 40.9, 321.15, 70.25001, 217.2, 39.5, 32.5, 453.2999, 243.1001, 364.9, 320.7499, 826.6996, 154.5, 85.10002, 132.9, 265.3, 91.55001, 394.3001, 432.45, 290.8501, 141.15, 175.9501, 458.5, 32.9, 386.1999]
Shot horz (deg): [476.9998, 77.25, 214.3, 250.5, 62.6, 35.6, 103.2, 881.95, 75.25, 57.24999, 362.2, 23.55, 591.7998, 286.7, 111.25, 352.9501, 236.75, 467.7, 56.60001, 224.4, 678.5502, 101.75, 262.4999, 41.89999, 402.7, 1080.2, 285.45, 83.44999, 66.24998, 442.2]
Step horz (deg): [632.8502, 41.65, 176.25, 331.1501, 59.45, 608.8499, 723.5502, 294.3001, 397.55, 190.7001, 972.1496, 277.8501, 14.25, 219.85, 332.25, 10.1, 555.2999, 160.1, 117.6, 252.45, 381.55, 134.85, 137.5, 197.8, 277.1002, 281.6, 79.45, 1277.8, 325.1, 565.0497]
White vert (deg): [11, 340.2999, 420.4001, 87.10001, 119.95, 573.4, 48.4, 328.9, 35.84999, 132.9, 16.4, 45.95, 374.8, 181.55, 233.3499, 32.1, 258.0501, 85.59998, 47.15001, 90.7, 58.25, 45.05, 133.45, 126.85, 153.0001, 22.45, 49.7, 212.7, 31.1, 65.10001]
Shot vert (deg): [295.4, 10.2, 108.95, 97.2, 5.9, 31.85, 42.95, 298.3, 91.60001, 79.74999, 231.5999, 55.64999, 355.7, 85.55, 31.65001, 129, 39.55, 242.25, 20.15, 244.55, 353.5, 59.9, 173.75, 25.3, 150.35, 427.2997, 42, 26.05, 236.2, 218.45]
Step vert (deg): [465.7999, 7.8, 52.1, 164.75, 36.05, 481.9001, 491.8998, 173.9, 156.5, 74.84998, 535.2502, 69.60001, 3.85, 149.3999, 116.75, 4.25, 259.9, 159.2, 112.65, 70.1, 89.80001, 119, 93.80003, 74.69999, 75, 72.74999, 15.3, 291.3, 226.4, 193.2]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
378.13: (-0.62, 0.77, -0.15): 1
378.13: (-0.78, 0.09, -0.62)
378.25: (-0.77, 0.09, -0.63)
378.36: (-0.76, 0.07, -0.65)
378.48: (-0.46, 0.02, -0.89)
378.58: (-0.03, 0.09, -1.00)
378.68: (0.26, 0.13, -0.96)
378.79: (0.54, 0.22, -0.81)
378.91: (0.54, 0.22, -0.81)
379.03: (0.71, 0.27, -0.65)
379.13: (0.93, 0.27, 0.23)
379.24: (0.93, 0.29, 0.24)
379.36: (0.93, 0.28, 0.25)
379.48: (0.58, 0.30, 0.76)
379.58: (0.22, 0.80, 0.55)
379.69: (0.31, 0.94, -0.12)
379.79: (0.47, 0.78, -0.42)
379.91: (0.57, 0.82, 0.09)
380.03: (0.56, 0.40, 0.73)
380.14: (0.54, -0.02, 0.84)
380.24: (-0.03, 0.11, 0.99)
380.36: (-0.66, 0.25, 0.70)
380.48: (-0.64, 0.31, 0.70)
380.59: (-0.64, 0.30, 0.71)
380.71: (-0.85, 0.22, 0.47)
380.83: (-0.98, 0.10, -0.18)
380.94: (-0.89, 0.31, -0.35)
381.04: (-0.59, 0.76, -0.28)
381.16: (-0.40, 0.92, -0.01)
381.26: (-0.42, 0.91, 0.05)
381.36: (-0.42, 0.90, 0.04)
381.48: (-0.58, 0.79, -0.20)
381.59: (-0.61, 0.76, -0.24)
381.59: (-0.44, 0.25, 0.86): 1
381.59: (-0.61, 0.76, -0.24)
381.71: (-0.60, 0.76, -0.23)
381.83: (-0.60, 0.76, -0.23)
381.94: (-0.62, 0.77, -0.11)
382.06: (-0.66, 0.60, 0.45)
382.16: (-0.66, 0.60, 0.46)
382.26: (-0.66, 0.60, 0.46)
382.38: (-0.61, 0.53, 0.59)
382.49: (-0.42, 0.26, 0.87)
382.59: (-0.43, 0.27, 0.86)
382.59: (-0.95, 0.31, 0.01): 2
382.61: (-0.43, 0.27, 0.86)
382.73: (-0.44, 0.28, 0.85)
382.84: (-0.46, 0.27, 0.85)
382.94: (-0.48, 0.26, 0.84)
383.06: (-0.48, 0.26, 0.84)
383.16: (-0.48, 0.26, 0.84)
383.26: (-0.48, 0.25, 0.84)
383.38: (-0.48, 0.25, 0.84)
383.49: (-0.48, 0.25, 0.84)
383.59: (-0.48, 0.25, 0.84)
383.69: (-0.48, 0.25, 0.84)
383.81: (-0.43, 0.19, 0.89)
383.93: (-0.04, -0.27, 0.96)
384.04: (0.35, -0.61, 0.71)
384.14: (0.35, -0.61, 0.71)
384.26: (0.33, -0.64, 0.69)
384.38: (0.66, -0.75, 0.00)
384.49: (0.72, -0.65, -0.24)
384.61: (0.71, -0.66, -0.24)
384.73: (0.41, -0.70, -0.59)
384.83: (-0.02, -0.88, -0.47)
384.94: (-0.31, -0.93, -0.21)
385.06: (-0.40, -0.91, -0.06)
385.18: (0.32, -0.89, -0.33)
385.28: (0.82, -0.41, -0.40)
385.39: (0.94, 0.09, -0.33)
385.51: (0.87, 0.37, -0.33)
385.61: (0.87, 0.43, -0.25)
385.73: (0.90, 0.04, 0.44)
385.84: (0.42, -0.33, 0.84)
385.94: (0.18, -0.48, 0.86)
386.06: (0.48, -0.35, 0.80)
386.18: (0.99, 0.11, 0.13)
386.29: (0.41, 0.37, -0.83)
386.39: (0.44, 0.28, -0.85)
