3/30/2023 6:51:38 PM
Mode: Default
White time (s): [2.282593, 1.433266, 1.566269, 1.549774, 2.166306, 1.616241, 1.64975, 4.782242, 7.032227, 2.932968, 4.915619, 2.066177, 2.099533, 1.083191, 1.41629, 1.899277, 1.716339, 0.9664917, 1.149994, 2.132813, 6.615143, 0.7834167, 1.06662, 2.049469, 2.18277, 1.416351, 6.115448, 0.8165283, 2.166473, 2.949585]
Shot time (s): [5.93251, 3.049454, 3.099068, 2.832787, 1.466446, 1.199753, 2.066307, 3.748978, 1.30014, 2.282455, 1.766525, 2.033081, 1.016342, 6.332275, 2.899261, 5.032745, 2.399536, 2.982895, 1.549835, 2.71608, 2.73291, 1.349609, 1.699692, 1.549789, 1.399765, 1.049835, 1.616333, 1.349731, 1.583099, 4.165253]
Step time (s): [2.299583, 0.9166946, 3.949356, 1.882813, 1.066391, 1.099976, 2.482635, 2.382843, 1.716034, 1.149506, 2.782654, 5.615295, 1.216446, 2.149628, 2.166092, 1.083374, 1.349777, 1.682816, 4.682724, 2.8992, 3.799149, 2.016144, 3.999146, 0.9665527, 3.449432, 6.232208, 1.332764, 2.099609, 2.533112, 2.266357]
White horz (deg): [147.75, 81.80003, 97.70002, 53.99999, 92.75002, 102.65, 132.8, 283.6, 406.9, 165.3, 293.5001, 146.7, 127.4, 77.7, 84.79999, 57.7, 107.7, 20.75, 39.90001, 128.25, 249.2, 23.95, 56.90001, 173.65, 79.25, 69.75, 221.95, 4.550002, 133, 152.75]
Shot horz (deg): [374.8499, 197.6999, 277.6499, 166.3, 111.55, 96.49999, 160.7001, 149.95, 38.25, 109.6, 111.5, 154.85, 25.95, 478.1, 160, 189.3501, 46.9, 126.75, 80.30001, 184.55, 159.5, 96.49998, 120.1, 85.70002, 89.34998, 36.85, 140, 89.50001, 122.45, 149.9501]
Step horz (deg): [219.95, 10.95, 274.5, 143.55, 56.29999, 5.450001, 194.25, 132.5, 77.29997, 10.75, 114.05, 61.30001, 5.750002, 127.45, 84.44999, 9.600003, 91.00003, 55.79999, 184.55, 124.6, 148.9, 120.95, 307.8, 30.85, 163.4, 336.4001, 69.3, 117.9, 160.5499, 115.2]
White vert (deg): [96.7, 41.89999, 17, 42.45, 86.59998, 37.05, 22.8, 170.95, 326.4501, 68.14999, 266.4501, 58.8, 91.25003, 27.65, 33.3, 82.94997, 51.90001, 12.6, 40.44999, 104.25, 330.5001, 22, 24.1, 51.1, 96.4, 66.55001, 283.4501, 23.25, 94.44999, 92.9]
Shot vert (deg): [168, 117.35, 176.65, 59.84998, 33.5, 11.85, 42.74999, 158.25, 34.25001, 43.15001, 105.9, 85.45001, 20.75, 301.5502, 58.1, 223.3, 157.8, 142.6, 39.65, 118.5, 161.65, 45.6, 65.45001, 22.95, 43.55001, 8.600002, 63.50001, 24.25, 35.65, 280.75]
Step vert (deg): [84.65, 21.7, 177.5, 51.45, 30.45, 31.25, 74.75001, 19.95, 21.9, 19.4, 102.1, 389.6501, 21.8, 60.94999, 98.3, 22.6, 45.2, 20.25, 309.0499, 41.99999, 165.0001, 84.49999, 226.7499, 21.2, 79.09996, 239.7499, 26.75, 39.54999, 77.05, 107]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
91.82: (-0.99, -0.05, -0.15): 1
91.82: (0.02, 0.02, 1.00)
91.92: (0.02, 0.02, 1.00)
92.04: (0.02, 0.02, 1.00)
92.15: (0.02, 0.01, 1.00)
92.27: (-0.01, -0.01, 1.00)
92.39: (-0.16, 0.02, 0.99)
92.50: (-0.29, 0.04, 0.96)
92.62: (-0.39, 0.09, 0.91)
92.74: (-0.46, 0.12, 0.88)
92.85: (-0.60, 0.08, 0.80)
92.95: (-0.59, 0.03, 0.81)
93.07: (-0.59, 0.03, 0.81)
93.19: (-0.59, 0.03, 0.81)
93.29: (-0.60, 0.03, 0.80)
93.40: (-0.62, 0.04, 0.78)
93.52: (-0.59, 0.19, 0.78)
93.63: (-0.53, 0.37, 0.76)
93.75: (-0.29, 0.51, 0.81)
93.85: (-0.13, 0.56, 0.82)
93.97: (-0.06, 0.61, 0.79)
94.07: (0.10, 0.66, 0.75)
94.19: (0.05, 0.61, 0.79)
94.29: (0.05, 0.61, 0.79)
94.40: (0.05, 0.61, 0.79)
94.52: (0.01, 0.62, 0.79)
94.64: (0.31, 0.66, 0.69)
94.75: (0.67, 0.56, 0.48)
94.87: (0.88, 0.33, 0.33)
94.98: (1.00, 0.00, 0.06)
95.09: (0.95, -0.27, -0.16)
95.20: (0.83, -0.48, -0.28)
95.32: (0.66, -0.62, -0.44)
95.43: (0.52, -0.65, -0.55)
95.55: (0.49, -0.65, -0.58)
95.67: (0.41, -0.76, -0.50)
95.77: (0.33, -0.91, -0.24)
95.88: (0.24, -0.97, 0.01)
95.98: (0.21, -0.98, 0.06)
96.10: (0.26, -0.97, 0.06)
96.20: (0.26, -0.97, 0.06)
96.32: (0.26, -0.97, 0.06)
96.43: (0.29, -0.96, 0.05)
96.55: (0.20, -0.98, -0.09)
96.67: (-0.12, -0.95, -0.30)
96.78: (-0.37, -0.82, -0.44)
96.90: (-0.50, -0.71, -0.49)
97.00: (-0.69, -0.49, -0.53)
97.10: (-0.84, -0.21, -0.51)
97.22: (-0.91, -0.11, -0.40)
97.33: (-0.91, -0.23, -0.33)
97.45: (-0.95, -0.17, -0.27)
97.55: (-0.98, -0.08, -0.18)
97.67: (-0.98, -0.09, -0.15)
97.75: (-0.98, -0.09, -0.15)
97.75: (0.00, -0.16, -0.99): 1
97.77: (-0.98, -0.09, -0.15)
97.88: (-0.98, -0.09, -0.15)
97.98: (-0.98, -0.10, -0.14)
98.08: (-0.98, -0.10, -0.14)
98.20: (-0.98, -0.10, -0.15)
98.32: (-0.98, -0.07, -0.18)
98.43: (-0.88, -0.33, -0.35)
98.55: (-0.69, -0.56, -0.45)
98.67: (-0.49, -0.73, -0.47)
98.77: (-0.27, -0.85, -0.45)
98.88: (-0.03, -0.93, -0.36)
98.98: (0.06, -0.96, -0.27)
99.08: (0.06, -0.96, -0.27)
99.20: (0.04, -0.96, -0.28)
99.32: (0.09, -0.95, -0.31)
99.42: (0.33, -0.86, -0.39)
99.53: (0.58, -0.71, -0.41)
99.65: (0.66, -0.57, -0.49)
99.77: (0.71, -0.38, -0.60)
99.87: (0.75, -0.12, -0.65)
99.98: (0.74, 0.18, -0.65)
100.10: (0.67, 0.32, -0.67)
100.22: (0.38, 0.12, -0.91)
