3/30/2023 6:55:43 PM
Mode: Mono
White time (s): [2.29953, 2.016022, 1.199921, 2.465973, 3.432831, 1.549805, 4.815979, 0.8331909, 2.099213, 2.732941, 6.665161, 1.699646, 0.8832092, 1.065979, 1.649872, 1.499939, 7.682068, 1.099731, 4.78244, 1.550049, 1.016754, 1.816345, 2.799194, 0.916748, 1.616516, 2.015869, 1.199219, 1.216431, 1.133362, 4.315735]
Shot time (s): [5.982025, 1.516479, 5.615509, 1.966064, 3.482727, 0.8164368, 1.966461, 0.9831238, 0.7166138, 2.215942, 1.949615, 0.7666016, 3.59903, 3.848877, 1.983398, 1.849091, 2.549713, 0.5497437, 3.349335, 2.615875, 2.282898, 3.898926, 3.599121, 1.549774, 2.133118, 2.333252, 1.16626, 3.049438, 2.382629, 2.099609]
Step time (s): [3.415955, 5.865631, 2.19928, 4.516052, 2.966003, 2.383026, 0.8500671, 0.8161316, 4.232483, 2.282898, 3.199432, 3.032776, 2.082916, 2.049652, 2.7164, 3.032806, 6.599182, 0.6333008, 1.64975, 1.732971, 2.232758, 3.549225, 2.566193, 2.249084, 2.166168, 6.431915, 4.015747, 2.216064, 3.78302, 2.182922]
White horz (deg): [194.8, 183.45, 94.34999, 218.25, 409.95, 52.3, 465.6, 19.75, 166.7999, 156.75, 597.5503, 81.60002, 25.1, 48.7, 82.75002, 67.55, 627.5996, 24, 527.2, 21.6, 32.1, 31.65, 222.1, 32.05, 103.65, 59.55, 43.89999, 109.65, 41.40001, 251.65]
Shot horz (deg): [578.2498, 108.1, 746.6998, 133.8, 207.35, 26.85, 264.05, 38.05, 16.15, 150.7, 170.05, 12.1, 171.35, 301.7501, 64.49999, 115.1, 142.45, 3.55, 297.8, 170.55, 71.7, 196.15, 194.6, 81.30001, 55.6, 71.25, 27.65, 215.05, 183.85, 80.20001]
Step horz (deg): [332.55, 527.35, 151.45, 430.05, 287.3499, 213.85, 26.50001, 10.05, 392.2001, 113.7, 148.4, 118.05, 193.7, 123.6, 173.8501, 417.05, 624.85, 3.25, 174.4, 78.75, 102.55, 321.35, 257.45, 94.55002, 37.05, 688.7499, 241.4001, 85.99998, 345.5499, 194.05]
White vert (deg): [167.25, 174.45, 48.8, 245.4, 321.05, 118.65, 485.9999, 17.65, 226.35, 245.1499, 727.45, 178.45, 43.9, 23.05, 188.8, 188.75, 1015.649, 27.05, 608.8502, 54.95, 82.75001, 160.95, 293.8499, 29.34999, 170.1, 208.35, 35.65, 46.3, 32.55, 528.0999]
Shot vert (deg): [501.5999, 104.8, 569.3499, 137.25, 283.7, 6.749999, 109.05, 35.69999, 17.05, 74.45, 155.8, 24.9, 259.3499, 327.05, 175.75, 170.25, 187.55, 9.2, 332.7, 244.3, 264.15, 375.45, 438.3, 200.7, 224.65, 235.1, 36.1, 360.9499, 219, 133.45]
Step vert (deg): [218.7499, 355.0501, 144.95, 394.7, 229.45, 95.35001, 27.7, 28.5, 384.4001, 194.15, 307.1, 252.8, 66.49998, 176.3, 176.7, 317.5001, 545.2001, 15.5, 75.45002, 150.25, 194.55, 448.7, 204.4, 284.85, 222, 566.7999, 447.2501, 264.95, 361.3499, 214.55]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
326.17: (-0.29, 0.92, 0.25): 1
326.17: (0.71, -0.65, 0.27)
326.29: (0.71, -0.65, 0.27)
326.41: (0.76, -0.60, 0.26)
326.52: (0.90, -0.39, 0.19)
326.64: (0.99, -0.13, 0.07)
326.76: (0.99, 0.13, -0.07)
326.87: (0.93, 0.31, -0.18)
326.97: (0.90, 0.36, -0.24)
327.07: (0.76, 0.36, -0.54)
327.19: (0.40, 0.20, -0.90)
327.31: (0.16, 0.00, -0.99)
327.41: (0.03, -0.15, -0.99)
327.52: (0.02, -0.25, -0.97)
327.62: (0.02, -0.26, -0.97)
327.72: (0.03, -0.22, -0.98)
327.84: (0.03, -0.15, -0.99)
327.96: (0.04, -0.15, -0.99)
328.06: (0.04, -0.16, -0.99)
328.17: (0.07, -0.19, -0.98)
328.29: (0.11, -0.22, -0.97)
328.41: (0.17, -0.31, -0.94)
328.52: (0.20, -0.55, -0.81)
328.64: (0.15, -0.87, -0.47)
328.75: (0.14, -0.99, 0.07)
328.86: (0.18, -0.85, 0.49)
328.97: (-0.13, -0.71, 0.69)
329.09: (-0.51, -0.67, 0.54)
329.19: (-0.70, -0.68, 0.23)
329.31: (-0.70, -0.68, -0.20)
329.42: (-0.58, -0.56, -0.59)
329.54: (-0.50, -0.34, -0.80)
329.64: (-0.34, 0.05, -0.94)
329.75: (-0.05, 0.36, -0.93)
329.87: (0.30, 0.58, -0.76)
329.97: (0.59, 0.66, -0.46)
330.09: (0.87, 0.44, -0.23)
330.19: (0.99, 0.14, -0.09)
330.30: (0.97, -0.24, 0.05)
330.42: (0.79, -0.62, 0.00)
330.54: (0.38, -0.87, -0.32)
330.65: (-0.06, -0.82, -0.58)
330.75: (-0.34, -0.63, -0.70)
330.87: (-0.58, -0.36, -0.73)
330.99: (-0.79, -0.04, -0.61)
331.09: (-0.89, 0.25, -0.39)
331.20: (-0.90, 0.41, -0.18)
331.32: (-0.82, 0.57, 0.06)
331.44: (-0.52, 0.74, 0.42)
331.54: (-0.18, 0.78, 0.60)
331.65: (-0.14, 0.82, 0.56)
331.75: (-0.23, 0.88, 0.40)
331.87: (-0.24, 0.89, 0.39)
331.99: (-0.25, 0.89, 0.38)
332.10: (-0.27, 0.92, 0.29)
332.15: (-0.27, 0.92, 0.29)
332.15: (0.79, 0.61, -0.10): 0
332.22: (-0.27, 0.92, 0.29)
332.34: (-0.24, 0.93, 0.27)
332.45: (-0.24, 0.93, 0.27)
332.55: (-0.24, 0.93, 0.27)
332.67: (-0.11, 0.97, 0.20)
332.77: (-0.05, 0.99, 0.15)
332.89: (-0.13, 0.85, 0.50)
333.00: (-0.05, 0.58, 0.81)
333.12: (-0.02, 0.33, 0.95)
333.22: (0.04, 0.15, 0.99)
333.34: (0.29, 0.04, 0.96)
333.45: (0.66, 0.02, 0.75)
333.55: (0.89, 0.10, 0.44)
333.67: (0.98, 0.18, -0.07)
333.77: (0.87, 0.15, -0.47)
333.89: (0.71, 0.12, -0.69)
334.00: (0.82, 0.31, -0.48)
334.12: (0.87, 0.43, -0.25)
334.24: (0.86, 0.46, -0.22)
334.34: (0.82, 0.54, -0.21)
334.45: (0.81, 0.56, -0.19)
334.45: (0.99, -0.12, -0.03): 1
