3/30/2023 6:58:54 PM
Mode: Stereo
White time (s): [1.633118, 0.6832275, 1.316528, 0.7002563, 2.199585, 2.149414, 0.8165283, 1.449707, 1.049744, 2.16626, 1.983398, 4.482422, 1.866821, 2.066223, 2.449463, 1.483032, 1.633179, 1.783081, 3.449036, 4.065552, 2.516174, 1.416687, 1.499695, 1.399841, 0.9499512, 1.999512, 2.282776, 1.166992, 0.8165283, 1.449402]
Shot time (s): [1.432922, 3.382629, 1.53302, 1.59967, 3.015991, 1.216736, 1.31604, 2.349548, 1.53302, 4.432434, 2.015991, 2.266174, 1.333191, 1.233093, 1.449646, 1.633057, 3.865906, 0.9997559, 3.316101, 1.749512, 2.732788, 7.765259, 1.632813, 4.232483, 1.433044, 2.416199, 3.366089, 2.11615, 4.34906, 1.383362]
Step time (s): [1.732849, 3.0495, 0.8330078, 0.4995117, 1.866394, 0.5665283, 2.149719, 1.716431, 1.983154, 1.882874, 1.649719, 1.115967, 1.099792, 0.7993164, 1.283142, 2.66626, 2.116211, 0.6333618, 3.149658, 3.682251, 3.199402, 1.499634, 2.049561, 1.565918, 0.7831421, 0.6831665, 1.466736, 1.499695, 1.466309, 3.282715]
White horz (deg): [64.05, 16.9, 63.4, 20.25, 214.1499, 208.9, 30.15, 131.6, 55.24999, 72.05001, 153.5, 199.95, 220.2499, 215.1, 80.14999, 120.95, 232, 159.6, 267.3501, 342.5001, 185.9, 106.35, 159.65, 165.4, 76.90002, 142.2, 61.34999, 79.90002, 29.35, 102.15]
Shot horz (deg): [106.25, 299.05, 116.65, 131.4, 149.35, 43.3, 22.4, 111.65, 84.1, 368.6999, 135.8, 152.75, 113.4, 89.95, 101.45, 84.59999, 286.35, 25.55, 329.95, 100.45, 201.95, 609.8499, 168.8, 421.5, 78.75002, 131.05, 161.1, 148.5, 260.2499, 40.2]
Step horz (deg): [23.55, 284.6999, 32.25, 4.3, 139.95, 6.550001, 163.9, 44.60001, 97.39998, 120.95, 95.30001, 40.5, 32.75, 27.2, 68.3, 204.15, 120.6, 15.5, 244.8, 283.3, 385.75, 113.3, 59.9, 84.75002, 9.200002, 17.75, 109.65, 59.24999, 75.55001, 227.85]
White vert (deg): [43.99999, 9.000001, 83.2, 17.9, 209.7, 83.84998, 20.45, 66.14999, 12.6, 101.1, 74.99999, 330.1999, 88.50001, 85.95, 166.6, 78.24999, 59.55, 117.95, 387.85, 150.25, 243.7999, 27.05, 30.85001, 77.1, 46.59999, 105.2, 148.15, 38.8, 8.950001, 80.2]
Shot vert (deg): [51.29999, 230.4999, 25.2, 43.25001, 174.15, 71.8, 87.40003, 133.75, 140.2, 312.6, 150.5, 93.35, 30.5, 50.29998, 48.44999, 81.85, 185.1001, 72.25002, 271.9499, 120.25, 127.75, 389.1, 42.5, 307.3, 108.35, 164.1501, 227.4001, 121.55, 236.9499, 101.05]
Step vert (deg): [149.35, 257.35, 33.8, 5.55, 96.30003, 2.8, 68.64999, 179.5, 108.2, 46, 82.55, 26.5, 25.3, 17.7, 104.3, 219.4, 51.49999, 3.55, 191.8001, 196.1, 254.55, 71.75, 146.05, 83.6, 21.65, 4.55, 90.9, 108.8, 50.75, 207.1]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
568.22: (0.96, 0.22, -0.17): 2
568.22: (-0.70, -0.49, 0.52)
568.34: (-0.70, -0.49, 0.52)
568.44: (-0.70, -0.49, 0.52)
568.56: (-0.69, -0.50, 0.52)
568.67: (-0.59, -0.52, 0.62)
568.79: (-0.45, -0.50, 0.74)
568.91: (-0.26, -0.44, 0.86)
569.02: (0.00, -0.38, 0.93)
569.14: (0.28, -0.29, 0.92)
569.26: (0.57, -0.13, 0.81)
569.37: (0.81, 0.02, 0.58)
569.49: (0.95, 0.10, 0.29)
569.59: (0.99, 0.15, 0.01)
569.71: (0.98, 0.18, -0.12)
569.82: (0.98, 0.19, -0.10)
569.94: (0.97, 0.20, -0.09)
569.96: (0.97, 0.20, -0.09)
569.96: (0.24, -0.43, -0.87): 0
570.04: (0.97, 0.20, -0.09)
570.16: (0.97, 0.20, -0.09)
570.27: (0.98, 0.19, -0.09)
570.39: (0.98, 0.02, -0.22)
570.51: (0.86, -0.30, -0.42)
570.62: (0.85, -0.36, -0.39)
570.72: (0.85, -0.36, -0.39)
570.84: (0.85, -0.36, -0.39)
570.96: (0.83, -0.37, -0.42)
571.07: (0.66, -0.40, -0.64)
571.19: (0.51, -0.40, -0.76)
571.29: (0.50, -0.41, -0.77)
571.41: (0.38, -0.41, -0.83)
571.52: (0.30, -0.41, -0.86)
571.59: (0.29, -0.41, -0.86)
571.59: (-0.63, -0.09, -0.77): 1
571.62: (0.29, -0.41, -0.86)
571.74: (0.29, -0.41, -0.86)
571.86: (0.30, -0.41, -0.86)
571.97: (0.29, -0.43, -0.85)
572.09: (0.08, -0.40, -0.91)
572.19: (-0.33, -0.47, -0.82)
572.31: (-0.67, -0.56, -0.48)
572.42: (-0.77, -0.59, -0.24)
572.54: (-0.77, -0.49, -0.41)
572.66: (-0.79, -0.30, -0.53)
572.77: (-0.79, -0.22, -0.57)
572.89: (-0.71, -0.17, -0.69)
573.01: (-0.66, -0.15, -0.74)
573.02: (-0.66, -0.15, -0.74)
573.02: (0.97, 0.21, 0.13): 1
573.11: (-0.66, -0.15, -0.74)
573.22: (-0.62, -0.20, -0.76)
573.32: (-0.62, -0.21, -0.76)
573.44: (-0.62, -0.21, -0.76)
573.54: (-0.62, -0.21, -0.76)
573.66: (-0.61, -0.20, -0.77)
573.77: (-0.69, 0.00, -0.72)
573.87: (-0.83, 0.33, -0.46)
573.99: (-0.88, 0.48, -0.09)
574.11: (-0.86, 0.45, 0.24)
574.22: (-0.74, 0.32, 0.59)
574.34: (-0.50, 0.07, 0.86)
574.46: (-0.23, -0.21, 0.95)
574.57: (-0.03, -0.46, 0.89)
574.69: (0.10, -0.67, 0.74)
574.81: (0.23, -0.83, 0.51)
574.91: (0.25, -0.93, 0.25)
575.02: (0.18, -0.98, -0.04)
575.14: (0.19, -0.91, -0.36)
575.26: (0.37, -0.74, -0.56)
575.37: (0.49, -0.56, -0.67)
575.49: (0.73, -0.44, -0.53)
575.61: (0.91, -0.40, -0.10)
575.72: (0.90, -0.35, 0.27)
575.84: (0.83, -0.21, 0.52)
575.96: (0.87, 0.03, 0.48)
576.07: (0.95, 0.15, 0.29)
576.19: (0.97, 0.12, 0.20)
576.31: (0.98, 0.13, 0.15)
576.41: (0.98, 0.17, 0.13)
576.41: (1.00, 0.03, 0.08): 0
576.42: (0.98, 0.17, 0.13)
576.52: (0.98, 0.17, 0.13)
576.62: (0.98, 0.17, 0.12)
576.74: (0.98, 0.04, 0.22)
576.86: (0.99, 0.00, 0.15)
576.97: (1.00, 0.04, 0.07)
577.09: (1.00, 0.03, 0.05)
577.09: (-0.48, -0.74, 0.46): 1
577.09: (1.00, 0.03, 0.05)
577.21: (1.00, 0.03, 0.05)
577.32: (1.00, -0.03, 0.03)
577.42: (1.00, -0.03, 0.03)
577.54: (1.00, -0.03, 0.03)
577.66: (1.00, -0.03, 0.03)
577.77: (0.98, -0.15, 0.12)
577.87: (0.85, -0.37, 0.38)
577.99: (0.52, -0.68, 0.52)
578.11: (0.17, -0.83, 0.53)
578.22: (-0.13, -0.84, 0.52)
578.34: (-0.27, -0.81, 0.51)
578.46: (-0.32, -0.80, 0.51)
578.57: (-0.45, -0.78, 0.43)
578.62: (-0.45, -0.78, 0.44)
578.62: (0.81, -0.48, -0.34): 1
578.69: (-0.45, -0.78, 0.44)
578.81: (-0.45, -0.78, 0.44)
578.92: (-0.46, -0.78, 0.42)
579.04: (-0.48, -0.80, 0.36)
579.16: (-0.37, -0.87, 0.32)
579.26: (-0.09, -0.93, 0.36)
579.37: (0.36, -0.86, 0.36)
579.47: (0.67, -0.69, 0.28)
579.59: (0.89, -0.43, 0.13)
579.71: (0.97, -0.25, 0.01)
579.82: (0.98, -0.19, -0.09)
579.92: (0.90, -0.37, -0.23)
580.04: (0.81, -0.51, -0.27)
580.15: (0.80, -0.52, -0.30)
580.22: (0.80, -0.52, -0.30)
580.22: (-0.33, -0.46, 0.83): 2
580.27: (0.80, -0.51, -0.30)
580.39: (0.80, -0.51, -0.30)
580.49: (0.82, -0.50, -0.28)
580.60: (0.93, -0.37, -0.03)
580.72: (0.97, 0.04, 0.25)
580.84: (0.84, 0.45, 0.30)
580.95: (0.63, 0.72, 0.28)
581.07: (0.34, 0.90, 0.27)
581.19: (0.06, 0.95, 0.29)
581.30: (-0.02, 0.81, 0.59)
581.40: (0.13, 0.49, 0.86)
581.50: (0.36, 0.08, 0.93)
581.62: (0.60, -0.28, 0.75)
581.74: (0.75, -0.49, 0.45)
581.85: (0.74, -0.64, 0.19)
581.95: (0.71, -0.71, 0.04)
582.07: (0.69, -0.71, -0.15)
582.19: (0.62, -0.68, -0.39)
582.30: (0.46, -0.75, -0.47)
582.40: (0.29, -0.87, -0.40)
582.52: (0.06, -0.97, -0.23)
582.64: (-0.19, -0.98, 0.03)
582.75: (-0.40, -0.87, 0.31)
582.85: (-0.52, -0.70, 0.49)
582.97: (-0.57, -0.50, 0.65)
583.09: (-0.47, -0.48, 0.75)
583.20: (-0.37, -0.52, 0.77)
583.27: (-0.37, -0.52, 0.77)
583.27: (-0.73, 0.34, 0.59): 1
583.32: (-0.37, -0.52, 0.77)
583.44: (-0.36, -0.52, 0.78)
583.55: (-0.32, -0.58, 0.75)
583.67: (-0.32, -0.58, 0.75)
583.79: (-0.32, -0.58, 0.75)
583.89: (-0.32, -0.57, 0.75)
584.00: (-0.42, -0.53, 0.74)
584.12: (-0.71, -0.40, 0.58)
584.24: (-0.86, -0.33, 0.38)
584.35: (-0.96, -0.26, 0.10)
584.45: (-0.98, -0.18, -0.07)
584.57: (-0.94, -0.22, -0.24)
584.69: (-0.78, -0.31, -0.53)
584.80: (-0.63, -0.31, -0.71)
584.92: (-0.62, -0.33, -0.71)
585.02: (-0.62, -0.33, -0.71)
585.14: (-0.62, -0.33, -0.71)
585.25: (-0.62, -0.33, -0.71)
585.35: (-0.71, -0.16, -0.69)
585.47: (-0.84, 0.20, -0.51)
585.59: (-0.83, 0.52, -0.19)
585.70: (-0.70, 0.70, 0.10)
585.82: (-0.56, 0.74, 0.37)
585.94: (-0.53, 0.49, 0.70)
586.05: (-0.68, 0.39, 0.62)
586.17: (-0.76, 0.37, 0.53)
586.29: (-0.77, 0.37, 0.53)
586.29: (-0.68, 0.39, -0.62): 0
586.29: (-0.77, 0.37, 0.53)
586.40: (-0.77, 0.36, 0.53)
586.50: (-0.77, 0.36, 0.52)
586.62: (-0.78, 0.30, 0.55)
586.74: (-0.78, 0.14, 0.61)
586.85: (-0.85, 0.24, 0.47)
586.97: (-0.91, 0.38, 0.17)
587.07: (-0.88, 0.45, -0.17)
587.19: (-0.77, 0.35, -0.54)
587.30: (-0.62, 0.25, -0.74)
587.40: (-0.64, 0.30, -0.71)
587.52: (-0.66, 0.36, -0.66)
587.60: (-0.66, 0.37, -0.65)
587.60: (-0.96, 0.28, 0.01): 2
587.64: (-0.66, 0.37, -0.65)
587.75: (-0.66, 0.36, -0.66)
587.85: (-0.70, 0.27, -0.66)
587.97: (-0.88, 0.22, -0.43)
588.09: (-0.94, 0.28, -0.19)
588.20: (-0.93, 0.33, -0.14)
588.30: (-0.95, 0.27, -0.12)
588.42: (-0.97, 0.24, -0.07)
588.44: (-0.97, 0.24, -0.07)
588.44: (-0.95, 0.21, -0.25): 0
588.54: (-0.97, 0.24, -0.07)
588.65: (-0.97, 0.21, -0.07)
588.77: (-1.00, 0.09, -0.02)
588.89: (-0.97, 0.09, -0.22)
588.99: (-0.95, 0.13, -0.28)
589.10: (-0.95, 0.16, -0.25)
589.14: (-0.95, 0.16, -0.25)
589.14: (-0.97, 0.18, -0.14): 2
589.22: (-0.95, 0.16, -0.25)
589.34: (-0.95, 0.16, -0.27)
589.45: (-0.96, 0.13, -0.25)
589.57: (-0.97, 0.14, -0.21)
589.64: (-0.97, 0.14, -0.19)
589.64: (0.77, 0.62, 0.18): 2
589.69: (-0.97, 0.14, -0.19)
589.79: (-0.97, 0.14, -0.20)
589.90: (-0.97, 0.13, -0.22)
590.02: (-0.93, 0.15, -0.34)
590.14: (-0.82, 0.15, -0.56)
590.25: (-0.71, 0.06, -0.70)
590.37: (-0.56, -0.13, -0.82)
590.49: (-0.30, -0.09, -0.95)
590.60: (-0.01, 0.09, -1.00)
590.72: (0.31, 0.27, -0.91)
590.84: (0.58, 0.44, -0.68)
590.95: (0.71, 0.56, -0.42)
591.05: (0.74, 0.62, -0.25)
591.17: (0.74, 0.66, -0.12)
591.29: (0.77, 0.64, 0.00)
591.40: (0.77, 0.62, 0.15)
591.50: (0.77, 0.62, 0.15)
591.50: (0.79, 0.62, -0.02): 2
591.52: (0.77, 0.62, 0.15)
591.64: (0.77, 0.62, 0.15)
591.75: (0.77, 0.62, 0.15)
591.87: (0.77, 0.63, 0.09)
591.99: (0.77, 0.63, 0.04)
592.07: (0.77, 0.64, 0.03)
592.07: (-0.29, 0.72, -0.63): 1
592.09: (0.77, 0.64, 0.03)
592.20: (0.77, 0.64, 0.02)
592.32: (0.77, 0.64, 0.02)
592.44: (0.69, 0.72, -0.02)
592.55: (0.48, 0.86, -0.17)
592.65: (0.32, 0.88, -0.36)
592.77: (0.10, 0.83, -0.55)
592.89: (-0.14, 0.72, -0.68)
593.00: (-0.18, 0.68, -0.71)
593.12: (-0.17, 0.74, -0.65)
593.22: (-0.22, 0.75, -0.62)
593.29: (-0.26, 0.74, -0.62)
593.29: (-1.00, 0.05, 0.07): 1
593.34: (-0.27, 0.73, -0.63)
593.45: (-0.27, 0.73, -0.63)
593.57: (-0.27, 0.73, -0.63)
593.69: (-0.27, 0.73, -0.63)
593.80: (-0.45, 0.66, -0.61)
593.90: (-0.64, 0.55, -0.54)
594.02: (-0.82, 0.39, -0.43)
594.12: (-0.92, 0.23, -0.32)
594.24: (-0.99, -0.08, -0.13)
594.34: (-0.99, -0.15, -0.02)
594.45: (-1.00, 0.00, 0.03)
594.57: (-1.00, 0.03, 0.02)
594.60: (-1.00, 0.03, 0.02)
594.60: (-0.47, 0.05, 0.88): 2
594.69: (-1.00, 0.02, 0.01)
594.80: (-1.00, 0.02, 0.01)
594.90: (-1.00, -0.07, 0.00)
595.02: (-0.94, -0.30, -0.15)
595.14: (-0.87, -0.40, -0.30)
595.24: (-0.87, -0.40, -0.30)
595.35: (-0.87, -0.40, -0.30)
595.47: (-0.87, -0.40, -0.30)
595.59: (-0.88, -0.46, -0.12)
595.70: (-0.96, -0.24, 0.14)
595.82: (-0.91, 0.17, 0.38)
595.94: (-0.65, 0.51, 0.56)
596.05: (-0.40, 0.70, 0.59)
596.17: (-0.54, 0.59, 0.60)
596.27: (-0.61, 0.34, 0.72)
596.37: (-0.47, 0.22, 0.85)
596.49: (-0.38, 0.20, 0.90)
596.60: (-0.43, 0.16, 0.89)
596.72: (-0.46, 0.13, 0.88)
596.75: (-0.46, 0.13, 0.88)
596.75: (0.87, -0.47, 0.13): 1
596.83: (-0.46, 0.13, 0.88)
596.95: (-0.54, 0.15, 0.83)
597.05: (-0.54, 0.15, 0.83)
597.17: (-0.54, 0.15, 0.83)
597.28: (-0.54, 0.15, 0.83)
597.40: (-0.37, 0.09, 0.92)
597.50: (0.00, 0.10, 0.99)
597.62: (0.35, 0.14, 0.92)
597.72: (0.53, 0.03, 0.85)
597.83: (0.71, -0.11, 0.70)
597.95: (0.90, 0.01, 0.44)
598.07: (0.92, 0.18, 0.34)
598.17: (0.90, 0.23, 0.38)
598.28: (0.88, 0.21, 0.44)
598.40: (0.88, 0.21, 0.44)
598.50: (0.85, 0.23, 0.47)
598.62: (0.79, 0.29, 0.55)
598.73: (0.89, -0.04, 0.46)
598.85: (0.91, -0.28, 0.32)
598.95: (0.89, -0.38, 0.25)
599.07: (0.86, -0.48, 0.19)
599.10: (0.85, -0.49, 0.18)
599.10: (0.09, 0.70, 0.70): 0
599.18: (0.85, -0.50, 0.18)
599.30: (0.86, -0.47, 0.19)
599.42: (0.72, -0.57, 0.39)
599.52: (0.40, -0.76, 0.51)
599.63: (0.23, -0.91, 0.35)
599.75: (0.21, -0.98, -0.02)
599.87: (0.13, -0.92, -0.36)
599.98: (-0.19, -0.76, -0.62)
600.10: (-0.50, -0.53, -0.69)
600.20: (-0.71, -0.29, -0.64)
600.32: (-0.91, -0.04, -0.42)
600.43: (-0.98, 0.19, -0.07)
600.53: (-0.93, 0.33, 0.17)
600.65: (-0.74, 0.48, 0.47)
600.77: (-0.42, 0.55, 0.72)
600.88: (-0.07, 0.52, 0.85)
601.00: (0.10, 0.51, 0.86)
601.10: (0.05, 0.60, 0.80)
601.22: (0.09, 0.67, 0.74)
601.30: (0.11, 0.69, 0.71)
601.30: (0.07, -0.94, 0.32): 0
601.33: (0.11, 0.69, 0.71)
601.45: (0.11, 0.69, 0.71)
601.57: (0.07, 0.64, 0.77)
601.68: (0.06, 0.37, 0.93)
601.80: (0.43, 0.04, 0.90)
601.90: (0.66, -0.24, 0.72)
602.02: (0.68, -0.51, 0.53)
602.13: (0.64, -0.73, 0.24)
602.23: (0.50, -0.87, -0.01)
602.35: (0.17, -0.98, -0.11)
602.45: (0.17, -0.98, -0.11)
602.57: (0.17, -0.98, -0.11)
602.67: (0.17, -0.98, -0.11)
602.78: (0.11, -0.93, 0.35)
602.90: (0.11, -0.69, 0.72)
603.02: (0.15, -0.75, 0.65)
603.13: (0.12, -0.82, 0.56)
603.25: (0.08, -0.87, 0.49)
603.37: (0.06, -0.92, 0.38)
603.45: (0.06, -0.94, 0.35)
603.45: (0.56, 0.76, 0.34): 1
603.48: (0.06, -0.94, 0.35)
603.60: (0.07, -0.94, 0.34)
603.72: (0.21, -0.95, 0.24)
603.82: (0.47, -0.88, 0.09)
603.93: (0.71, -0.70, -0.02)
604.05: (0.87, -0.49, 0.06)
604.15: (0.92, -0.26, 0.29)
604.27: (0.81, 0.10, 0.57)
604.38: (0.74, 0.44, 0.50)
604.50: (0.64, 0.72, 0.27)
604.62: (0.52, 0.85, 0.11)
604.73: (0.49, 0.86, 0.16)
604.85: (0.52, 0.81, 0.27)
604.97: (0.55, 0.79, 0.28)
604.98: (0.55, 0.78, 0.28)
604.98: (-0.89, -0.38, -0.25): 2
605.07: (0.56, 0.78, 0.28)
605.18: (0.56, 0.78, 0.27)
605.30: (0.50, 0.85, 0.13)
605.42: (0.36, 0.93, -0.08)
605.53: (0.12, 0.93, -0.35)
605.65: (-0.11, 0.80, -0.59)
605.77: (-0.30, 0.53, -0.79)
605.87: (-0.44, 0.21, -0.87)
605.98: (-0.55, -0.12, -0.82)
606.10: (-0.71, -0.29, -0.65)
606.22: (-0.78, -0.40, -0.47)
606.33: (-0.82, -0.51, -0.25)
606.45: (-0.86, -0.50, -0.14)
606.57: (-0.89, -0.41, -0.19)
606.67: (-0.89, -0.40, -0.22)
606.70: (-0.89, -0.41, -0.22)
606.70: (0.57, 0.24, -0.78): 1
606.78: (-0.89, -0.41, -0.22)
606.90: (-0.89, -0.41, -0.22)
607.02: (-0.88, -0.41, -0.23)
607.13: (-0.79, -0.51, -0.35)
607.25: (-0.44, -0.70, -0.57)
607.35: (-0.06, -0.74, -0.67)
607.47: (0.12, -0.78, -0.61)
607.58: (0.35, -0.81, -0.46)
607.70: (0.65, -0.71, -0.28)
