3/31/2023 6:07:42 PM
Mode: Default
White time (s): [4.349243, 1.083374, 0.9332886, 1.03299, 2.399353, 3.665894, 2.966248, 3.132751, 7.431824, 1.966431, 8.281555, 1.933044, 9.614563, 1.316589, 1.666443, 3.26593, 1.516357, 2.566101, 1.682922, 2.666443, 1.999512, 2.133057, 3.282715, 1.766724, 1.916199, 3.915527, 5.965515, 7.765198, 1.449829, 1.116333]
Shot time (s): [2.716034, 0.9162903, 1.39978, 1.949677, 1.832886, 2.149445, 1.183228, 4.432159, 3.932373, 0.8330688, 2.032898, 5.782349, 4.582581, 1.132629, 10.56458, 1.733398, 2.365601, 2.082764, 4.066284, 1.133057, 1.832947, 2.183167, 1.682922, 2.71637, 1.899597, 1.999573, 3.949158, 4.182556, 0.8996582, 3.049988]
Step time (s): [4.382477, 3.082581, 2.849396, 4.515839, 1.966156, 1.233215, 2.166565, 2.599548, 2.849609, 1.032898, 3.999573, 2.399414, 6.265381, 3.165894, 6.082153, 2.882629, 1.36676, 4.165771, 1.799744, 3.165955, 1.782898, 4.698608, 2.365906, 2.682922, 2.815857, 2.933044, 2.582458, 2.549805, 1.566162, 2.949463]
White horz (deg): [300.2173, 48.09747, 37.94999, 28.29749, 186.3674, 304.2598, 180.3449, 199.5675, 984.3071, 148.6649, 1020.03, 91.40999, 903.6219, 57.66747, 36.71251, 236.4449, 50.32496, 162.0299, 96.27746, 148.2524, 83.98495, 128.7825, 191.5649, 111.0449, 105.2699, 297.4122, 473.6321, 670.0645, 74.66247, 40.01248]
Shot horz (deg): [170.8574, 35.55748, 70.70247, 103.785, 119.7074, 170.7749, 58.32747, 355.1623, 328.1848, 16.58249, 110.7974, 324.4723, 283.1398, 53.21247, 1198.148, 81.59248, 147.4275, 142.9724, 459.3596, 43.64247, 121.3575, 38.69249, 95.53494, 177.5399, 100.98, 115.9124, 229.5974, 187.5224, 31.92749, 187.8525]
Step horz (deg): [317.1298, 254.6773, 201.7125, 321.9973, 109.2299, 50.73748, 144.7049, 165, 130.5974, 40.09497, 238.5074, 136.0424, 504.322, 202.2074, 443.7672, 125.8125, 56.67747, 192.5549, 109.3125, 214.9949, 92.23494, 493.1022, 105.0224, 153.8625, 139.0125, 211.0349, 167.145, 148.9949, 67.97993, 160.71]
White vert (deg): [129.6074, 15.42749, 29.03998, 28.46248, 75.075, 184.7174, 69.29993, 86.87243, 635.9922, 51.80996, 632.6095, 36.95996, 403.8371, 24.66749, 40.58997, 104.6099, 30.52498, 82.16994, 39.92998, 42.73497, 59.72996, 96.35995, 129.36, 49.66497, 47.43748, 159.8024, 408.7048, 547.6347, 35.47499, 30.02999]
Shot vert (deg): [58.73994, 25.98749, 32.99998, 65.83496, 51.64497, 87.11994, 23.59498, 315.3972, 274.4774, 14.10749, 34.23748, 123.7499, 156.3374, 12.12749, 689.2874, 49.82997, 113.5199, 74.41497, 186.5324, 14.02499, 45.12747, 70.53745, 38.60997, 76.47746, 77.63248, 63.11245, 165.9074, 163.5149, 11.385, 101.31]
Step vert (deg): [244.9424, 108.0749, 94.29746, 323.3172, 37.86748, 14.35499, 54.20247, 68.63994, 97.26743, 14.02499, 121.1099, 52.71748, 311.5196, 53.29495, 259.4624, 46.28247, 29.45249, 53.87249, 32.66998, 78.78745, 40.17748, 229.0198, 65.17493, 47.10748, 94.87493, 83.15995, 82.25246, 71.77495, 20.12999, 69.21742]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
472.99: (0.92, -0.39, 0.02): 1
472.99: (-0.87, -0.39, -0.29)
473.11: (-0.87, -0.39, -0.29)
473.23: (-0.87, -0.39, -0.29)
473.34: (-0.87, -0.39, -0.29)
473.46: (-0.87, -0.39, -0.29)
473.58: (-0.85, -0.41, -0.33)
473.69: (-0.84, -0.41, -0.36)
473.81: (-0.82, -0.43, -0.39)
473.93: (-0.70, -0.51, -0.49)
474.04: (-0.59, -0.51, -0.62)
474.14: (-0.56, -0.52, -0.64)
474.24: (-0.49, -0.58, -0.66)
474.36: (-0.21, -0.66, -0.72)
474.46: (0.16, -0.62, -0.77)
474.56: (0.26, -0.59, -0.76)
474.68: (0.36, -0.59, -0.72)
474.79: (0.67, -0.52, -0.53)
474.91: (0.93, -0.27, -0.27)
475.01: (1.00, 0.01, -0.04)
475.13: (0.99, -0.12, -0.09)
475.24: (0.93, -0.33, -0.15)
475.34: (0.92, -0.36, -0.13)
475.46: (0.91, -0.39, -0.11)
475.58: (0.91, -0.40, -0.06)
475.68: (0.92, -0.40, -0.02)
475.71: (0.92, -0.40, -0.02)
475.71: (-0.48, -0.63, 0.61): 2
475.79: (0.92, -0.40, -0.02)
475.89: (0.91, -0.40, -0.03)
476.01: (0.91, -0.40, -0.03)
476.13: (0.91, -0.40, -0.03)
476.23: (0.90, -0.43, -0.09)
476.33: (0.87, -0.44, -0.20)
476.43: (0.82, -0.47, -0.33)
476.53: (0.72, -0.54, -0.43)
476.64: (0.49, -0.67, -0.56)
476.76: (0.31, -0.68, -0.66)
476.86: (0.21, -0.66, -0.73)
476.98: (-0.04, -0.60, -0.80)
477.09: (-0.29, -0.49, -0.82)
477.21: (-0.50, -0.43, -0.75)
477.31: (-0.62, -0.43, -0.66)
477.43: (-0.77, -0.33, -0.54)
477.53: (-0.91, -0.20, -0.37)
477.64: (-0.97, -0.14, -0.20)
477.74: (-0.99, -0.15, -0.04)
477.86: (-0.98, -0.06, 0.20)
477.98: (-0.96, 0.09, 0.25)
478.09: (-0.91, 0.28, 0.31)
478.21: (-0.75, 0.52, 0.41)
478.33: (-0.48, 0.74, 0.46)
478.43: (-0.17, 0.86, 0.49)
478.53: (0.09, 0.81, 0.59)
478.64: (-0.03, 0.63, 0.77)
478.76: (-0.28, 0.45, 0.85)
478.88: (-0.58, 0.33, 0.74)
478.99: (-0.73, 0.25, 0.63)
479.11: (-0.82, 0.10, 0.57)
479.22: (-0.85, -0.17, 0.50)
479.33: (-0.83, -0.44, 0.35)
479.44: (-0.77, -0.61, 0.17)
479.56: (-0.66, -0.65, 0.37)
479.68: (-0.52, -0.57, 0.63)
479.78: (-0.51, -0.57, 0.65)
479.89: (-0.50, -0.60, 0.62)
480.01: (-0.49, -0.62, 0.61)
480.09: (-0.49, -0.62, 0.61)
480.09: (0.57, 0.82, -0.01): 0
480.12: (-0.49, -0.62, 0.61)
480.24: (-0.49, -0.62, 0.61)
480.34: (-0.49, -0.62, 0.62)
480.46: (-0.52, -0.57, 0.63)
480.57: (-0.56, -0.46, 0.69)
480.68: (-0.56, -0.48, 0.68)
480.79: (-0.56, -0.48, 0.67)
480.91: (-0.64, -0.42, 0.64)
481.02: (-0.68, -0.39, 0.62)
481.12: (-0.71, -0.36, 0.61)
481.24: (-0.72, -0.43, 0.55)
481.36: (-0.82, -0.45, 0.36)
481.46: (-0.86, -0.46, 0.24)
481.57: (-0.88, -0.46, 0.08)
481.67: (-0.89, -0.43, -0.16)
