3/31/2023 6:20:08 PM
Mode: Default
White time (s): [6.915237, 2.682724, 2.18306, 1.133057, 0.7995148, 1.449463, 1.732986, 1.466476, 1.916275, 1.616486, 3.382874, 1.666306, 1.466309, 1.616287, 1.049622, 1.682922, 1.532867, 1.682709, 2.132874, 0.750061, 1.616364, 1.666382, 1.032837, 1.483093, 1.933289, 1.666382, 1.299988, 1.166565, 0.849884, 1.416351]
Shot time (s): [5.165527, 2.233047, 1.366348, 4.83252, 1.783417, 2.065979, 1.250183, 4.082718, 1.066193, 3.932602, 1.333099, 1.599487, 1.632843, 3.28244, 1.783142, 2.199738, 1.449844, 1.449524, 1.216614, 4.349152, 1.616425, 1.049835, 1.716309, 1.69931, 3.998993, 2.466156, 0.9664612, 3.599243, 2.715942, 2.466187]
Step time (s): [3.082657, 2.499542, 2.133163, 0.7832031, 2.699341, 2.082672, 1.765884, 4.549362, 3.882401, 1.499771, 0.8829346, 2.232925, 2.599396, 4.682663, 2.11647, 1.016418, 2.01651, 1.682953, 1.899597, 1.149963, 2.516174, 1.09964, 0.7164917, 2.499878, 1.599976, 0.6164246, 1.316376, 0.8997192, 0.8996582, 1.366333]
White horz (deg): [508.56, 115.84, 175.04, 54.56, 13.43999, 86.47999, 161.92, 124.4, 138.64, 123.04, 217.5999, 127.6799, 88.23998, 115.92, 68.24, 109.76, 104.08, 174.0799, 79.2, 48.63999, 140.2399, 90.64004, 32.95998, 92.23999, 147.12, 144.96, 64.39999, 85.11996, 45.27999, 81.35999]
Shot horz (deg): [240.5601, 127.2, 74.24001, 231.6802, 117.84, 158, 89.12002, 344.9597, 31.83998, 294.6399, 101.92, 92.15997, 151.12, 208.8, 107.76, 103.28, 100.16, 138, 115.04, 461.84, 115.3599, 57.2, 142, 143.6, 318.4798, 175.76, 66.15998, 384.9598, 257.7599, 193.36]
Step horz (deg): [172.48, 197.44, 130.56, 26.47999, 288.7198, 203.5999, 103.04, 460.32, 319.2799, 69.43999, 24.07999, 140.96, 165.12, 355.5999, 191.52, 28.31998, 124.4799, 131.04, 147.2, 61.84, 193.92, 48.47999, 18.31999, 207.12, 83.67999, 7.599996, 67.60001, 43.12, 30.95998, 79.59998]
White vert (deg): [175.12, 68.80002, 34.23999, 38.56001, 5.119998, 15.91999, 57.75998, 63.76001, 77.36003, 47.68, 74.32004, 63.51999, 64.71999, 77.27999, 22.87999, 50.95999, 74.56001, 78.55999, 228.48, 22.23999, 52.23999, 70.48001, 8.559996, 58.96, 47.59998, 57.59999, 16.47999, 31.67999, 26.07999, 57.68]
Shot vert (deg): [276, 29.51998, 34.71999, 224.56, 13.59999, 57.76003, 31.83998, 121.76, 32.31998, 238.72, 29.67998, 25.11998, 60.48001, 229.44, 45.20002, 97.75996, 46.71999, 65.76001, 45.51999, 273.7599, 51.27999, 96.79997, 62.63999, 57.99999, 279.2801, 79.59998, 21.91999, 246.8799, 133.2801, 111.6]
Step vert (deg): [56.8, 43.83999, 74.64, 33.12, 106.48, 95.59999, 67.51997, 303.5199, 218.32, 30.71998, 31.27999, 125.84, 125.36, 282.96, 84.08002, 33.43998, 110.96, 72.87998, 131.92, 56.07999, 181.3599, 39.76, 20.63999, 98.88007, 34.55999, 17.75999, 14.95999, 30.95998, 36.31998, 60.95999]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
147.24: (-0.87, 0.48, 0.02): 0
147.24: (-0.38, 0.39, -0.84)
147.34: (-0.38, 0.39, -0.84)
147.46: (-0.38, 0.39, -0.84)
147.56: (-0.38, 0.39, -0.84)
147.67: (-0.38, 0.39, -0.84)
147.77: (-0.38, 0.39, -0.84)
147.89: (-0.38, 0.38, -0.84)
148.01: (-0.47, 0.20, -0.86)
148.12: (-0.57, 0.04, -0.82)
148.24: (-0.59, 0.02, -0.81)
148.34: (-0.63, -0.09, -0.77)
148.46: (-0.65, -0.18, -0.74)
148.57: (-0.67, -0.32, -0.67)
148.69: (-0.68, -0.46, -0.57)
148.81: (-0.68, -0.62, -0.39)
148.92: (-0.66, -0.71, -0.26)
149.02: (-0.67, -0.68, -0.30)
149.14: (-0.67, -0.29, -0.69)
149.26: (-0.60, -0.11, -0.80)
149.36: (-0.53, -0.01, -0.85)
149.47: (-0.36, 0.25, -0.90)
149.57: (-0.25, 0.42, -0.87)
149.69: (-0.16, 0.51, -0.84)
149.81: (0.00, 0.64, -0.76)
149.92: (0.16, 0.75, -0.64)
150.02: (0.29, 0.80, -0.53)
150.14: (0.41, 0.83, -0.38)
150.26: (0.52, 0.83, -0.20)
150.37: (0.55, 0.83, -0.11)
150.47: (0.58, 0.82, -0.04)
150.59: (0.61, 0.79, 0.09)
150.69: (0.65, 0.73, 0.21)
150.81: (0.66, 0.66, 0.35)
150.92: (0.67, 0.50, 0.54)
151.02: (0.65, 0.39, 0.65)
151.14: (0.63, 0.32, 0.70)
151.26: (0.53, 0.11, 0.84)
151.37: (0.43, -0.03, 0.90)
151.49: (0.28, -0.22, 0.93)
151.59: (0.23, -0.25, 0.94)
151.71: (0.15, -0.13, 0.98)
151.82: (0.09, 0.07, 0.99)
151.94: (0.08, 0.22, 0.97)
152.06: (0.06, 0.36, 0.93)
152.17: (0.05, 0.56, 0.83)
152.29: (0.06, 0.64, 0.77)
152.39: (0.04, 0.75, 0.66)
152.49: (-0.04, 0.91, 0.40)
152.61: (-0.05, 0.93, 0.35)
152.72: (-0.06, 0.96, 0.27)
152.84: (-0.17, 0.98, 0.06)
152.94: (-0.24, 0.96, -0.12)
153.04: (-0.26, 0.91, -0.32)
153.16: (-0.27, 0.82, -0.51)
153.27: (-0.35, 0.78, -0.52)
153.39: (-0.57, 0.82, -0.07)
153.49: (-0.64, 0.77, 0.07)
153.61: (-0.68, 0.72, -0.12)
153.72: (-0.77, 0.61, -0.17)
153.84: (-0.84, 0.54, 0.05)
153.94: (-0.84, 0.53, 0.13)
154.06: (-0.84, 0.54, 0.01)
154.16: (-0.84, 0.54, 0.00)
154.16: (0.28, -0.52, 0.81): 0
154.16: (-0.84, 0.54, 0.00)
154.27: (-0.84, 0.54, 0.00)
154.37: (-0.84, 0.54, 0.00)
154.49: (-0.84, 0.54, 0.01)
154.61: (-0.84, 0.54, 0.01)
154.72: (-0.83, 0.56, 0.05)
154.84: (-0.77, 0.62, 0.16)
154.96: (-0.69, 0.66, 0.30)
155.07: (-0.66, 0.58, 0.47)
155.19: (-0.50, 0.45, 0.74)
155.31: (-0.27, 0.36, 0.89)
155.42: (-0.10, 0.32, 0.94)
155.52: (-0.10, 0.32, 0.94)
155.64: (-0.10, 0.32, 0.94)
155.76: (-0.10, 0.32, 0.94)
155.87: (-0.10, 0.27, 0.96)
155.99: (0.00, -0.15, 0.99)
156.11: (0.13, -0.22, 0.97)
156.22: (0.14, -0.20, 0.97)
156.34: (0.10, -0.18, 0.98)
156.46: (0.16, -0.35, 0.92)
156.57: (0.22, -0.48, 0.85)
156.69: (0.24, -0.50, 0.83)
156.79: (0.25, -0.51, 0.82)
156.84: (0.25, -0.51, 0.82)
156.84: (-0.99, -0.04, 0.13): 1
156.91: (0.25, -0.51, 0.82)
157.02: (0.25, -0.51, 0.82)
157.14: (0.25, -0.51, 0.82)
157.24: (0.25, -0.51, 0.82)
157.36: (0.25, -0.44, 0.86)
157.47: (0.23, -0.35, 0.91)
157.59: (0.22, -0.34, 0.91)
157.71: (0.19, -0.22, 0.96)
157.82: (0.15, -0.05, 0.99)
157.94: (0.07, 0.13, 0.99)
158.06: (0.01, 0.25, 0.97)
158.16: (-0.05, 0.39, 0.92)
158.27: (-0.14, 0.56, 0.82)
158.39: (-0.19, 0.62, 0.76)
158.51: (-0.25, 0.72, 0.65)
158.61: (-0.29, 0.79, 0.54)
158.71: (-0.32, 0.84, 0.44)
158.81: (-0.35, 0.87, 0.36)
