3/31/2023 6:28:31 PM
Mode: Stereo
White time (s): [3.649414, 1.516052, 1.149597, 1.466431, 1.432617, 0.7668457, 2.282898, 7.298889, 1.132874, 1.766174, 0.8167725, 6.915283, 1.083008, 2.832764, 3.449463, 2.382813, 0.7999268, 1.283264, 1.332947, 0.9498901, 1.532715, 1.433105, 5.832153, 0.9160156, 2.216187, 0.866394, 1.616394, 1.799805, 3.599365, 2.482605]
Shot time (s): [4.09906, 1.616394, 3.832214, 3.066284, 0.8164673, 4.032654, 1.699402, 2.082703, 3.099426, 1.18335, 1.366455, 4.065857, 1.349487, 3.265869, 0.7998657, 0.7831421, 1.049805, 2.582886, 4.965759, 6.382507, 1.549561, 5.748901, 3.049377, 1.46637, 6.132446, 1.816284, 1.949402, 0.7498779, 1.63269, 1.649719]
Step time (s): [1.150085, 4.21582, 1.650024, 1.499939, 2.682739, 2.066284, 2.516357, 0.8994751, 1.849609, 1.949585, 2.5495, 2.9328, 1.866455, 3.949158, 4.582336, 5.932312, 4.615784, 2.666016, 2.416321, 1.183105, 1.13324, 0.75, 1.016418, 1.899353, 2.132935, 1.416443, 1.966431, 2.049622, 5.215942, 1.699341]
White horz (deg): [340, 113.56, 101.575, 119.17, 77.17995, 36.46498, 185.9799, 521.3899, 71.90994, 113.3899, 40.79997, 527.5098, 94.34998, 214.795, 277.78, 166.1749, 24.39499, 115.1749, 95.19995, 94.00993, 151.555, 101.32, 597.2949, 16.40499, 149.175, 56.01498, 89.33495, 84.40495, 217.9398, 83.29993]
Shot horz (deg): [375.6999, 128.945, 417.775, 223.6349, 67.65995, 254.0649, 119.7649, 182.0699, 145.5199, 80.57996, 57.37497, 311.695, 64.85497, 218.5349, 12.495, 44.28498, 79.55995, 197.4549, 301.155, 529.465, 80.66496, 453.1346, 252.8749, 100.2999, 454.3245, 106.93, 136.6799, 30.17499, 26.94499, 122.9099]
Step horz (deg): [58.22497, 306.1699, 111.945, 110.3299, 203.2349, 105.6549, 216.2399, 31.44998, 141.3549, 173.0599, 237.32, 307.3599, 128.18, 358.8698, 339.2349, 314.415, 246.0748, 194.0549, 231.625, 63.23997, 25.15998, 19.46499, 59.24497, 84.65994, 92.73496, 71.31496, 170.34, 93.41493, 391.0849, 97.74997]
White vert (deg): [113.305, 50.57497, 71.31497, 74.88498, 30.85499, 15.47, 142.3749, 700.8249, 70.29497, 82.53495, 36.80499, 778.5146, 85.67995, 284.0699, 278.63, 184.0249, 38.24999, 46.74999, 70.88997, 45.55999, 113.135, 99.27995, 619.7347, 51.08497, 202.81, 28.89999, 162.095, 94.00995, 511.6148, 330.8199]
Shot vert (deg): [284.24, 80.40996, 353.7701, 239.1049, 17.17, 336.7699, 95.70995, 174.9299, 249.8149, 65.44996, 117.4699, 438.7699, 109.055, 214.2849, 38.50498, 51.33998, 37.31498, 191.59, 502.5197, 556.1544, 68.67995, 424.9149, 221, 52.86997, 588.8804, 170.5949, 227.8849, 27.96499, 73.94997, 110.2449]
Step vert (deg): [15.47, 371.5349, 71.73994, 45.13498, 122.3149, 78.02997, 166.0899, 54.56997, 173.06, 121.4649, 173.3999, 229.2449, 137.2749, 362.9499, 422.7048, 563.125, 495.9748, 183.6849, 145.605, 67.31996, 29.49499, 43.85999, 26.77499, 95.45496, 145.6899, 92.05497, 155.465, 155.1249, 670.7344, 125.12]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
615.61: (-0.95, -0.31, -0.01): 0
615.61: (-0.02, -0.19, -0.98)
615.71: (-0.02, -0.19, -0.98)
615.83: (-0.02, -0.19, -0.98)
615.95: (-0.02, -0.19, -0.98)
616.06: (-0.06, -0.19, -0.98)
616.16: (0.02, -0.20, -0.98)
616.28: (0.35, -0.06, -0.94)
616.38: (0.53, 0.09, -0.84)
616.50: (0.70, 0.25, -0.67)
616.60: (0.78, 0.41, -0.48)
616.71: (0.83, 0.48, -0.28)
616.83: (0.88, 0.47, -0.01)
616.93: (0.83, 0.52, 0.20)
617.05: (0.74, 0.50, 0.45)
617.15: (0.69, 0.48, 0.55)
617.26: (0.87, 0.44, 0.21)
617.38: (0.87, 0.45, 0.23)
617.50: (0.59, 0.48, 0.65)
617.60: (0.47, 0.43, 0.77)
617.71: (0.55, 0.42, 0.72)
617.83: (0.55, 0.42, 0.72)
617.93: (0.55, 0.42, 0.72)
618.05: (0.52, 0.32, 0.79)
618.16: (0.10, 0.17, 0.98)
618.28: (-0.12, -0.01, 0.99)
618.38: (-0.22, -0.22, 0.95)
618.48: (-0.28, -0.46, 0.84)
618.60: (-0.54, -0.59, 0.60)
618.71: (-0.74, -0.62, 0.27)
618.83: (-0.75, -0.66, 0.06)
618.95: (-0.82, -0.57, 0.04)
619.05: (-0.91, -0.42, 0.03)
619.16: (-0.94, -0.35, 0.00)
619.26: (-0.96, -0.29, -0.04)
619.26: (0.96, -0.26, -0.12): 1
619.26: (-0.96, -0.29, -0.04)
619.38: (-0.96, -0.29, -0.04)
619.50: (-0.95, -0.30, -0.06)
619.60: (-0.94, -0.33, -0.12)
619.71: (-0.80, -0.49, -0.36)
619.83: (-0.73, -0.59, -0.34)
619.95: (-0.73, -0.60, -0.32)
620.05: (-0.73, -0.60, -0.32)
620.16: (-0.71, -0.60, -0.35)
620.28: (-0.67, -0.74, 0.06)
620.38: (-0.53, -0.79, 0.33)
620.50: (-0.22, -0.71, 0.67)
620.60: (0.00, -0.61, 0.79)
620.71: (0.24, -0.39, 0.89)
620.83: (0.47, -0.03, 0.88)
620.95: (0.60, 0.18, 0.78)
621.06: (0.67, 0.51, 0.54)
621.18: (0.65, 0.63, 0.44)
621.28: (0.59, 0.72, 0.36)
621.40: (0.35, 0.93, 0.10)
621.50: (0.03, 1.00, -0.06)
621.61: (-0.31, 0.93, -0.19)
621.73: (-0.51, 0.82, -0.26)
621.85: (-0.76, 0.59, -0.26)
621.96: (-0.92, 0.31, -0.24)
622.06: (-0.96, 0.15, -0.22)
622.18: (-0.89, 0.26, -0.37)
622.30: (-0.52, 0.46, -0.72)
622.41: (-0.15, 0.37, -0.92)
622.53: (0.31, 0.27, -0.91)
622.65: (0.63, 0.22, -0.75)
622.75: (0.76, 0.14, -0.64)
622.85: (0.85, 0.02, -0.53)
622.96: (0.91, -0.06, -0.41)
623.08: (0.95, -0.08, -0.31)
623.20: (0.95, -0.26, -0.18)
623.31: (0.94, -0.30, -0.12)
623.36: (0.94, -0.32, -0.11)
623.36: (0.93, 0.16, -0.34): 2
623.43: (0.94, -0.32, -0.11)
623.53: (0.94, -0.33, -0.12)
623.65: (0.91, -0.40, -0.13)
623.76: (0.97, 0.10, -0.23)
623.88: (0.91, 0.24, -0.34)
624.00: (0.92, 0.16, -0.35)
624.10: (0.94, 0.12, -0.33)
624.21: (0.95, 0.10, -0.30)
624.33: (0.95, 0.05, -0.30)
