4/1/2023 12:41:55 PM
Mode: Mono
White time (s): [1.133144, 1.099854, 4.965778, 1.483032, 1.766411, 0.9498291, 1.266434, 1.849731, 1.249916, 2.26635, 1.966217, 1.599648, 1.466599, 1.367058, 2.466248, 2.116226, 1.149826, 2.19957, 1.349747, 0.6503296, 8.015198, 1.216187, 1.299835, 4.898926, 2.499741, 2.999435, 0.4165649, 1.016525, 0.416687, 1.483231]
Shot time (s): [1.14967, 1.11668, 0.8997688, 1.016327, 2.382908, 1.899742, 1.749374, 1.782837, 1.449623, 0.3834457, 4.648827, 2.41655, 1.166847, 2.049828, 1.733017, 1.815926, 2.966095, 1.299713, 0.6832275, 1.616302, 1.449966, 1.39946, 1.833191, 1.266327, 2.499588, 1.766418, 1.582764, 2.466187, 5.132553, 0.3831177]
Step time (s): [1.199871, 2.816086, 0.9664993, 0.8332214, 0.633255, 0.6666412, 4.915543, 1.582962, 4.082596, 0.6661835, 0.6331482, 3.998894, 1.882713, 2.215805, 1.23304, 2.349396, 0.9496613, 3.14917, 1.399658, 0.5327911, 1.366379, 1.299606, 1.483047, 1.433136, 0.5664825, 3.149368, 1.399826, 1.299744, 3.898987, 2.099197]
White horz (deg): [241.75, 82.87499, 1610.687, 213.5, 291.1875, 108.25, 76.81249, 239.25, 121.375, 945.3124, 494, 314.375, 251.5, 296.8125, 662.3749, 225.375, 74.99999, 224.375, 95.31249, 55.8125, 2355.937, 135.6875, 110.3125, 1346.375, 436.125, 468.8125, 8.062498, 54.6875, 14.8125, 71.18749]
Shot horz (deg): [168.5625, 93.93749, 54.625, 83.18749, 421.4375, 386.8125, 241.25, 340.8125, 151.0625, 5.875, 1249.062, 780.9374, 60.375, 318.5, 271.375, 104.375, 554.1249, 71.99999, 46.3125, 114.625, 84.37499, 350.875, 207.625, 81.93749, 330.1875, 68.24999, 173.4375, 356.25, 1622.437, 13.6875]
Step horz (deg): [183.25, 605.8749, 125.8125, 66.99999, 32.9375, 47.9375, 1428.375, 372.1875, 1151.062, 34.875, 39.875, 768.8124, 494.25, 500.25, 268.75, 768.1874, 66.99999, 1006.187, 150.625, 6.4375, 148.3125, 188.4375, 376.1875, 378.0625, 54.3125, 550.6249, 205.9375, 272.375, 713.1874, 567.2499]
White vert (deg): [24.625, 105.625, 467.0625, 350.75, 317.375, 105.5, 229.5625, 323.1875, 203.0625, 272.9375, 328.25, 258.375, 296.375, 124.0625, 345.875, 462.8125, 198.6875, 381.875, 196.8125, 41.4375, 1256.687, 134.25, 157.9375, 1059.812, 297, 500.0625, 12.8125, 154, 25.1875, 272.0625]
Shot vert (deg): [127, 155.3125, 111.8125, 99.12499, 344.4375, 265.1875, 60.75, 333.25, 185.0625, 17.5625, 533.0624, 420.8125, 237.25, 432.25, 254.125, 378.125, 414.375, 255.0625, 17.375, 273.3125, 252.875, 53.75, 172.8125, 263.625, 253.3125, 302.6875, 207.1875, 374.25, 1279.437, 9.999999]
Step vert (deg): [45.4375, 237.5, 79.43749, 67.06249, 37.75, 62.1875, 658.6874, 143.5, 764.5624, 58.4375, 58.1875, 685.9374, 418.25, 365.875, 209.5, 256.6875, 83.68749, 509.125, 240.0625, 49.625, 149.5, 147.4375, 143, 166.4375, 26.4375, 714.8749, 278.8125, 46.625, 629.7499, 225.6875]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
44.63: (0.94, -0.12, -0.32): 0
44.63: (0.00, 0.07, 1.00)
44.73: (0.00, 0.07, 1.00)
44.84: (0.17, 0.00, 0.99)
44.96: (0.78, -0.29, 0.56)
45.08: (0.82, -0.29, -0.49)
45.19: (0.24, 0.02, -0.97)
45.31: (0.19, 0.06, -0.98)
45.43: (0.69, -0.08, -0.72)
45.54: (0.90, -0.18, -0.40)
45.66: (0.91, -0.17, -0.39)
45.76: (0.93, -0.17, -0.32)
45.76: (-1.00, 0.05, -0.01): 2
45.76: (0.93, -0.17, -0.32)
45.88: (0.93, -0.17, -0.32)
45.99: (0.83, -0.11, -0.54)
46.09: (0.55, 0.04, -0.83)
46.21: (0.00, 0.27, -0.96)
46.33: (-0.46, 0.39, -0.80)
46.43: (-0.71, 0.45, -0.54)
46.54: (-0.89, 0.43, -0.15)
46.66: (-0.95, 0.29, 0.15)
46.78: (-0.99, 0.10, 0.06)
46.89: (-0.99, -0.01, -0.16)
46.96: (-0.98, -0.03, -0.18)
46.96: (0.36, -0.51, -0.78): 1
47.01: (-0.98, -0.03, -0.18)
47.11: (-0.98, -0.02, -0.18)
47.23: (-1.00, -0.01, -0.03)
47.34: (-0.94, -0.26, -0.22)
47.46: (-0.40, -0.63, -0.66)
47.58: (0.25, -0.50, -0.83)
47.69: (0.59, 0.10, -0.80)
47.81: (0.52, 0.38, -0.77)
47.93: (0.43, -0.26, -0.87)
48.03: (0.33, -0.53, -0.78)
48.11: (0.32, -0.53, -0.79)
48.11: (-0.82, 0.52, 0.24): 1
48.14: (0.32, -0.53, -0.79)
48.26: (0.34, -0.52, -0.78)
48.36: (0.24, -0.52, -0.82)
48.48: (-0.35, -0.26, -0.90)
48.58: (-0.82, 0.22, -0.53)
48.68: (-0.78, 0.62, -0.08)
48.79: (-0.51, 0.83, 0.23)
48.89: (-0.39, 0.86, 0.34)
49.01: (-0.75, 0.56, 0.36)
49.13: (-0.82, 0.46, 0.33)
49.23: (-0.83, 0.46, 0.32)
49.23: (0.10, 0.72, -0.69): 1
49.24: (-0.83, 0.46, 0.32)
49.36: (-0.83, 0.47, 0.30)
49.48: (-0.82, 0.58, -0.03)
49.59: (-0.65, 0.60, -0.47)
49.69: (-0.42, 0.50, -0.76)
49.81: (-0.15, 0.26, -0.95)
49.93: (-0.15, 0.29, -0.94)
50.04: (0.02, 0.64, -0.77)
50.13: (0.09, 0.71, -0.70)
50.13: (0.83, -0.26, 0.49): 1
50.14: (0.09, 0.70, -0.71)
50.26: (0.09, 0.70, -0.71)
50.38: (0.19, 0.61, -0.77)
50.49: (0.50, 0.39, -0.77)
50.61: (0.86, 0.13, -0.49)
50.71: (0.95, -0.12, -0.28)
50.83: (0.95, -0.29, -0.11)
50.93: (0.92, -0.36, 0.17)
51.04: (0.80, -0.29, 0.53)
51.14: (0.77, -0.27, 0.58)
51.14: (0.72, 0.55, 0.42): 0
51.14: (0.77, -0.27, 0.58)
51.26: (0.77, -0.27, 0.58)
51.36: (0.77, -0.27, 0.58)
51.48: (0.91, -0.16, 0.38)
51.58: (0.99, 0.11, 0.08)
51.68: (0.89, 0.39, -0.24)
51.79: (0.66, 0.68, -0.33)
51.91: (0.59, 0.77, 0.23)
52.03: (0.63, 0.62, 0.47)
52.13: (0.67, 0.55, 0.50)
52.24: (0.71, 0.54, 0.46)
