4/1/2023 12:47:23 PM
Mode: Default
White time (s): [0.683197, 1.283234, 0.4667969, 0.9163818, 0.9334106, 1.24939, 0.516449, 1.233063, 1.166595, 2.632874, 0.6333923, 1.332947, 0.9665222, 1.23349, 1.16629, 1.33313, 0.9833679, 0.8331299, 1.033112, 1.033234, 0.5163574, 0.4169006, 0.7661743, 1.233093, 1.232788, 0.999939, 1.23291, 0.9998779, 0.8831787, 0.500061]
Shot time (s): [0.949585, 0.7165222, 1.749664, 1.08313, 3.549286, 0.7163391, 0.7998047, 1.399689, 0.4163818, 1.333191, 1.832977, 1.749359, 1.799683, 2.349274, 1.200195, 1.283203, 0.5166016, 1.066284, 2.06662, 1.333252, 0.4500732, 0.4495544, 0.8498535, 0.6331787, 4.382507, 1.166138, 0.4995728, 1.733154, 1.116516, 0.9161987]
Step time (s): [1.516266, 1.399658, 1.183044, 1.366547, 1.932953, 1.883087, 3.116089, 1.582703, 2.216339, 0.4833679, 1.682983, 2.099548, 2.466278, 1.882965, 1.583374, 2.465942, 1.216309, 6.082062, 1.882874, 1.465881, 1.566437, 2.38269, 1.516296, 2.033203, 4.399353, 1.683228, 3.4823, 2.266602, 0.449707, 0.9335327]
White horz (deg): [55.3125, 162.875, 24.0625, 111.25, 89.74999, 162.5, 8.999999, 174.625, 47.0625, 290.0625, 13.3125, 172.1875, 117.6875, 128.4375, 211.375, 202.3125, 110.5625, 93.99999, 46.9375, 173, 9.249999, 7.5, 80.06249, 65.68749, 163.25, 74.31249, 176.375, 114.25, 86.18749, 30.6875]
Shot horz (deg): [127.375, 52.375, 159.0625, 179.5625, 494.5, 45.0625, 8.312499, 124.625, 20.8125, 206.3125, 170.9375, 231.75, 218.75, 188.4375, 139.625, 226.8125, 22, 150.0625, 319.625, 118.5, 27.5625, 6.9375, 106.375, 49.375, 636.4374, 134.1875, 34.75, 177, 103.9375, 78.43749]
Step horz (deg): [135.75, 133.8125, 128.375, 116.6875, 71.81249, 199.0625, 256.125, 33.75, 142.8125, 2.75, 178.3125, 158.5, 317.6875, 218.0625, 121.5625, 275, 125.125, 564.5624, 158.125, 145, 143.125, 316.0625, 122.375, 237.0625, 389.375, 171.4375, 306.125, 152.8125, 16, 42.5]
White vert (deg): [10.3125, 115.1875, 15.1875, 35.4375, 27.5, 49, 25.5625, 30.5, 63.6875, 169.0625, 27, 153.375, 32.5625, 103.6875, 39.5625, 69.56249, 63.6875, 78.43749, 99.43749, 27.1875, 38.8125, 34.5, 16.875, 69.31249, 40.5, 18.8125, 132, 59.5625, 41.9375, 6.0625]
Shot vert (deg): [40.5, 27.75, 74.49999, 19.25, 274.3125, 29.0625, 57.875, 55.9375, 2.1875, 140, 109.3125, 100.0625, 65.99999, 192.875, 114, 36.1875, 24.8125, 43.9375, 213.6875, 115.875, 13.3125, 26.5, 22.25, 6.375, 448.875, 33.9375, 3.375, 235.0625, 26.875, 65.18749]
Step vert (deg): [25.75, 18.875, 58.3125, 64.37499, 175.625, 92.87499, 288.625, 128.8125, 141.0625, 9.312499, 96.37499, 146.25, 398.6875, 191.875, 140.4375, 310.5625, 59.375, 670.4999, 155.6875, 158.5, 59, 110.875, 86.56249, 187.0625, 393.125, 64.12499, 421.6875, 63.3125, 23.125, 77.93749]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
409.81: (-0.80, -0.25, 0.55): 1
409.81: (0.71, 0.40, 0.58)
409.92: (0.71, 0.40, 0.58)
410.02: (0.71, 0.40, 0.58)
410.14: (0.71, 0.40, 0.58)
410.26: (0.28, 0.44, 0.85)
410.37: (-0.49, 0.29, 0.82)
410.47: (-0.82, 0.12, 0.55)
410.59: (-0.94, -0.12, 0.32)
410.69: (-0.81, -0.33, 0.49)
410.76: (-0.76, -0.36, 0.53)
410.76: (-0.86, -0.44, -0.27): 1
410.80: (-0.77, -0.36, 0.53)
410.90: (-0.77, -0.36, 0.53)
411.02: (-0.79, -0.38, 0.48)
411.12: (-0.88, -0.47, 0.06)
411.24: (-0.85, -0.42, -0.31)
411.35: (-0.85, -0.47, -0.24)
411.47: (-0.85, -0.50, -0.16)
411.47: (0.98, 0.21, 0.01): 1
411.47: (-0.85, -0.50, -0.16)
411.59: (-0.85, -0.49, -0.17)
411.70: (-0.85, -0.49, -0.17)
411.81: (-0.86, -0.49, -0.17)
411.92: (-0.84, -0.49, -0.24)
412.04: (-0.66, -0.45, -0.60)
412.14: (-0.51, -0.31, -0.80)
412.25: (-0.42, -0.07, -0.90)
412.37: (0.02, 0.30, -0.95)
412.49: (0.73, 0.28, -0.63)
412.59: (0.97, 0.04, -0.24)
412.70: (0.97, 0.03, -0.24)
412.82: (0.97, 0.03, -0.24)
412.92: (0.97, 0.03, -0.24)
413.04: (0.98, 0.05, -0.21)
413.15: (0.99, 0.14, -0.06)
413.22: (0.99, 0.14, -0.06)
413.22: (0.79, -0.08, 0.61): 0
413.27: (0.99, 0.14, -0.06)
413.39: (0.99, 0.14, -0.06)
413.50: (0.99, 0.12, 0.04)
413.62: (0.79, -0.07, 0.61)
413.74: (0.73, -0.13, 0.67)
413.85: (0.79, -0.13, 0.60)
413.90: (0.80, -0.12, 0.59)
413.90: (0.24, -0.97, 0.00): 0
413.95: (0.80, -0.12, 0.59)
414.05: (0.79, -0.12, 0.60)
414.17: (0.78, -0.13, 0.62)
414.29: (0.76, -0.16, 0.63)
414.40: (0.40, -0.34, 0.85)
414.52: (-0.35, -0.47, 0.81)
414.62: (-0.63, -0.65, 0.42)
414.74: (-0.39, -0.88, -0.25)
414.85: (0.07, -0.84, -0.53)
414.95: (0.44, -0.87, -0.21)
415.05: (0.49, -0.87, 0.08)
415.17: (0.37, -0.92, 0.15)
415.19: (0.36, -0.92, 0.15)
415.19: (-0.07, -0.98, -0.19): 0
415.29: (0.35, -0.93, 0.14)
415.39: (0.33, -0.94, 0.06)
415.50: (0.18, -0.97, -0.13)
415.60: (0.00, -0.99, -0.15)
415.65: (-0.01, -0.99, -0.15)
415.65: (-0.36, 0.42, -0.83): 0
415.72: (-0.01, -0.99, -0.15)
415.84: (-0.02, -0.99, -0.15)
415.95: (-0.18, -0.96, -0.23)
416.05: (-0.41, -0.82, -0.40)
416.17: (-0.56, -0.40, -0.73)
416.29: (-0.48, 0.00, -0.88)
416.39: (-0.29, 0.28, -0.91)
416.49: (-0.26, 0.44, -0.86)
416.57: (-0.30, 0.48, -0.83)
416.57: (0.47, 0.88, -0.03): 2
416.60: (-0.30, 0.48, -0.83)
416.72: (-0.28, 0.50, -0.82)
416.82: (-0.29, 0.55, -0.79)
416.94: (-0.29, 0.60, -0.75)
417.04: (-0.27, 0.65, -0.71)
