4/1/2023 3:05:14 PM
Mode: Default
White time (s): [2.88266, 1.682785, 1.966354, 1.866226, 0.6831665, 1.416382, 1.666245, 1.983276, 2.816071, 2.082642, 3.732925, 6.231903, 1.016571, 3.482178, 1.466156, 0.7831268, 4.782745, 2.532761, 1.149811, 1.099838, 1.799713, 3.73233, 2.016586, 2.115952, 2.483002, 1.949493, 0.6165771, 1.316467, 2.932434, 1.533203]
Shot time (s): [5.081978, 2.149605, 1.149483, 1.516518, 1.766251, 1.76635, 2.549667, 1.732697, 1.183044, 3.582947, 5.748718, 0.76651, 1.232895, 2.19957, 1.183319, 1.182861, 2.699142, 1.666397, 2.264404, 0.732605, 1.816147, 1.566345, 2.399384, 1.299805, 0.7666321, 0.6999207, 1.499817, 3.149292, 5.28241, 1.283142]
Step time (s): [4.182846, 2.832687, 2.432915, 2.133179, 1.133057, 1.033447, 3.032425, 1.083176, 4.315948, 0.9166718, 0.9499054, 0.4331665, 0.9668579, 3.166122, 4.354736, 0.5661011, 5.029816, 1.016632, 4.065491, 2.449844, 1.849518, 0.8165283, 1.782913, 4.365814, 0.6165466, 0.5996704, 3.399261, 0.8499146, 0.7333984, 0.4829712]
White horz (deg): [232.35, 159.8, 259.85, 163.95, 35.90001, 119.5, 156.8, 257, 260.15, 265.15, 423.7499, 545.4498, 51.45, 421.9498, 144.1, 84.85003, 680.7001, 212.4501, 154.1, 54.14999, 143.1, 344.85, 246.3, 201.8501, 348.95, 230.1, 23.2, 79.85, 339.8, 196.05]
Shot horz (deg): [414.4499, 225.2001, 70.10001, 108.35, 114.2, 92.00003, 200.95, 164.55, 132.45, 386.1999, 701.4997, 32.3, 115.95, 243.95, 92.35, 110.1, 344.6, 149.85, 224.8999, 10.55, 236.55, 191.95, 237.3, 106.85, 78.8, 31.25, 169.5, 304.95, 586.0999, 132.65]
Step horz (deg): [244.5001, 147.45, 276.85, 131.2, 64.24998, 114.3, 412.8, 58.95, 614.8997, 54.60001, 67.75001, 6.4, 99.95, 446.6499, 560.25, 18.4, 785.3495, 56.7, 552.8998, 120.25, 63.2, 35.95, 115.55, 600.9501, 41.8, 42.55, 376.1, 55.25, 50.1, 28]
White vert (deg): [112.2, 135.75, 131.55, 109.15, 25.5, 66.49998, 72.60001, 169.9, 183.1, 171.5, 284.8, 309.05, 34.25, 301.25, 88.14999, 48.90001, 512.2, 140.5, 56.05, 59.15, 109, 285.35, 197.95, 148.4, 198.85, 228.05, 15.75, 70.79999, 267.95, 73.95]
Shot vert (deg): [207.5999, 116.75, 38.75, 122.5, 82.44999, 42, 92.59999, 89.89999, 73.85001, 226.45, 441.6, 18.25, 81.75001, 131.7, 75.40001, 81.3, 187.4001, 119.9, 161.1, 36.65001, 109.05, 92.05003, 163, 58.5, 48.1, 20.55, 123.65, 205.55, 347.8, 113.8]
Step vert (deg): [198.4, 85.29999, 123.1, 178.35, 37.99999, 50.55, 248.6, 55.5, 312.5, 35.15, 20.55, 5.05, 27.75, 322.35, 305.45, 17.35, 399.4499, 36.15, 288.9499, 163.35, 134.15, 29.6, 58, 359.8999, 39.15, 39.35, 290.5, 37.4, 57.85, 13.75]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
99.82: (-0.97, -0.24, -0.01): 1
99.82: (-0.01, 0.12, 0.99)
99.93: (-0.01, 0.12, 0.99)
100.05: (-0.01, 0.12, 0.99)
100.15: (-0.01, 0.12, 0.99)
100.25: (-0.01, 0.12, 0.99)
100.37: (-0.01, 0.12, 0.99)
100.47: (-0.01, 0.12, 0.99)
100.58: (-0.01, 0.12, 0.99)
100.70: (-0.01, 0.12, 0.99)
100.82: (-0.01, 0.13, 0.99)
100.93: (-0.09, 0.01, 1.00)
101.05: (-0.20, -0.54, 0.82)
101.17: (-0.21, -0.79, 0.58)
101.27: (-0.23, -0.76, 0.61)
101.37: (-0.23, -0.76, 0.61)
101.48: (-0.19, -0.74, 0.65)
101.60: (-0.14, -0.98, 0.13)
101.72: (-0.12, -0.91, -0.40)
101.83: (-0.13, -0.91, -0.39)
101.93: (-0.13, -0.91, -0.38)
102.05: (-0.11, -0.97, -0.19)
102.17: (0.22, -0.86, -0.45)
102.28: (0.42, -0.67, -0.62)
102.40: (0.47, -0.59, -0.65)
102.52: (0.58, -0.35, -0.74)
102.63: (0.57, -0.27, -0.78)
102.73: (0.57, -0.27, -0.78)
102.85: (0.58, -0.28, -0.76)
102.97: (0.73, 0.11, -0.68)
103.08: (0.68, 0.49, -0.54)
103.20: (0.65, 0.57, -0.50)
103.32: (0.64, 0.58, -0.51)
103.43: (0.08, 0.75, -0.65)
103.55: (-0.46, 0.72, -0.52)
103.67: (-0.60, 0.64, -0.49)
103.77: (-0.60, 0.64, -0.49)
103.88: (-0.59, 0.65, -0.47)
104.00: (-0.92, 0.36, -0.15)
104.12: (-0.93, -0.20, 0.30)
104.23: (-0.91, -0.16, 0.38)
104.35: (-0.93, -0.16, 0.32)
104.45: (-0.97, -0.22, 0.09)
104.57: (-0.97, -0.20, 0.09)
104.68: (-0.97, -0.21, 0.07)
104.80: (-0.96, -0.26, -0.10)
104.90: (-0.95, -0.27, -0.15)
104.90: (0.67, 0.73, 0.12): 1
104.92: (-0.95, -0.27, -0.15)
105.02: (-0.95, -0.27, -0.16)
105.13: (-0.96, -0.26, -0.13)
105.25: (-0.96, -0.26, -0.12)
105.37: (-0.98, -0.21, 0.00)
105.48: (-0.97, -0.11, -0.21)
105.60: (-0.86, 0.23, -0.45)
105.72: (-0.23, 0.54, -0.81)
105.83: (0.01, 0.52, -0.86)
105.95: (-0.02, 0.52, -0.85)
106.07: (0.21, 0.56, -0.80)
106.18: (0.87, 0.37, -0.31)
106.28: (0.97, 0.21, -0.11)
106.40: (0.95, 0.25, -0.16)
106.50: (0.90, 0.39, -0.21)
106.62: (0.66, 0.72, -0.20)
106.73: (0.53, 0.84, -0.13)
106.85: (0.70, 0.71, 0.08)
106.97: (0.68, 0.73, 0.10)
107.05: (0.62, 0.78, 0.09)
107.05: (-0.81, 0.09, 0.58): 2
107.08: (0.62, 0.78, 0.09)
107.20: (0.63, 0.77, 0.09)
107.32: (0.69, 0.72, 0.03)
107.42: (0.75, 0.66, 0.02)
107.53: (0.75, 0.66, 0.01)
107.65: (0.73, 0.68, -0.02)
107.75: (0.71, 0.70, -0.01)
107.87: (0.70, 0.72, -0.01)
107.97: (0.70, 0.72, -0.01)
108.08: (0.73, 0.68, 0.05)
