4/1/2023 3:08:41 PM
Mode: Mono
White time (s): [0.6663818, 1.533356, 3.949005, 3.58255, 1.399658, 0.5167236, 0.6832275, 1.399628, 1.149658, 0.7331848, 6.015228, 3.382751, 4.265656, 0.5331726, 1.549988, 1.282898, 2.332916, 1.616516, 4.265717, 3.482819, 1.23291, 1.432739, 1.666351, 1.283051, 4.049194, 1.383026, 2.499481, 0.7830505, 1.649994, 0.8667297]
Shot time (s): [2.465881, 3.132813, 1.316223, 3.932709, 6.798706, 2.049713, 2.132965, 7.798492, 3.599365, 0.4832153, 2.732819, 2.849396, 0.6998291, 0.6002808, 2.849213, 3.032928, 2.032928, 1.41626, 4.266144, 1.199615, 2.049927, 0.9162292, 0.5996704, 6.282013, 0.7164307, 1.25, 1.483154, 0.7502747, 1.166595, 1.332825]
Step time (s): [0.666687, 0.4333496, 6.865356, 2.216431, 4.215759, 3.09903, 2.233429, 1.266235, 0.9163513, 2.2164, 1.233002, 0.6831665, 1.349823, 0.6164551, 3.415833, 5.748749, 2.799286, 0.5332336, 1.799652, 2.16629, 1.566254, 2.116272, 1.283142, 2.866272, 0.7665405, 4.515381, 2.399689, 0.7661743, 1.616241, 1.299835]
White horz (deg): [21.35, 367.2, 1140.1, 938.8502, 384.7, 24, 64.65001, 124.4, 196.1, 35.2, 1331.151, 946.2001, 490.1501, 33.7, 388.7501, 254.15, 679.8502, 495.5501, 1591.001, 1257.55, 92.55, 363.6501, 560.9501, 240.55, 1464.8, 218, 758.7499, 120.7, 332.4, 168.6]
Shot horz (deg): [220.35, 341.3501, 122.8, 749.2501, 2143.85, 311.8, 243.1, 2067.9, 1337.65, 11.4, 671.2499, 581.5499, 29.3, 44, 877.1, 1277.901, 698.1501, 335.0501, 1715.7, 236.45, 523.3, 52.39999, 43.95, 1649.5, 25.7, 327.25, 231.9, 50.65, 301.25, 474.0499]
Step horz (deg): [23.45, 8.150002, 807.7498, 367.55, 1139.5, 601.7002, 561.7499, 253.9, 95.9, 481.75, 276.6, 86.65, 310.9, 33.40001, 1210.5, 1926.951, 708.3, 58.85, 487.05, 621.05, 179.7, 515.45, 371.3, 1022.55, 55.35001, 1177.3, 590.6998, 176.8, 488.9, 293.7]
White vert (deg): [35.5, 128.85, 395.3501, 234.65, 48.7, 5, 66.14999, 136.1, 75.59999, 60.75, 533.3499, 246.75, 183.6501, 21.15, 153.5, 58.90002, 135.75, 120.8, 254.9501, 250.9, 77.09999, 88.89999, 148.1, 95.15, 348.1501, 102.4, 359.0999, 55.85, 81.20002, 43.8]
Shot vert (deg): [208.45, 215.0999, 67.7, 279.9499, 490.55, 142.25, 128.95, 655.6998, 265, 32.55, 248.5, 257.5, 32.80001, 9.5, 329.85, 251.8, 129.75, 100.4, 258.7, 40.35, 126.25, 66.35, 32.05, 627.8003, 33.8, 50.80001, 77.60001, 60.05001, 140.25, 78.10001]
Step vert (deg): [13, 7.400001, 727.8002, 275.65, 466.25, 487.4002, 232.6501, 57.95, 68.6, 213.7, 50.35001, 29.8, 121.6, 15.65, 205.75, 502.1, 135.8, 10, 121.7, 135.2, 132.45, 145, 44.2, 253.6499, 40.3, 446.5999, 251.5999, 45.8, 136.6, 58.44999]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
299.71: (-0.71, 0.59, -0.39): 1
299.71: (-0.26, 0.43, 0.86)
299.83: (-0.26, 0.43, 0.86)
299.94: (-0.26, 0.42, 0.87)
300.06: (-0.28, 0.41, 0.87)
300.16: (-0.29, 0.40, 0.87)
300.28: (-0.35, 0.38, 0.85)
300.39: (-0.13, 0.88, 0.45)
300.51: (-0.05, 0.93, 0.35)
300.63: (-0.05, 0.93, 0.36)
300.74: (0.19, 0.98, 0.02)
300.86: (0.51, 0.65, -0.56)
300.98: (0.55, 0.49, -0.68)
301.08: (0.54, 0.53, -0.65)
301.19: (0.24, 0.86, -0.45)
301.29: (-0.22, 0.96, 0.16)
301.41: (-0.48, 0.65, 0.59)
301.53: (-0.47, 0.68, 0.57)
301.63: (-0.47, 0.68, 0.57)
301.74: (-0.63, 0.76, 0.18)
301.86: (-0.78, 0.62, -0.09)
301.98: (-0.78, 0.61, -0.15)
302.08: (-0.71, 0.65, -0.27)
302.18: (-0.70, 0.64, -0.33)
302.18: (0.24, 0.84, -0.49): 1
302.19: (-0.70, 0.64, -0.33)
302.29: (-0.70, 0.64, -0.33)
302.41: (-0.72, 0.65, -0.25)
302.53: (-0.72, 0.66, -0.20)
302.64: (-0.72, 0.66, -0.20)
302.74: (-0.80, 0.57, -0.17)
302.86: (-0.97, 0.15, 0.17)
302.96: (-0.90, -0.18, 0.40)
303.08: (-0.90, -0.20, 0.40)
303.18: (-0.77, -0.44, 0.46)
303.29: (-0.73, -0.49, 0.47)
303.41: (-0.75, -0.47, 0.47)
303.51: (-0.73, -0.50, 0.46)
303.63: (-0.68, -0.60, 0.42)
303.74: (-0.88, -0.44, -0.16)
303.86: (-0.84, -0.29, -0.45)
303.96: (-0.83, 0.24, -0.50)
304.08: (-0.59, 0.72, -0.35)
304.19: (-0.32, 0.94, -0.10)
304.31: (-0.42, 0.91, -0.01)
304.43: (-0.42, 0.91, -0.03)
304.54: (0.39, 0.91, 0.15)
304.66: (0.85, 0.40, 0.35)
304.76: (0.79, 0.41, 0.45)
304.86: (0.67, 0.68, 0.30)
304.98: (0.42, 0.89, -0.17)
305.08: (0.44, 0.87, -0.20)
305.18: (0.44, 0.87, -0.23)
305.29: (0.25, 0.88, -0.40)
305.31: (0.24, 0.88, -0.40)
305.31: (0.37, 0.92, 0.10): 2
305.39: (0.24, 0.88, -0.40)
305.51: (0.24, 0.88, -0.40)
305.63: (0.21, 0.92, -0.32)
305.74: (0.27, 0.95, -0.17)
305.84: (0.37, 0.93, 0.03)
305.94: (0.38, 0.93, 0.02)
305.98: (0.38, 0.92, 0.02)
305.98: (0.34, 0.93, 0.11): 2
306.04: (0.38, 0.92, 0.02)
306.16: (0.37, 0.93, 0.02)
306.28: (0.23, 0.97, 0.00)
306.38: (0.22, 0.97, 0.03)
306.41: (0.22, 0.97, 0.03)
306.41: (0.87, -0.40, 0.27): 1
306.49: (0.22, 0.97, 0.03)
306.59: (0.25, 0.97, 0.05)
306.69: (0.23, 0.97, 0.05)
306.81: (0.22, 0.97, 0.10)
306.93: (0.58, 0.70, 0.42)
307.04: (0.81, 0.25, 0.53)
307.16: (0.78, 0.38, 0.50)
307.28: (0.78, 0.38, 0.50)
307.38: (0.94, -0.01, 0.33)
307.49: (0.85, -0.49, 0.20)
307.61: (0.87, -0.45, 0.22)
307.71: (0.90, -0.33, 0.30)
307.73: (0.90, -0.32, 0.30)
307.73: (0.98, -0.06, -0.18): 0
307.81: (0.90, -0.32, 0.30)
307.93: (0.89, -0.30, 0.34)
308.04: (0.96, -0.18, 0.23)
308.16: (0.99, -0.17, 0.00)
308.28: (0.97, -0.19, -0.11)
308.39: (0.97, -0.12, -0.22)
308.39: (-0.91, -0.04, -0.42): 2
308.39: (0.97, -0.12, -0.22)
308.51: (0.97, -0.12, -0.22)
308.63: (0.98, -0.03, -0.18)
308.73: (1.00, 0.00, -0.08)
308.84: (1.00, -0.02, -0.06)
308.96: (0.94, 0.00, -0.34)
309.08: (0.74, 0.26, -0.63)
309.19: (0.71, 0.22, -0.67)
309.31: (0.63, 0.10, -0.77)
309.43: (0.60, -0.34, -0.73)
309.54: (0.57, -0.63, -0.53)
309.66: (0.57, -0.63, -0.53)
309.78: (0.57, -0.63, -0.53)
309.88: (0.17, -0.92, -0.36)
309.99: (-0.17, -0.98, -0.04)
310.11: (-0.12, -0.99, -0.09)
310.21: (-0.21, -0.98, -0.03)
310.33: (-0.61, -0.72, 0.33)
310.43: (-0.54, -0.79, 0.27)
310.54: (-0.54, -0.80, 0.27)
310.66: (-0.67, -0.58, 0.46)
310.76: (-0.74, -0.06, 0.67)
310.88: (-0.56, 0.35, 0.75)
