4/1/2023 3:11:46 PM
Mode: Stereo
White time (s): [1.399658, 0.717041, 1.932434, 1.632874, 3.099487, 0.8833618, 1.21637, 0.7167969, 1.132813, 4.532043, 2.382568, 3.815857, 2.899841, 2.183289, 0.9831543, 0.666687, 0.999939, 2.432922, 0.9162598, 2.766541, 1.816528, 3.249207, 0.7999268, 1.266174, 1.299561, 1.699768, 0.9829712, 1.699524, 1.516724, 1.149536]
Shot time (s): [0.6169434, 1.016357, 2.633057, 1.499512, 1.049622, 1.049683, 0.6833496, 3.916077, 0.5162354, 0.7333374, 0.7998657, 0.7332153, 0.7828369, 3.032654, 2.882507, 0.5830688, 1.816406, 1.766235, 1.46637, 1.966248, 1.332947, 1.249695, 0.8166504, 2.832703, 0.7496948, 2.482849, 1.033203, 2.84906, 1.316589, 1.283264]
Step time (s): [1.23291, 1.532715, 2.21637, 3.033325, 2.182861, 1.33313, 4.015991, 0.9497681, 2.616211, 1.349609, 2.733032, 2.149719, 3.99884, 1.283203, 2.582825, 2.232605, 1.632874, 1.216309, 1.349792, 1.849609, 2.482788, 2.899353, 3.565979, 1.366516, 1.816223, 1.766174, 1.799683, 0.7834473, 1.316711, 1.866333]
White horz (deg): [184.1, 47.05, 367.1, 283.2999, 675.0499, 192.6, 90.35001, 32.54999, 216.4, 965.5499, 309.0499, 750.6998, 92.85003, 289.5, 140.3, 111.8, 119.1, 384.4001, 89.45, 328.8, 210.9, 201.8, 34.4, 106.35, 177.8, 264.5, 89.44999, 175.45, 161.45, 107.95]
Shot horz (deg): [29.2, 173.4, 320.9001, 242.8, 182.75, 202.35, 49.19999, 915.2499, 30.45, 82.85001, 44.95, 36.9, 39.14999, 625.0496, 597.55, 61.7, 283.25, 333.25, 123.65, 237.5, 142.6, 151.85, 55.9, 500.9, 47.8, 303.0999, 169.05, 406.3001, 258.7, 186.25]
Step horz (deg): [217.4, 228.75, 417.0999, 615.45, 256.8, 206.1, 1183.85, 185.55, 541.8003, 193.95, 613.7999, 205.75, 619.2502, 158.95, 361.4, 260.2499, 302.25, 136.25, 140.85, 291.75, 526.8502, 433.95, 351.3, 235.5, 164.75, 208.75, 233.1, 64.65001, 117.75, 222.25]
White vert (deg): [90.45003, 41.2, 122.1, 60.35, 307.0499, 21.85, 83.3, 53.2, 89.65002, 298.2, 83.1, 220.35, 46.55, 232.3999, 37.15, 42.7, 32.15001, 283.4, 65.95, 190.4, 87.50001, 204, 44.05, 70.64998, 91.44999, 138.85, 60.95, 79.3, 111.55, 145.7]
Shot vert (deg): [50, 75.74999, 289.7, 167.7, 77.2, 76.15002, 49.85, 334.5, 13.25, 14.95, 37.8, 16.25, 43.5, 244.25, 187.25, 16.15, 193.2, 139.45, 98.05001, 167.3, 97.54999, 43.8, 23.05, 184.15, 42.25, 212.9, 39.95, 153.85, 58.39999, 79.45]
Step vert (deg): [61.00002, 130.85, 176.15, 227.7, 101.75, 90.34998, 314.5499, 34.30001, 123.15, 30.8, 201.9, 212.1, 429.65, 58.90001, 199.35, 167.3001, 122.75, 81.24998, 124.35, 127.95, 193.15, 175.8001, 248.55, 96.75004, 141.7, 151.4, 140.4, 36.75, 69.90001, 151.8]

Time in sec: camera forward versor
Time in sec: target versor: sound type (0 = White, 1 = Shot, 2 = Step)
START
522.00: (1.00, 0.00, 0.00): 0
522.00: (-0.76, -0.24, -0.61)
522.12: (-0.76, -0.24, -0.61)
522.22: (-0.76, -0.24, -0.61)
522.33: (-0.76, -0.24, -0.61)
522.45: (-0.81, -0.06, -0.58)
522.55: (-0.46, 0.44, -0.77)
522.67: (0.06, 0.86, -0.51)
522.78: (0.28, 0.95, -0.10)
522.88: (0.44, 0.89, 0.12)
523.00: (0.87, 0.45, 0.17)
523.12: (0.99, -0.06, 0.12)
523.23: (0.98, -0.15, 0.10)
523.35: (1.00, -0.09, 0.01)
523.40: (1.00, -0.09, -0.01)
523.40: (-0.81, 0.02, -0.59): 2
523.45: (1.00, -0.09, -0.01)
523.57: (1.00, -0.08, -0.01)
523.68: (0.97, 0.24, 0.03)
523.80: (0.76, 0.64, 0.11)
523.92: (0.17, 0.98, 0.11)
524.03: (-0.24, 0.97, 0.01)
524.15: (-0.81, 0.57, -0.10)
524.27: (-0.99, -0.03, -0.17)
524.37: (-0.93, -0.30, -0.20)
524.48: (-0.89, -0.08, -0.45)
524.60: (-0.82, 0.08, -0.56)
524.63: (-0.82, 0.08, -0.56)
524.63: (-0.99, 0.06, -0.13): 0
524.72: (-0.83, 0.08, -0.55)
524.83: (-0.82, 0.22, -0.52)
524.95: (-0.82, 0.48, -0.30)
525.05: (-0.96, 0.27, -0.05)
525.17: (-0.99, 0.17, 0.02)
525.28: (-0.99, 0.10, -0.12)
525.35: (-0.99, 0.05, -0.14)
525.35: (0.60, -0.43, -0.67): 0
525.38: (-0.99, 0.06, -0.14)
525.50: (-0.99, 0.09, -0.11)
525.62: (-0.99, 0.16, 0.04)
525.73: (-0.76, 0.48, 0.43)
525.85: (-0.26, 0.62, 0.74)
525.97: (0.03, 0.67, 0.74)
526.08: (-0.10, 0.49, 0.86)
526.20: (-0.72, -0.04, 0.69)
526.32: (-0.88, -0.42, 0.22)
526.42: (-0.72, -0.64, -0.27)
526.53: (-0.76, -0.61, -0.23)
526.65: (-0.76, -0.61, -0.23)
526.77: (-0.29, -0.75, -0.60)
526.88: (0.44, -0.28, -0.85)
527.00: (0.66, 0.15, -0.74)
527.12: (0.64, -0.17, -0.75)
527.22: (0.63, -0.37, -0.68)
527.28: (0.64, -0.38, -0.67)
527.28: (0.69, -0.66, -0.28): 1
527.33: (0.64, -0.38, -0.67)
527.45: (0.59, -0.37, -0.72)
527.55: (0.44, -0.44, -0.79)
527.65: (0.44, -0.62, -0.65)
527.77: (0.73, -0.62, -0.29)
527.87: (0.78, -0.59, -0.22)
527.90: (0.78, -0.59, -0.22)
527.90: (-0.22, -0.94, 0.25): 1
527.97: (0.75, -0.62, -0.24)
528.08: (0.69, -0.66, -0.30)
528.20: (0.54, -0.76, -0.37)
528.32: (-0.16, -0.94, -0.29)
528.42: (-0.81, -0.58, 0.05)
528.52: (-0.86, -0.36, 0.37)
528.62: (-0.43, -0.82, 0.37)
528.73: (-0.15, -0.96, 0.23)
528.85: (-0.12, -0.97, 0.22)
528.92: (-0.15, -0.96, 0.23)
528.92: (0.62, 0.42, -0.67): 0
528.97: (-0.15, -0.96, 0.23)
529.08: (-0.23, -0.95, 0.22)
529.18: (-0.33, -0.92, 0.21)
529.30: (-0.60, -0.70, 0.39)
